title,units,description
BOT 105 - General Botany,4,"Structure, function, reproduction, life cycles, and phylogenetic relationships of major plant groups. Relationships of plants to other organisms and to human activities."
CHEM 107 - Fundamentals of Chemistry,4,Terminal course. Fundamental concepts and applications of general and inorganic chemistry.
FIRE 123 - Fundamentals of Fuel and Fire,2,"An introduction to the science, ecology, and management of fuels and fire. Current issues and management options to reduce the negative impacts of wildfire."
FIRE 223 - Fire Weather,3,"Fundamental concepts of weather as it relates to prescribed fire and wildfire. Topics include boundary layer atmospheric processes, fuel moisture, fire weather forecasting, and other meteorological factors relevant to fire."
GSP 101 - Geospatial Concepts,3,"Overview: scale, coordinates, geodesy, direction, projections, surveying, global positioning systems (GPS), remote sensing, geographic information systems (GIS), cartography; historical context illustrating how maps depict spatial relationships, chart power, convey authority."
GSP 216 - Introduction to Remote Sensing,3,"Introductory course in remote sensing focusing on broad topics pertaining to nature of radiation, aerial photography and interpretation, multispectral scanners, and image data and processing."
GSP 270 - Geographic Information Science (GIS),3,"Introductory course in Geographic Information Science and spatial analysis involving collection, manipulation, display, and analysis of geographically referenced data. Raster and Vector data, overlays, buffer, proximity analysis and SQL queries."
NAS 104 - Introduction to Native American Studies,3,"Origins and development of content/method in Native American studies. Contrast the field with adjoining and contributing disciplines (anthropology, history, sociology, and humanities)."
NAS 200 - Indigenous Peoples in U.S. History,3,"How U.S. policies governing tribes are shaped by societal views of Indigenous Peoples. Analyze documents following history of federal Indian policy. Interactions among diverse Native, European, African, and Asian Americans. Meets requirement in U.S. history established by California legislature."
SOIL 260 - Introduction to Soil Science,3,"Soil’s physical, chemical, and biological properties. Implications for land management. Identify soil parent materials; use soil survey reports."
STAT 108 - Elementary Statistics,3,"Rudimentary data collection, descriptive statistics of univariate and bivariate data, probability, random variables, discrete and continuous distributions. Foundational concepts of confidence intervals and hypothesis tests. Use and abuse of statistics."
ESM 425 - Environmental Impact Assessment,3,Legislative/judicial history and current implementation of National Environmental Policy Act (NEPA) and California Environmental Quality Act (CEQA). Practice analyzing and preparing impact assessments for development projects.
FIRE 305 - Humans and Fire,3,"The political, social, and economic systems related to past and current wildland fire issues and practices in the United States and other fire-prone regions of the world."
FIRE 321 - Fire Ecology,3,"Fire as an ecosystem and physical process. Fire history, fire effects, fire regimes; interactions with abiotic and biotic ecosystem components; managing fire in California bioregions."
FIRE 323 - Fire Behavior and Effects,3,"Advanced fundamentals of physics and chemistry of combustion. Role of weather, topography, and fuels on fire behavior. Mechanism of ignition and spread of fires. Fire behavior and effects modeling."
FIRE 324 - Fuel Inventory and Management,3,"Monitoring and managing wildland fuels in forests and rangelands. Advanced understanding of fuel dynamics, management strategies, and challenges facing fuels managers in fire-prone landscapes. Quantitative analysis of the effects of fuels treatments."
