title,units,description
BIOL 105 - Principles of Biology,4,"Fundamental processes of life. Structure and function of cells, genetics, evolution, and ecology."
BOT 105 - General Botany,4,"Structure, function, reproduction, life cycles, and phylogenetic relationships of major plant groups. Relationships of plants to other organisms and to human activities."
CHEM 109 - General Chemistry I,5,"Fundamental concepts: chemical foundations, stoichiometry, chemical reactions, gases, thermochemistry, atomic theory, bonding, liquids, solutions. For students in science, engineering, and related majors."
CHEM 110 - General Chemistry II,5,"Fundamental concepts: kinetics; equilibrium; acids and bases; acid-base, solubility, and complex ion equilibria; entropy and free energy; electrochemistry; qualitative analysis. For students in science, engineering, and related majors."
MATH 105 - Calculus for the Biological Sciences and Natural Resources,3,"Differential and integral calculus. Apply to biological sciences, including exponential growth and decay."
MATH 109 - Calculus I,4,"Limits, continuity, derivatives, integrals, and their applications."
PHYX 106 - College Physics: Mechanics and Heat,4,"Non-Calculus, for science majors. Mechanics, fluids, heat, sound."
STAT 109 - Introductory Biostatistics,4,"Descriptive statistics, probability, random variables, discrete and continuous distributions, confidence intervals, contingency tests, regression and correlation, tests of hypothesis, analysis of variance. Emphasis: methods and applications used in the biological and natural resource sciences."
ZOOL 110 - Introductory Zoology,4,"Structure, function, evolution, and diversity of major groups of animals."
BIOL 307 - Evolution,4,Properties and differentiation of populations. Population genetics; mechanisms of species formation; and macroevolution.
BIOL 340 - Genetics,4,"Principles of heredity; nature and function of genetic material, with quantitative analyses; genetic constitution of populations."
PHYX 107 - College Physics: Electromagnetism and Modern Physics,4,"Non-Calculus, for science majors. Geometric optics, electricity, magnetism, electromagnetic waves, AC circuits, physical optics, relativity."
PHYX 118 - College Physics: Biological Applications,1,"Geometrical optics, simple DC circuits."
CHEM 228 - Brief Organic Chemistry,4,"For majors in biological science/natural resource areas. Nomenclature, physical properties, synthesis, and reactions of compounds representing major functional group categories. Reaction mechanisms emphasized."
CHEM 324 - Organic Chemistry I,3,"First semester of a one-year sequence. Chemical bonding, chemical structure, spectroscopy, physical properties, stereochemistry, reaction mechanisms, and synthesis."
CHEM 324L - Organic Chemistry I Laboratory,2,"First semester of a year-long sequence. Laboratory techniques, library skills, and synthesis."
CHEM 325 - Organic Chemistry II,3,"Second semester of a one-year sequence. Chemical bonding, chemical structure, spectroscopy, physical properties, stereochemistry, reaction mechanisms, and synthesis."
CHEM 325L - Organic Chemistry II Laboratory,2,"Second semester of a year-long sequence. Laboratory techniques, spectroscopy, library skills, unknown analysis, and synthesis."
BIOL 330 - Principles of Ecology,4,"Major ideas shaping modern ecology: population regulation, competition, predation, ecosystem energetics, mathematical models, and nutrient cycling. Role of biological and physical factors in developing community structure."
BIOL 412 - General Microbiology,4,"Natural history and importance of bacteria, archaea, and viruses. Structure, growth, metabolism, genetics, taxonomy, diversity, pathogenesis, and applied aspects of microorganisms."
BIOL 418 - Marine Microbiology,3,"Biology, behavior and function of microorganisms in diverse marine habitats, roles in ecological processes. Laboratory: isolation, molecular and ecological approaches to microbial processes."
BIOL 433 - Microbial Ecology,3,"This course explores the biology, behavior, and function of microorganisms in natural environments with attention to their role in ecologically and environmentally significant processes. One weekend field-trip.
Co-listed with: BIOL 533. (Only one of the co-listed courses may be taken for credit. See Terminology for more information.)"
BIOL 433D - Microbial Ecology Discussion,1,"This discussion explores the biology, behavior, and function of microorganisms in natural environments (to be taken in conjunction with BIOL 433 lecture and lab).
Co-listed with: BIOL 533D. (Only one of the co-listed courses may be taken for credit. See Terminology for more information.)"
BIOL 440 - Molecular Genetics Lab,2,"Experiments in modern and classical genetics, using a variety of organisms."
BIOL 490 - Senior Thesis,1-2,Thesis based on student-designed project approved by advisor. Approval must occur before enrollment.
BIOL 499 - Directed Study,1-2,"Individual work for senior students showing special aptitude. Conference, reading, research."
BIOL 350 - Cell Biology,3,"Study of the structure and function of cells with emphases in biochemistry, molecular biology, and physiology, and methods used to address relevant questions in the field."
BIOL 426 - Bioinformatics,4,"Computational methods used to analyze genetic and genomic data. Emphasis: applications in phylogenomics, gene regulation, molecular structure and function, and database mining.
Co-listed with: BIOL 526. (Only one of the co-listed courses may be taken for credit. See Terminology for more information.)"
BIOL 450 - Cell Biology Laboratory,2,"Experiments in modern and classical cellular and molecular biology, cellular physiology, and biochemistry of cells using cell culture models."
BIOL 564 - Transmission and Scanning Electron Microscopy,4,"Transmission and scanning electron microscopy theory and technique. Preparation of materials, operation of electron microscopes, conduct an EM-based independent research project utilizing both systems."
BOT 358 - Biology of the Microfungi,2,"Morphology, genetics, classification, ecology, and economic importance of yeasts and molds. Emphasis on isolation, culture, and lab techniques."
BOT 356 - Phycology,4,"Biology and evolution of photosynthetic eukaryotes. Marine algal ecology. Field trips, identification skills, micro- and macroalgal sampling, data analysis, scientific writing.
Co-listed with: BOT 556. (Only one of the co-listed courses may be taken for credit. See Terminology for more information.)"
CHEM 438 - Introductory Biochemistry,4,"Brief course in biochemistry. The chemistry of amino acids, proteins, nucleic acids, lipids and carbohydrates. Includes enzyme kinetics, bioenergetics, structure and function of biological membranes, discussion of common laboratory methods."
