title,units,description
CANN 120 - Introduction to Cannabis Studies,3,"Focus on basic plant botany, chemistry, and endocannabinoid system; human/cannabis relationships; ecological issues; and economic development and policy."
CANN 202 - Humboldt and Cannabis,3,"How cannabis shapes Humboldt: social history and geography before and following the arrival of cannabis; ecology, native epistemology, settler colonialism, counter-cultures and social movements, prohibition/criminalization, markets, medicalization, and legalization."
CANN 240 - Global Cannabis,3,"Survey of how cannabis shapes places globally. Focuses on international landscapes of cannabis as a plant providing food, fiber, fuel, and medicine."
GSP 101 - Geospatial Concepts,3,"Overview: scale, coordinates, geodesy, direction, projections, surveying, global positioning systems (GPS), remote sensing, geographic information systems (GIS), cartography; historical context illustrating how maps depict spatial relationships, chart power, convey authority."
BOT 300 - Plants and Civilization,3,"Plants that have played important roles in our economic, social, and cultural development. Ethnobotanical aspects of edible, medicinal, and psychoactive plants. Intended for non-majors. Cannot be used to satisfy major or minor requirements in the Department of Biological Sciences."
CANN 325 - Cannabis and Social Equity,3,Explore the impacts of cannabis criminalization and legalization on society. Specific emphasis on disproportionate impacts of cannabis criminalization on socioeconomically disadvantaged populations; wellness optimization and harm reduction.
CANN 335 - Cannabis and Environmental Sustainability,3,"Covers natural resource issues regarding cannabis production. Topics include: sustainability of cannabis regarding water, soil, wildlife, and energy use, general botany, biotic/abiotic requirements, and best practices to mitigate environmental impacts."
CANN 420 - Cannabis Law and Public Policy,3,"Focuses on the politics, policy process, and outcomes of efforts to legalize cannabis from the local to the global. Course emphasis on public health, justice, environmental, and economic policy change."
CANN 482 - Internship,3,"Design and carry out internship-based culminating project in partnership with local agency, community organization, research institute, or faculty. Proposal due in semester before enrollment to receive permission number."
NAS 332 - Environmental Justice,3,"Issues/concerns that led to Executive Order 12898 (environmental policies and conflicts between industries and those seeking environmental protection, including Alaska Native villages, “lower 48” tribes, grassroot community organizations)."
SOC 372 - Proseminar,1,"Structures career planning and professional development through resume building, job search, networking, and interview training. Develop proposal for capstone internship experiences of career plan."
SOC 472 - Graduate School Planning,1,Develop criteria for researching graduate programs. Identify goals and match with programs. Develop application materials - CV and statement of purpose. Plan experiences to make you a stronger candidate.
CHEM 107 - Fundamentals of Chemistry,4,Terminal course. Fundamental concepts and applications of general and inorganic chemistry.
CHEM 109 - General Chemistry I,5,"Fundamental concepts: chemical foundations, stoichiometry, chemical reactions, gases, thermochemistry, atomic theory, bonding, liquids, solutions. For students in science, engineering, and related majors."
SOIL 260 - Introduction to Soil Science,3,"Soil’s physical, chemical, and biological properties. Implications for land management. Identify soil parent materials; use soil survey reports."
CANN 345 - Cannabis Regulatory and Environmental Requirements,3,"Examination of local, state and federal regulations relating to water, fish and wildlife, and land use necessary to obtain licensing. Focus on historical and contemporary policy, goals, implementation, and impacts."
GEOL 306 - General Geomorphology,3,"Origin and development of landforms, landform classification, geomorphic processes. Methods of geomorphological analysis, topographic map interpretation, and aerial photo interpretation. May require two weekend field trips."
