title,units,description
CANN 120 - Introduction to Cannabis Studies,3,"Focus on basic plant botany, chemistry, and endocannabinoid system; human/cannabis relationships; ecological issues; and economic development and policy."
CANN 202 - Humboldt and Cannabis,3,"How cannabis shapes Humboldt: social history and geography before and following the arrival of cannabis; ecology, native epistemology, settler colonialism, counter-cultures and social movements, prohibition/criminalization, markets, medicalization, and legalization."
CANN 240 - Global Cannabis,3,"Survey of how cannabis shapes places globally. Focuses on international landscapes of cannabis as a plant providing food, fiber, fuel, and medicine."
GSP 101 - Geospatial Concepts,3,"Overview: scale, coordinates, geodesy, direction, projections, surveying, global positioning systems (GPS), remote sensing, geographic information systems (GIS), cartography; historical context illustrating how maps depict spatial relationships, chart power, convey authority."
BOT 300 - Plants and Civilization,3,"Plants that have played important roles in our economic, social, and cultural development. Ethnobotanical aspects of edible, medicinal, and psychoactive plants. Intended for non-majors. Cannot be used to satisfy major or minor requirements in the Department of Biological Sciences."
CANN 325 - Cannabis and Social Equity,3,Explore the impacts of cannabis criminalization and legalization on society. Specific emphasis on disproportionate impacts of cannabis criminalization on socioeconomically disadvantaged populations; wellness optimization and harm reduction.
CANN 335 - Cannabis and Environmental Sustainability,3,"Covers natural resource issues regarding cannabis production. Topics include: sustainability of cannabis regarding water, soil, wildlife, and energy use, general botany, biotic/abiotic requirements, and best practices to mitigate environmental impacts."
CANN 420 - Cannabis Law and Public Policy,3,"Focuses on the politics, policy process, and outcomes of efforts to legalize cannabis from the local to the global. Course emphasis on public health, justice, environmental, and economic policy change."
CANN 482 - Internship,3,"Design and carry out internship-based culminating project in partnership with local agency, community organization, research institute, or faculty. Proposal due in semester before enrollment to receive permission number."
NAS 332 - Environmental Justice,3,"Issues/concerns that led to Executive Order 12898 (environmental policies and conflicts between industries and those seeking environmental protection, including Alaska Native villages, “lower 48” tribes, grassroot community organizations)."
SOC 372 - Proseminar,1,"Structures career planning and professional development through resume building, job search, networking, and interview training. Develop proposal for capstone internship experiences of career plan."
SOC 472 - Graduate School Planning,1,Develop criteria for researching graduate programs. Identify goals and match with programs. Develop application materials - CV and statement of purpose. Plan experiences to make you a stronger candidate.
STAT 108 - Elementary Statistics,3,"Rudimentary data collection, descriptive statistics of univariate and bivariate data, probability, random variables, discrete and continuous distributions. Foundational concepts of confidence intervals and hypothesis tests. Use and abuse of statistics."
STAT 108I - Elementary Statistics with Integrated Support,3,"Introductory statistics with integrated support to aid comprehension. Data collection, descriptive statistics, bivariate data, probability, probability distributions. Foundational concepts of confidence intervals and hypothesis tests. Use and abuse of statistics. Open to students in Math placement category III or IV."
CRIM 420 - Drugs and Society,4,Why are some drugs legal while others are illegal? Explore social and historical processes shaping drug policy and the causes and consequences of the use and abuse of consciousness-altering substances.
SOC 282L - Sociological Statistics Lab,1,Application of statistics knowledge. Skills training in SPSS quantitative data analysis.
SOC 303 - Race and Inequality,3,"Problems of racialized power and inequality: causes, processes, theoretical considerations, and social movements. Multiple perspectives on problems and peacemaking efforts. Majors also take SOC 303M."
