title,units,description
CD 211 - Perspectives: Professional Development,3,"Investigation of employment alternatives, professional organizations and resources, and strategies for professional development and employment. 3 hrs per week field observation and participation may be required."
CD 211S - Perspectives: Professional Development,3,"Investigation of employment alternatives, professional organizations and resources, and strategies for professional development and employment. 30 hours of service learning required over the course of the semester."
CD 257 - Supervised Work with Children I,4,Build relationships and communication skills as a foundation for guidance. Create safe and healthy learning environments in a group setting.
CD 209 - Middle Childhood Development,3,Development of family/social context. Focus on children 7-12 years old. Biological and environmental influences determining normative and individual development. Interpret theories and research.
CD 253 - Prenatal and Infant Development,3,"Infant and toddler development, care, and education in contexts of family and community. Biological and environmental influences that determine normative and individual development. Understand and evaluate best practices in care and education. Interpret theory and research."
CD 255 - Early Childhood Development,3,Development from toddlerhood through age 7 in a family and school context. Impact of diverse family experiences. Biological and environmental influences that determine normative and individual development. Interpret theories and research. Observations required.
PSYC 414 - Psychology of Adolescence and Young Adulthood,3,"Physical, cognitive, social, and emotional development. Personality, relationship, education, and work issues from developmental perspective."
CD 310 - Perspectives: History and Theory,3,History and theory with respect to US families and the institutions that serve them. Intellectual paradigms examined and related to sociocultural context and child development practices.
AIE 330 - History of Indian Education,3,From first contact with Europeans to contemporary times. Emphasis: how federal policy shaped educational policy for American Indians.
CD 350 - Perspectives: Life-Span Development,3,The study of biological and environmental influences on normative and individual development across the life-span. Impact of diverse experiences on child development. Interpretation of theories and research.
CD 354 - Methods of Observation,3,Observational strategies and their advantages/disadvantages. Historical background. Standard observational devices. Ethical issues. Summarize and interpret observational records.
CD 355 - Language Development,3,Milestones in speech and language development from birth through adolescence. Theory; factors influencing acquisition and competency; language delays/disorders and their assessment and intervention.
CD 366 - Exceptional Children and Their Families,3,"Historical aspects, terminology, factors having an impact on family dynamics, legislation, and intervention models."
CD 469W - Contemporary Issues in Child Development,3,"Define issues, trace historical antecedents, recognize underlying assumptions, organize relevant facts, draw warranted conclusions. Seminar format."
CD 479 - Policy Analysis and Advocacy,3,Analyze public/private policies affecting families. Methods of influencing family policy development.
AIE 335 - Social and Cultural Considerations,3,"How social and cultural factors affect educational experiences of American Indian students attending mission, BIA boarding, or public schools. Apparent learning problems."
CD 467 - Working with Culturally Diverse Families,3,"Family attitudes, goals, and practices impacted by gender, social class, ethnicity, racial membership. Sensitize self to personal perspectives on diversity. Seminar format."
CD 467S - Working with Culturally Diverse Families,3,"Family attitudes, goals, and practices impacted by gender, social class, ethnicity, racial membership. Sensitize self to personal perspectives on diversity. Seminar format. 20 hours of service learning required over the course of the semester."
CD 482 - Directed Field Experience/Internship,1-4,Supervised community field work integrating theory into practice. Arrange prior to semester enrolled.
CD 499 - Directed Study,1-4,Directed readings and assignments approved by instructor.
