title,units,description
CD 211 - Perspectives: Professional Development,3,"Investigation of employment alternatives, professional organizations and resources, and strategies for professional development and employment. 3 hrs per week field observation and participation may be required."
CD 211S - Perspectives: Professional Development,3,"Investigation of employment alternatives, professional organizations and resources, and strategies for professional development and employment. 30 hours of service learning required over the course of the semester."
CD 257 - Supervised Work with Children I,4,Build relationships and communication skills as a foundation for guidance. Create safe and healthy learning environments in a group setting.
CD 209 - Middle Childhood Development,3,Development of family/social context. Focus on children 7-12 years old. Biological and environmental influences determining normative and individual development. Interpret theories and research.
CD 253 - Prenatal and Infant Development,3,"Infant and toddler development, care, and education in contexts of family and community. Biological and environmental influences that determine normative and individual development. Understand and evaluate best practices in care and education. Interpret theory and research."
CD 255 - Early Childhood Development,3,Development from toddlerhood through age 7 in a family and school context. Impact of diverse family experiences. Biological and environmental influences that determine normative and individual development. Interpret theories and research. Observations required.
PSYC 414 - Psychology of Adolescence and Young Adulthood,3,"Physical, cognitive, social, and emotional development. Personality, relationship, education, and work issues from developmental perspective."
CD 310 - Perspectives: History and Theory,3,History and theory with respect to US families and the institutions that serve them. Intellectual paradigms examined and related to sociocultural context and child development practices.
AIE 330 - History of Indian Education,3,From first contact with Europeans to contemporary times. Emphasis: how federal policy shaped educational policy for American Indians.
CD 350 - Perspectives: Life-Span Development,3,The study of biological and environmental influences on normative and individual development across the life-span. Impact of diverse experiences on child development. Interpretation of theories and research.
CD 354 - Methods of Observation,3,Observational strategies and their advantages/disadvantages. Historical background. Standard observational devices. Ethical issues. Summarize and interpret observational records.
CD 355 - Language Development,3,Milestones in speech and language development from birth through adolescence. Theory; factors influencing acquisition and competency; language delays/disorders and their assessment and intervention.
CD 366 - Exceptional Children and Their Families,3,"Historical aspects, terminology, factors having an impact on family dynamics, legislation, and intervention models."
CD 469W - Contemporary Issues in Child Development,3,"Define issues, trace historical antecedents, recognize underlying assumptions, organize relevant facts, draw warranted conclusions. Seminar format."
CD 479 - Policy Analysis and Advocacy,3,Analyze public/private policies affecting families. Methods of influencing family policy development.
AIE 335 - Social and Cultural Considerations,3,"How social and cultural factors affect educational experiences of American Indian students attending mission, BIA boarding, or public schools. Apparent learning problems."
CD 467 - Working with Culturally Diverse Families,3,"Family attitudes, goals, and practices impacted by gender, social class, ethnicity, racial membership. Sensitize self to personal perspectives on diversity. Seminar format."
CD 467S - Working with Culturally Diverse Families,3,"Family attitudes, goals, and practices impacted by gender, social class, ethnicity, racial membership. Sensitize self to personal perspectives on diversity. Seminar format. 20 hours of service learning required over the course of the semester."
CD 356 - Curriculum Development for Early Childhood,3,Plan developmentally appropriate curriculum for early childhood programs (preschool through 3rd grade). Apply cognitive developmental theory to classroom. Plan activities; select equipment and materials; prepare goals and objectives.
CD 357 - Early Literacy,3,Review principles. Analyze theoretical approaches to facilitating literacy. Examine literary resources.
CD 358 - Supervised Work with Children II,4,Analyze and implement a constructionist approach with children. Developmental theory; role of adult in facilitating learning; interactive environments; group dynamics.
CD 446 - Structure and Content of Children’s Thinking,3,Current models for understanding intellectual processes in children. Apply models to thinking/learning processes in liberal arts content areas. Focus on children 5-12.
CD 482 - Directed Field Experience/Internship,1-4,Supervised community field work integrating theory into practice. Arrange prior to semester enrolled.
"CD 251 - Children, Families and Their Communities",3,Examination of the evolution of family roles and functions in the United States focusing on the relationship between family and the community. Application of selected families theories and discussion of family of diversity impacts.
CD 352 - Parent/Child Relationships,3,"Dynamics, reciprocal nature of interactions. Historic and contemporary issues. Ethnic and social class variations."
CD 362 - Children and Stress,3,"Impact of major childhood stressors (divorce, blended families, death, illness, natural disasters) on development. Coping mechanisms and stress disorders. Stress prevention strategies, treatment. Implications for service professionals."
CD 464 - Atypical Child Development,3,"Develop cognitive, social, motor, and communication skills in handicapped and at-risk children (0-6 years). Risk factors, family concerns, public policy, intervention."
ART 307 - Arts Integration in the Elementary Classroom,3,"Introduces prospective elementary teachers to the processes of creating, critiquing, and historically and culturally contextualizing visual arts methods and traditions for integration in the elementary (K-5) classroom. Coursework will prepare students for the development of California Arts Standards (CAS)-based lesson plans for integration in California schools."
KINS 475 - Elementary School Physical Education,3,Analyze motor skills. Appropriate movement patterns and progressions for children and early adolescents. Meets elementary education credential requirements.
MATH 308B - Mathematics for Elementary Education,3,"Develop advanced perspective of concepts, structures, and algorithms of math constituting the core of K-8 math curriculum: the real number system; number theory; algebra and functions; geometry and measurement; probability and statistics; mathematical reasoning. Take in B-C order. Does not apply toward math major/minor."
MATH 308C - Mathematics for Elementary Education,3,"Develop advanced perspective of concepts, structures, and algorithms of math constituting the core of K-8 math curriculum: the real number system; number theory; algebra and functions; geometry and measurement; probability and statistics; mathematical reasoning. Take in B-C order. Does not apply toward math major/minor."
SCI 331 - Fundamental Science Concepts for Elementary Education,3,Fundamental principles in physical science with an emphasis on building conceptual understanding. Intended for students preparing to teach at the elementary school level.
CD 109Y - American Sign Language: Level I,3,"Basic receptive and expressive communication skills using hands, upper body, and facial expressions. Orientation to deaf and hard-of-hearing communities. Only meets lower division GE requirements when CD 109Z is also completed."
CD 109Z - American Sign Language: Level II,3,"Expand basic ASL skills, both receptive and expressive. Emphasis on “functions” or communicative purposes of people’s interactions. Study deaf culture comparing hearing and deaf communities."
PSYC 418 - Developmental Psychopathology,3,"Developmental, social, behavioral, and emotional problems of children and adolescents are explored in relation to normal developmental milestones. Introduction to theories and research in the field of developmental psychopathology."
