title,units,description
COMM 105 - Introduction to Human Communication,3,"Perceptual effects, verbal/nonverbal codes, and dynamics of interpersonal, group, and organizational communication."
COMM 108 - Oral Interpretation,3,Performing of literature aloud to communicate meaning to an audience.
COMM 210 - Argumentation and Debate,3,"Students will develop practical argumentation, speaking critical listening and persuasion skills by preparing for speech and debate competition."
COMM 212 - Group Communication,3,"Principles, practices, and theories: formation, cohesion, change, problem solving, roles, leadership, norms, efficiency."
COMM 213 - Interpersonal Communication,3,Discuss and apply concepts/theories relating to self and self/other communication.
COMM 214 - Persuasive Speaking,3,Principles and practices of persuasion in various communication contexts. Prepare extemporaneous persuasive speeches.
COMM 222 - Intercultural Communication,4,Develop skills for communicating in various settings with people from different cultural backgrounds.
COMM 300 - Contemporary Public Discourse,3,"Examine and critique key contemporary communication moments and controversies.  Includes discourse, rhetoric and advocacy framing."
COMM 309B - Gender and Communication,3,"Critique relationship of gender to communication as viewed from perspectives of sciences, social sciences, and arts/humanities.
Cross-listed with: WS 309B"
COMM 315 - Communication and Social Advocacy,4,"Study of communication strategies utilized to create and resist social change in the context of historical/contemporary social movements. Possible topics: civil rights, suffrage movement, environment, animal rights."
COMM 319W - Communication Theory and Research,4,"Explore and practice the central communication research methods and theories to develop analytic, advocacy, and writing skills."
COMM 321 - Digital Communication,4,"Digital Communication teaches how to observe, research, influence and discuss how communication changes in online mediums."
COMM 438 - Leadership Communication,4,"Explore and develop leadership skills using communication practice, theory and case studies."
COMM 450 - Strategic Communication,4,"Applied focus on theories, techniques, and contexts of strategic communication intended to cultivate advanced communication efficacy and the ability to influence public discourse."
COMM 472 - Convention Experience,1,Purposeful attendance and thoughtful analysis of experience attending a regional or national academic communication convention.
COMM 474 - Communication Wizards,1,The Communication Wizards are Cal Poly Humboldt’s oral communication tutors.  These undergraduates provide tutoring for lower-division students in Public Speaking and Oral Interpretation.
COMM 495 - Field Experiences in Speech Communication,1-6,Either propose and develop a project (under direction of instructor) or perform supervised research on a project initiated by a professor.
COMM 499 - Directed Study,1-4,Individual study on selected problems.
COMM 387 - International Education Colloquium,1,"Earn credit by attending International Education Week events and participating in an online discussion forum. Mandatory pre-event meeting.
Cross-listed with: ANTH 387, ECON 387, GEOG 387, HIST 387, INTL 387, PSCI 387"
COMM 235 - Act to End Sexualized Violence,1,"Analyze how sexualized violence impacts communities and operates as social control; learn to recognize victim-blaming, promote survivor-centered responses, foreground enthusiastic consent, and take action to transform our campus community.
Cross-listed with: ANTH 235, CRGS 235, PSCI 235, SOC 235"
COMM 412 - Communication for Sustainable Development and Social Change,4,"Applied focus on models, media, and uses of professional communication in the context of sustainable development and social change."
COMM 420 - Rhetoric of Science,4,"Rhetoric of science is the genre and practice of how science is communicated and understood.  Rhetoric of science is a collection of critical science studies anchored in communication methodology and the practice of citizen science, public dialogue and reflection about how to use and navigate scientific knowledge."
COMM 423 - Health Communication,4,"Provides a broad introduction to human communication as applied to issues of human health. This course will develop understanding of how communication functions to facilitate or inhibit the practices of health and health care in a variety of contexts.  Covers:  provider-client communication, provider-provider communication and education, intercultural health communication, alternative medicine, health ethics, mass media health images, and compliance."
COMM 429 - Food Studies,4,"Explore how food communicates by using critical inquiry and discourse.  Focus is on how we talk about food and how food is entwined with messages of advocacy, power and culture change."
COMM 432 - Critical Cultural Communication,4,Critical Cultural Studies emphasizes the analysis of communication artifacts to unpack how our world is represented.  This class is intended to provide participants with a series of critical tools to analyze communication and develop intellectual application skills of critique.
COMM 435 - Negotiation Mediation and Crisis Communication,4,"Students will develop the practical and critical skills necessary to understand the communicational basis and dynamics of negotiation, mediation, and crisis management."
COMM 480 - Seminar in Speech Communication,1-4,New dimensions in the field.
