title,units,description
ECON 202 - Principles of Microeconomics,3,"Explore markets and how individuals and businesses make economic decisions. Topics include scarcity, supply/demand, market equilibrium, elasticity, consumer theory, production, costs, & profits under different market structures, factor markets, and market failure."
ECON 203 - Principles of Macroeconomics,3,"Analysis of the economy as a whole, including aggregate supply/demand, business cycles, GDP, inflation, unemployment, financial institutions, interest rates, monetary and fiscal policy, international trade/finance, and economic growth."
MATH 101 - College Algebra,3,"Topics include algebraic equations and inequalities; polynomial, rational, algebraic, exponential, and logarithmic functions; compositions and inverses; geometric transformations and properties of functions; difference quotients."
MATH 101I - College Algebra with Integrated Support,3,"Algebraic equations and inequalities; polynomial, rational, algebraic, exponential, and logarithmic functions; compositions and inverses; geometric transformations and properties of functions; difference quotients. Open to students in Math placement category III or IV."
MATH 102 - Algebra and Elementary Functions,4,"In-depth treatment of exponential, logarithmic, trigonometric, and polynomial functions."
MATH 109 - Calculus I,4,"Limits, continuity, derivatives, integrals, and their applications."
STAT 108 - Elementary Statistics,3,"Rudimentary data collection, descriptive statistics of univariate and bivariate data, probability, random variables, discrete and continuous distributions. Foundational concepts of confidence intervals and hypothesis tests. Use and abuse of statistics."
STAT 108I - Elementary Statistics with Integrated Support,3,"Introductory statistics with integrated support to aid comprehension. Data collection, descriptive statistics, bivariate data, probability, probability distributions. Foundational concepts of confidence intervals and hypothesis tests. Use and abuse of statistics. Open to students in Math placement category III or IV."
PSYC 109 - Introduction to Psychological Statistics,4,Descriptive/inferential methods for analyzing data. Descriptive statistics; normal distributions; elementary probability; bivariate correlation and regression; hypothesis testing for comparing independent and paired groups. Labs: computer statistical programs; problem solving.
ECON 310 - Intermediate Microtheory and Strategy,4,"Price determination in markets for goods, services, and resources. Utility and indifference analysis of demand. Isoquant analysis of production. Supply determination under competitive and noncompetitive conditions."
ECON 311 - Intermediate Macroeconomics,4,"Critique macroeconomic models, including macrodynamics and the microeconomic foundation of macroeconomic theory. Fiscal and monetary policy impacts on income, employment, interest rates, economic growth, inflation."
ECON 490W - Capstone Experience,3,"Develop career planning tools and skills. Produce a portfolio that articulates proficiency of program learning outcomes, including writing. Produce a legacy project."
BA 422 - Financial Data Analytics and Econometrics,4,"Introduction to basic data analytics concepts, techniques, and tools for financial and economic applications. It covers topics from computer programming and data analysis, econometrics, financial economics, mathematical optimization, and probability models."
PSYC 488 - Regression/Multivariate Topics,4,"Topics include multiple regression, moderated regression, logistic regression, time series, and factor analysis.
Co-listed with: PSYC 588. (Only one of the co-listed courses may be taken for credit. See Terminology for more information.)"
STAT 333 - Linear Regression Models/ANOVA,4,"Linear regression, analysis of variance, and other linear models applied to experimental and observational studies. course emphasizes model formulation, assumptions, selection, and interpretation in both hypothesis-testing and descriptive contexts."
ECON 305 - International Economics and Globalization,3,"Economic theories of trade and finance. Evaluate effects of world trading system and globalization. Debate role of international institutions (WTO & IMF). Case studies on free trade areas, financial crises, protectionist policies, and labor/environmental issues. Economics and business administration majors MUST co-enroll in ECON 305D."
ECON 306W - Economics of the Developing World,3,"Explore economic theory underlying development policies. Evaluate World Bank and IMF policy. Case studies covering poverty, inequality, trade and growth policy, debt issues, health, education, population, sustainable development, women in agriculture. Economics and business administration majors MUST co-enroll in ECON 306D."
ECON 308 - History of Economic Thought,3,"From Greeks/Romans to modern times. Changing thought on enduring questions of efficiency and justice. Great debates over trade, price control, socialism, and limits to growth, as reflected in works from Plato to Marx, Keynes, and Kuznets. Economics and business administration majors MUST co-enroll in ECON 308D."
ECON 309 - Economics of a Sustainable Society,3,Interpret meaning of sustainable economy. Techniques for measuring economic performance using sustainability standard. Analyze domestic and international policies consistent with a sustainable economy. Economics and business administration majors MUST co-enroll in ECON 309D.
ECON 323 - Economic History of the US,3,"Trace development of American economy and underlying economic, legal, and social institutions. Interaction among economic, social, and political conditions. Critique conventional wisdom on economic interpretation of historical issues, such as the revolution, Civil War, and slavery. Fulfills legislature-mandated requirement in US history. Economics and business administration majors MUST co-enroll in ECON 323D."
ECON 423 - Environmental and Natural Resources Economics,3,"Apply economic principles to public policies and management of natural resources (water, air, fisheries, forestry). Benefit/cost and economic impact analyses. Economics and business administration majors MUST co-enroll in ECON 423D."
ECON 435 - Financial Institutions and Capital Markets,4,"Explore new and traditional financial markets including cryptocurrencies, stock markets, mortgage-backed securities, foreign exchange, fixed income, and money. Understand financial crises. Learn fundamentals of central bank policy and commercial bank operations."
ECON 450 - Energy Economics and Climate Policy,4,Intro to energy market economics and institutions. Climate-change policies and impacts. Economic tools for reducing greenhouse-gas emissions. Economic analysis of energy efficiency and renewable energy projects.
ECON 470S - Sustainable Rural Economic Development,4,"Role of development practitioner. Analyze rural economic development theory and strategies required for sustained growth and job creation consistent with community values. Local speakers; cases; field trip; service-learning component.
Co-listed with: ECON 570S. (Only one of the co-listed courses may be taken for credit. See Terminology for more information.)"
ECON 480 - Special Topics in Economics,1-4,Topics of current issues.
MATH 107 - Introduction to Linear Algebra,3,"Euclidean spaces, matrices and matrix arithmetic, solving systems of equations, and eigenvalues and eigenvectors. Emphasis on applications and use of computation."
