title,units,description
ENGL 218 - Conceptualizing English Studies,4,"Aims and modes of inquiry associated with English Studies, to prepare for upper division work. Recommended first course in the major. Establish an ePortfolio to be completed throughout the major."
ENGL 220 - Representation Matters: Literature and Identity,4,"Examine how social identities are created through language, narrative, and text. Explore how categories of identity (gender, sexuality, race, nation, class, ethnicity, etc.) are central to the study of literature."
ENGL 232 - U.S. Literature and Social Change,4,"Analyze multi-ethnic U.S. literature from slave narratives to today. Discuss texts’ social, political, historical contexts-identity formations, definitions of “American” and “citizen,” constructions of race, gender, genre, borders, and resistance."
ENGL 240 - Topics in World Literature,4,"Analyze literature that addresses regional and transnational contexts through decolonizing lenses by authors from around the world. Places, themes, genres, historical contexts, major figures. Topics vary."
ENGL 336 - U.S. Writers of Color,4,"Read U.S. writers of color and immigrant writers in social and literary contexts. Examine counter-narratives and the creation of new literary traditions in the face of cultural and sociopolitical exclusion. Topics vary.
Cross-listed with: ES 336, WS 336"
ENGL 406W - Theories and Technologies of Writing,4,"Current theories/methods of teaching writing, and current technology for studying and teaching in the English discipline."
"ENGL 422 - Professional Research Pathways: Research, Libraries, and Graduate School Planning",4,Practice key skills associated with research. Gain an understanding of librarianship and archival research. Develop application materials for graduate school programs. Complete the portfolio for the major. Capstone course.
ENGL 426 - Teaching Secondary Writing,4,"Practice designing standards-based writing curriculum for secondary grades, including expository and creative genres. Train in literacy pedagogy and writing assessment procedures. Capstone course."
ENGL 436 - Career Preparation for Teaching English as a Second/Foreign Language,4,Prepare for careers in Teaching English as a Second/Foreign Language. Learn to teach content and language simultaneously to students who are still learning English. Prepare to find teaching positions abroad and in the U.S. Complete the portfolio for the major. Capstone course.
ENGL 461 - Professional Concerns in Writing and Editing,4,Practice professional skills in literary writing and editing. Learn to propose projects and seek funding support. Gain experience in arts administration. Work to increase the circulation of Toyon Multilingual Literary Journal.
ENGL 211 - Introduction to Creative Writing,4,"Learn craft principles for multiple genres of creative writing: including poetry, fiction, and creative nonfiction. Gain awareness of literary conventions and writing workshop practices. Practice a range of techniques for generating and revising texts."
ENGL 212 - Topics in Writing,4,"Themes, genres, major figures, or movements in writing studies. Topics vary."
ENGL 307 - Arts-Based Programs in Health,3,"Introduction to the field of Arts in Health in relation to Creative Arts Therapies. Discussion of program design and development, creative placemaking, and arts-based communication strategies in public health. Gain awareness of international initiatives meant to drive systemic change for health justice. Understand scope of practice for artists in health. Discussion of code of ethics and arts-based research practices."
ENGL 309W - Narrative Medicine: Communication in Health Care,3,"Analyze the forms of communication practiced in the clinical encounter, including the role of story in patient / provider communications. Emphasis on cultural humility and the relationship between culture and health. Introduction to trauma-informed and healing-centered care. Understand the role and importance of medical interpretation and practice National Standards for Culturally and Linguistically Appropriate Services (CLAS) in Health and Healthcare. Tailored for both healthcare practitioners and anyone interested in improving healthcare experiences."
ENGL 311 - Creative Writing for Environmental Justice,4,"Write, analyze, and critique texts that explore questions of environmental justice. Quality writing considered for publication in Toyon Multilingual Literary Journal."
ENGL 313 - Critical Topics in Writing and Rhetoric,4,"Themes, genres, major figures, or movements in writing studies. Topics vary."
ENGL 314 - Creative Writing: Nonfiction,4,"Write, analyze, and critique student nonfiction. For upper division students. Quality writing considered for publication in Toyon Multilingual Literary Journal."
ENGL 315 - Creative Writing: Fiction,4,"Write, analyze, and critique student fiction. For upper division students. Quality writing considered for publication in Toyon Multilingual Literary Journal."
ENGL 316 - Creative Writing: Poetry,4,"Write, analyze, and critique student poetry. For upper division students. Quality writing considered for publication in Toyon Multilingual Literary Journal."
ENGL 318 - How Writers Persuade: Cross-Cultural Rhetorics,4,"Examine principles of rhetoric, including how culture shapes and is shaped by language. Gain understanding of culturally diverse rhetorical traditions and practices. Apply rhetorical theories to the analysis and creation of texts."
"ENGL 319 - Podcasts, Social Media, and Web-Based Writing",4,"Explore mediated communication and digital rhetorics. Examine and apply rhetorical theory to multimodal texts. Analyze and produce websites, interactive media, podcasts, and social media campaigns."
ENGL 230 - Literatures in English Pre 1800,4,"Survey of texts written before 1800; focus on identities, politics, and genres emerging from changing ideas about selfhood, community, social order, race, gender, sexuality, nationhood, and sovereignty within the Atlantic world."
ENGL 231 - Literatures in English Since 1800,4,"Survey of texts written since 1800; focus on identities, politics, genres emerging in global aesthetic and anti-colonial political movements. British colonies past and present as important sites of Anglophone literary production and consumption."
ENGL 305 - Postcolonial Literature/Decolonizing Perspectives,3,"Discuss contemporary literature by African, Asian-Pacific, Middle Eastern, Latin American and Caribbean, and/or Indigenous writers, including fiction, drama, poetry, essays, film. Analyze settler colonialism, study postcolonial theory, and apply decolonizing lenses."
ENGL 306 - Contemporary Texts,3,"Selected texts from the 20th and 21st centuries in variable genres, forms and media, from traditional texts to graphic novels, film and new media."
ENGL 308C - Gender and Literature,3,"Analyze how literature (re)produces cultural conditions and attitudes about gender as it intersects with ethnicity, race, class, nation, and sexuality. Read works by diverse authors writing in multiple genres. International/transnational in focus.
Cross-listed with: WS 308C"
ENGL 342 - Special Topics in Shakespeare,4,"Instructor selects Shakespeare plays related by genre, chronology, or theme."
ENGL 350 - Topics in British and Postcolonial Literatures,4,"Examine specific themes, genres, historical periods, or figures. Topics vary."
ENGL 394 - Oregon Shakespeare Festival,1,"Weekend field trip to Ashland, Oregon to see two plays at the Oregon Shakespeare Festival. The dates for this trip vary and are based on OSF’s spring performance schedule and ticket availability. Course includes discussion about plays and performances."
