title,units,description
BOT 105 - General Botany,4,"Structure, function, reproduction, life cycles, and phylogenetic relationships of major plant groups. Relationships of plants to other organisms and to human activities."
ESM 105 - Natural Resource Conservation,3,Broad aspects; history of humanity in relation to land use; human populations in relation to resources; history of conservation movement; present day conservation problems.
GSP 101 - Geospatial Concepts,3,"Overview: scale, coordinates, geodesy, direction, projections, surveying, global positioning systems (GPS), remote sensing, geographic information systems (GIS), cartography; historical context illustrating how maps depict spatial relationships, chart power, convey authority."
ESM 200 - Inscape and Landscape,3,"Examines how people view the world, how these worldviews originate, and how they influence our perception of the world around us."
SCI 100 - Becoming a STEM Professional in the 21st Century,3,"This course provides an introduction to the academic skills of a student in STEM, an introduction to the practical aspects of these disciplines, and their role in our multicultural society."
MATH 101 - College Algebra,3,"Topics include algebraic equations and inequalities; polynomial, rational, algebraic, exponential, and logarithmic functions; compositions and inverses; geometric transformations and properties of functions; difference quotients."
MATH 101I - College Algebra with Integrated Support,3,"Algebraic equations and inequalities; polynomial, rational, algebraic, exponential, and logarithmic functions; compositions and inverses; geometric transformations and properties of functions; difference quotients. Open to students in Math placement category III or IV."
MATH 1 - Support for College Algebra,1,Integrated support for development of quantitative reasoning in College Algebra (MATH 101I). No degree credit.
MATH 102 - Algebra and Elementary Functions,4,"In-depth treatment of exponential, logarithmic, trigonometric, and polynomial functions."
STAT 109 - Introductory Biostatistics,4,"Descriptive statistics, probability, random variables, discrete and continuous distributions, confidence intervals, contingency tests, regression and correlation, tests of hypothesis, analysis of variance. Emphasis: methods and applications used in the biological and natural resource sciences."
ESM 230 - Environmental Methods,3,"Introduction to quantitative tools for environmental problem solving. Basic modeling skills in the context of topics related to environmental issues associated with air, water, land/earth, and energy."
ESM 303 - Applied Natural History and Ecology,4,"Biotic communities of the north coast of California and the identification, ecology and life history of the organisms living there. Includes basic principles of ecology, field techniques for studying organisms in the wild, and methods of collecting and recording field data."
