title,units,description
ART 103A - Prehistoric to Medieval Art,3,"First of a two-part survey of world art history. Covers art and architecture from Europe, Africa, Asia, and the Americas from prehistory through the Middle Ages."
ART 103B - Renaissance to Contemporary Art,3,"Second of a two-part survey of world art history. Covers art and architecture from Europe, Asia, Africa, and the Americas from approximately 1400 CE to the present day."
ART 105B - Fundamentals of Drawing,3,"Training in fundamentals of drawing: form, space, organization, composition. Various drawing materials and techniques."
ART 105C - 2D Foundations,3,"Concepts of line, texture, value, shape, color, and composition in the context of 2-dimensional space. Discussion of the nature of visual perception including illusions and cultural influences on perception."
ART 105D - 3D Foundations,3,"Introduction to materials, techniques and concepts of organizing forms in three dimensions. Discussion of 3D design principles and history in relation to arts, architecture, products and prototype design."
ART 105E - Digital Media Foundations,3,"Introduction to digital media focusing on computers, networks, digital art, digital design and time-based media. Topics include the formal qualities of new media, their political and cultural dimensions, as well as questions of genre, subjectivity, narrative, and history."
ART 106 - Painting I,3,"Training in the fundamentals of painting: color, composition, and technical issues. Develop visual principles through various subject matter."
ART 107 - Printmaking I,3,"Introduction to the contemporary practices and aesthetics of printmaking. Concentration on basic relief, intaglio, monotype and/or lithography methods."
ART 109 - Sculpture I,3,"Introduction to sculpture and three-dimensional thinking and vocabulary. Techniques include fabrication in steel, fibers and wood, reduction in stone or plaster and found objects. Presentation of correct tool usage and safety issues."
ART 112 - Scientific Drawing I,3,Development of skills in the observation and accurate rendering of scientific subjects.
ART 122 - Life Drawing I,3,Study of the form of the human figure from direct observation. Includes study of basic anatomy of interest to the artist.
ART 250 - Darkroom Photography,3,"Fundamentals of fine art analog black-and-white photography. Camera operations, film development, and silver gelatin printing. Discuss work of historical and contemporary fine art photographers."
ART 251 - Photography I,3,Fundamentals of digital camera functions and introduction to digital imaging software. Exploration of creative image control and visual communication through lens-based image making.
ART 273 - Illustration I,3,"Introduction to traditional media illustration workflow, concepts, and materials and techniques."
ART 282 - Jewelry/Small Metals I,3,"Introduction to fabrication in silver and base metals. Techniques include sawing, soldering, etching, stone setting. Proper tool usage and safety. Problem solving and development of intuitive thinking."
ART 290 - Ceramics I,3,"Development of basic forming and glazing skills, an understanding of visual form, and creative problem solving."
ART 303 - Global Contemporary Art,3,This course explores global contemporary art and theory (post-1970). Emphasis is placed on understanding major trends as well as theoretical models so that students can generate their own informed analysis.
ART 303M - Global Contemporary Art Depth Experience,1,"This course explores global contemporary art and theory in greater detail through a combination of seminar meetings, writing assignments, and presentations."
ART 301 - Topics in Western Art History,3,Topics in western art history from antiquity to the present.
ART 302 - Topics in Global Art History,3,Topics in non-western art history from antiquity to the present.
ART 304 - Topics in American Art,3,"Topics in American art history, pre-contact to the present."
ART 305 - Museums and the Politics of Display,3,"Addresses how methods of display impact our understanding of cultures, histories, and objects. Examines the historical development of museums, including their collection, exhibition and education practices. Particular attention is given to issues of diversity and multiculturalism. Visits to virtual museums, galleries and alternative exhibition spaces will also be an important element of the course."
ART 308 - Topics in Media Art History,3,"Topics in media art history from beginning to the present.
Cross-listed with: FILM 308"
ART 410W - Art History Seminar,4,Capstone class for art history. Advanced topics in art history. Focus on research skills and art historical writing.
ART 437W - Professional Practices in Art,3,Capstone course for art majors. Development and refinement of professional practices related to visual arts.
ART 494 - B.F.A. Practicum in Studio Art,3,"Cross-disciplinary seminar/lab. Production of a cohesive body of work that demonstrates perceptual acuity and conceptual understanding at a professional level. Required participation in critiques, discussions and readings."
ART 356 - Museum and Gallery Practices,3,"Overview of museum & gallery operations, including structural organization, collections management, conservation, installation, and exhibitions. Organize, design & install exhibitions in the Reese Bullen Gallery."
ART 491A - Teaching Assistant - Studio,3,"This course provides an introduction to university-level teaching. Under the guidance of a master teacher, students learn curriculum development and will assist the instructor in the studio classroom."
ART 321 - Drawing II,3,"Further development of formal, technical, and conceptual skills. Introduction of color drawing media. Emphasis on drawing as a tool for the visual communication of ideas."
ART 325 - Life Drawing II,3,Continued study of the form of the human figure from direct observation. Exploration of the ways in which figurative art can be used to communicate ideas.
ART 326 - Painting II,3,"Further develop fundamentals of painting: materials, techniques, form, space, organization, composition, color. Explore individual intuition and vision. Emphasis on visual form and principles rather than subject matter."
ART 330 - Printmaking: Studio Topics,3,"Further development of formal, technical, and conceptual skills. Emphasis on larger scale prints, color printing and combinations of print techniques. Rotating concentration on one or two print processes."
ART 337 - Photography: Studio Topics,3,"In-depth exploration of photographic tools and processes that build upon a basic knowledge of camera functions and analog and/or digital processes. Topics may include: alternative non-silver darkroom processes, digital negatives, large format cameras, and studio lighting."
ART 340 - Digital Media II,3,Continued investigation into visual communication with emphasis into digital media topics.
ART 346 - Sculpture: Materials and Methods,3,"Continuation and development of skills with emphasis on mold making, bronze casting, wax and patina working, body casting, fiberglass reinforced resin, etc."
ART 348 - Jewelry/Small Metals: Casting and Fabrication,3,"Introduction to casting and fabrication techniques: forming, enameling, cold connections, and stone setting through assigned projects. Alternative materials and patination. Further develop problem solving, intuitive thinking, and personal vocabulary."
ART 350 - Ceramics: High Fire,3,Further development of forming and glazing skills associated with high temperature firing and materials. Emphasis on wheel-thrown forms.
ART 351 - Ceramics: Low Fire,3,Further development of forming and glazing skills associated with low-temperature firing and materials. Emphasis on hand-built forms.
ART 367 - Photography II,3,"Further exploration of digital imaging, including topics such as color theory, creative lighting control, and archival pigment printing. Creative problem solving and investigation of contemporary photo topics."
ART 368 - Photography II Studio Practice,3,"Continued exploration of photography concepts and techniques, including topics such as studio lighting, archival pigment printing and image manipulation. Creative problem solving and investigation of contemporary photo topics."
ART 372 - Digital Media: Studio Topics,3,Special assignments/topics addressing current trends and issues in digital media.
ART 372B - Radical Graphics: Activism and Climate,3,"Investigates the context of activism throughout the history of Contemporary Art. Involves learning about the context of sustainability in the world of visual media design as well as social justice as a driving factor for issue based artwork. Involves the use of digital and hands on processes to research, communicate and visualize the stakes and solutions of activism and climate change as well as the technical skills needed to do so. Develop and reinforces dynamic skill sets to respond to these issues, and asks everyone involved to contribute and help shape what the class becomes."
ART 373 - Illustration II,3,Introduction of digital drawing and painting techniques. Focus on the development of a body of work that reflects the individual skills and interests of its maker.
ART 395 - Topics in Studio Art,1-6,Experimental course in selected problems.
ART 396B - Art Workshop,1,Various media.
ART 499 - Directed Study,1-6,Program and hours arranged with staff.
ART 324 - Drawing III,3,Build on skills and concepts explored in prerequisite courses. Develop an aesthetically cohesive series of drawings informed by individual interests.
ART 329 - Painting III,3,"Further develop individual intuition and vision. Apply, understand, and compare concepts, attitudes, and methods of traditional and contemporary approaches to painting."
ART 333 - Printmaking: Portfolio Development,3,"Continued development of print skills to create personally expressive and content-driven artwork. course explores intensive study of intaglio, relief, monotype, lithography, and/or new processes."
ART 339 - Photography: Portfolio Development,3,Preparation for professional art practice. Concentration on developing thematic portfolio and professional presentation methods. Discuss contemporary photo issues.
ART 343 - Digital Media: Portfolio Development,3,Prepare for entry into professional practice through the development of a market-ready portfolio and work on complex problems.
