title,units,description
INTL 210 - Introduction to International Studies,4,"Introduction to the multi-disciplinary field of International Studies, with preparation for further coursework in the major. Examines development of modern world through diverse analytical lenses."
INTL 220 - Introduction to Cultural Studies,3,"Topics studied include culture and imperialism/ cultural imperialism; orientalism and the politics of representation; (post) colonialism; cultural appropriation, hybridity, and syncretism; diasporic, transnational, cosmopolitan, and border cultures; “global” pop culture."
INTL 320 - Career Workshop,1,"Career planning, networking, resume, cover letter, internship and job search, working a room."
INTL 387 - International Education Colloquium,1,"Earn credit by attending International Education Week events and participating in an online discussion forum. Mandatory pre-event meeting.
Cross-listed with: ANTH 387, COMM 387, ECON 387, GEOG 387, HIST 387, PSCI 387"
INTL 410W - Global Issues Analysis,4,"Interdisciplinary analysis of global issues bridging the perspectives of politics, economics, and culture with an emphasis on research and writing skills in the service of critical analysis."
INTL 490 - International Studies Capstone,3,Students synthesize and apply the student learning outcomes in the program in preparation for career or graduate studies.
ECON 305 - International Economics and Globalization,3,"Economic theories of trade and finance. Evaluate effects of world trading system and globalization. Debate role of international institutions (WTO & IMF). Case studies on free trade areas, financial crises, protectionist policies, and labor/environmental issues. Economics and business administration majors MUST co-enroll in ECON 305D."
ECON 306W - Economics of the Developing World,3,"Explore economic theory underlying development policies. Evaluate World Bank and IMF policy. Case studies covering poverty, inequality, trade and growth policy, debt issues, health, education, population, sustainable development, women in agriculture. Economics and business administration majors MUST co-enroll in ECON 306D."
PSCI 240 - Introduction to International Relations,4,"Examination of institutional, economic, security, and environmental relations between and among nations. Basic concepts, theory and methods of the subfield. Required for political science majors."
GEOG 363 - Political Geography,3,World survey of spatial variation and interrelationships of political phenomena within a political region.
ANTH 318 - Ethnography,4,Problems and techniques of describing culture and representing the “other.” Critical look at the process and politics of descriptions anthropologists craft.
CRGS 390W - Theory and Methods,4,"Introduces critical social theories informing Ethnic, Women’s and Multicultural Queer Studies. Explores workings of power, construction of the subject, dynamics of resistance, and conceptual bases of liberation movements. Emphasis rotates."
GEOG 311W - Geographic Research and Writing,3,"Overview of discipline and profession. Use of library resources, research tools. Emphases: geographic methodologies, academic writing, presenting. Research paper and presentation on regional topic."
HIST 210 - Historical Methods,4,Nature of history; historical consciousness; historians’ craft; use of primary/secondary sources. Recommended first course in the major. One of four units is individualized instruction on assigned essay. History majors must take HIST 210 before taking upper division major courses.
ANTH 307 - World Heritage and Archaeology,3,Studies of diverse human values and social systems embedded in cultures of a world region through investigations in archaeology and/or cultural anthropology.
ES 310 - U.S. and Mexico Border,4,"Overview of Mexico: from its indigenous roots, through formation of Spanish colonial society, to an independent nation-state. Cultural conflict and social change."
GEOG 472 - Topics in Regional Geography,1-4,Specialized consideration of selected world regions.
HIST 109 - Colonial Latin American History,3,Pre-Columbian and colonial Latin America to 19th century independence movements.
HIST 109B - Modern Latin America,3,Major themes/problems in history of Latin America from early 1800s (independence) to present.
HIST 326 - History of Mexico,4,"Surveys Mexican history from Pre-Columbian indigenous societies to present-day EZLN uprising in Chiapas. Focus placed upon political, economic, environmental history, and foreign relations with the United States."
PSCI 376 - Multilateralism and the United Nations System,2,The dynamics of multilateral diplomacy and international relations with an emphasis on the United Nations and its subsidiary and ancillary organizations.
PSCI 377 - Model United Nations,1,"Delegate preparation for and participation in intercollegiate Model UN, emphasizing the art of lobbying, negotiation, bargaining, and international diplomacy."
SPAN 365S - Field Experience: Regional Studies,1-4,"Students apply four language skills (oral, writing, reading, and comprehension) in an authentic social and cultural context while serving host country’s local community needs."
SPAN 402 - Hispanic Civilization: Latin America,4,"Chronological presentation of culture, pre-Colombian to present day."
ART 301 - Topics in Western Art History,3,Topics in western art history from antiquity to the present.
SPAN 335 - Reading and Writing: Regional Studies,1-4,"Contemporary readings, short stories, short novels, poems, newspaper articles. Review of current idiomatic and formal usage in written language of a Spanish-speaking host country."
SPAN 345 - Hispanic Cinema,4,"Films of past 50 years, both as art medium and document of changing society. New generation of film makers/ directors. When possible, study relationship between literary work and its film adaptation."
SPAN 346 - Borges and the Contemporary Spanish American Short Story,4,"Borges’ short stories as pre-texts of Spanish American modern narrative literatures. May include works from Cortazar, Rulfo, Valenzuela, Lynch, others."
SPAN 347 - The “Boom” of the Latin American Novel,4,"Magic realism; the fantastic; self-conscious fiction. Garcia Marquez, Vargas Llosa, Fuentes, Sabato. Innovative structure, mass media techniques, linguistic play."
SPAN 348 - Contemporary Hispanic Poetry,4,"Vanguard movements in poetry; their relation to film, music, art. Garcia Lorca, Miguel Hernandez, Octavio Paz, Pablo Neruda, Nicolas Guillen, others. Conflict between poetry and political commitment. Varied, complex voices of Spain, Latin America."
