title,units,description
BIOL 104 - General Biology,3,Principles of modern biology. Emphasis on aspects of biology rapidly reshaping our culture. Not intended for majors in life sciences or natural resources.
BIOL 105 - Principles of Biology,4,"Fundamental processes of life. Structure and function of cells, genetics, evolution, and ecology."
CHEM 109 - General Chemistry I,5,"Fundamental concepts: chemical foundations, stoichiometry, chemical reactions, gases, thermochemistry, atomic theory, bonding, liquids, solutions. For students in science, engineering, and related majors."
KINS 288 - Foundations of Science in Kinesiology,3,"This course studies the major systems of the body through a biochemical, molecular biology lens. Students will engage introductory concepts of metabolism, biochemistry, public health, medical science, health sciences, pathology, and human performance. This course is designed for kinesiology and nursing students with a strong interest in the health or medical field of study and is a component course of kinesiology core."
HED 120 - Responding to Emergencies - CPRFPR,1,"Course includes American Red Cross First Aid, Adult CPR, Adult AED, Child CPR, Child AED, and infant CPR. Leads to first-time certification or recertification of these courses."
HED 231 - Basic Human Nutrition,3,"Nutrient requirements for healthy living. Analyze food sources, function of nutrients, chemical processing, and food absorption."
KINS 165 - Foundations of Kinesiology,3,Contemporary practices; current issues. Philosophies and cultural foundations of human movement. Develop writing skills.
ZOOL 113 - Human Physiology,4,"Physiological mechanisms of human body. Emphasis: organ level of integration. No credit toward a major in biology, botany, or zoology."
ZOOL 270 - Human Anatomy,4,Gross and microscopic anatomy of human body. Demonstrations on cadavers; microscopic work. Intended for Kinesiology and Pre-Professional Health students.
HED 392 - Community and Population Health,3,"Introduction to public health, epidemiology, structure, and function of the health care system and environmental health. Methods for addressing health needs in different populations and settings."
KINS 379 - Exercise Physiology,4,"How the body responds, adjusts, and adapts to exercise. Muscular, circulatory, respiratory, energy, and endocrine systems."
KINS 385 - Adapted Physical Activity,3,"Provides students with the opportunity to understand the History of Special Education Law and how these laws protect the rights of individuals with disabilities within the physical education setting. Students will understand philosophies, such as inclusion, and how cultural differences can be addressed within the classroom. Students will understand how students qualify for adapted physical education and how adapted sports can be included in the K-12 curriculum to provide each student the opportunity to become physically literate."
KINS 386 - Structural Kinesiology,4,"Structural/ mechanical analysis of human motor performance. Osteology, arthrology, myology, anatomical mechanics, motion ability factors, anthropometry, and specific structural movement problems, with emphasis on qualitative analysis."
KINS 483 - Evaluation Techniques in Kinesiology,3,"Testing, measurement, and statistical procedures. Theory and lab analysis of how measuring/ statistical devices are constructed, administered, evaluated."
KINS 484 - Motor Development/Motor Learning,3,Principles of perceptual organization. Functions of proprioceptors and other sensory modes in developing kinesthesia. Interrelationships necessary for cognition.
KINS 492W - Senior Project in Kinesiology,3,Develop a final project using research and scientific reasoning in a selected topic that will align with a desired career path within Kinesiology. Gain experience in career specific interviewing.
DANC 354 - Teaching of Dance,2,Learn basic tenets of teaching dance in a variety of settings. Integrate pedagogical knowledge with various dance techniques and creative skills. Learn how to organize and adapt lesson plans to the diverse interests and abilities of learners.
KINS 311 - Concepts of Teaching Aquatics,2,"Analysis of teaching concepts and skills in aquatics; instructional approaches, planning, curriculum, and evaluation of concepts and skills for water safety instruction."
KINS 315 - Concepts of Teaching Dynamic Patterns of Movement,2,"Analysis of teaching concepts and skills in dynamic patterns of movement; instructional approaches, planning, curriculum, and evaluation of combatives/self-defenses and gymnastics concepts and skills."
KINS 325 - Health-Related Exercise,2,"Principles, theory, and practice of health-related exercise through fitness programs, recreational activities, and outdoor education. Analysis of teaching and learning; instructional and curricular approaches; standards-based instruction; planning and assessment strategies."
KINS 327 - Games Concepts I,3,Teaching Games for Understanding (TGFU) as applied to net/wall and target-based activities. Analysis of teaching and learning; instructional and curricular approaches; standards-based instruction; planning and assessment strategies.
KINS 329 - Games Concepts II,3,Teaching Games for Understanding (TGFU) as applied to invasion and fielding/run scoring activities. Analysis of teaching and learning; instructional and curricular approaches; standards-based instruction; planning and assessment strategies.
HED 405 - School Health Programs,3,"Basic personal and school health issues: drug use and abuse, nutrition, sexually transmitted diseases, safety and liability, consumer education, common school-age illnesses, death and dying, human sexuality, and stress. Meets health education requirement for teaching credential."
KINS 384 - Curriculum and Instructional Strategies in Physical Education,3,Evaluate curriculum content of secondary physical education programs. Implement curricular theory by developing an instructional program. Employ effective management techniques in lab settings.
KINS 474 - Psychology of Sport and Exercise,3,"Theoretical and applied aspects of the psychology of exercise and sport. Review of personality, motivational processes, interpersonal and group processes, developmental patterns, and intervention techniques in cultural contexts."
KINS 475 - Elementary School Physical Education,3,Analyze motor skills. Appropriate movement patterns and progressions for children and early adolescents. Meets elementary education credential requirements.
KINS 486 - Theory of Coaching,2,"Provides coach with general knowledge of fiscal management, contest management, public relations, marketing. Guest lecturers."
