title,units,description
CS 111 - Computer Science Foundations 1,4,"Introductory programming covering problem decomposition, control structures, simple data structures, testing, and documentation. Students design and implement a number of programs."
MATH 107 - Introduction to Linear Algebra,3,"Euclidean spaces, matrices and matrix arithmetic, solving systems of equations, and eigenvalues and eigenvectors. Emphasis on applications and use of computation."
MATH 109 - Calculus I,4,"Limits, continuity, derivatives, integrals, and their applications."
MATH 110 - Calculus II,4,"Logarithmic and exponential functions, inverse trigonometric functions, techniques of integration, infinite sequences and series, conic sections, polar coordinates."
MATH 210 - Calculus III,4,Vectors; parametric equations; 3-dimensional analytic geometry; vector- valued functions; partial derivatives; multiple integrals; introduction to line integrals.
MATH 245 - Mathematical Experimentation and Proof,4,"Discovery through mathematical experimentation. Mathematical reasoning, writing, and proofs; sets, functions, topics in discrete mathematics, problem formulation, problem solving."
STAT 109 - Introductory Biostatistics,4,"Descriptive statistics, probability, random variables, discrete and continuous distributions, confidence intervals, contingency tests, regression and correlation, tests of hypothesis, analysis of variance. Emphasis: methods and applications used in the biological and natural resource sciences."
MATH 313 - Ordinary Differential Equations,4,Systems and series solution methods; applications. Numerical and analytical techniques.
MATH 315 - Advanced Calculus,3,"Vector fields; line and surface integrals; Green’s, Divergence, and Stokes’ Theorems; Applications; Taylor polynomials in several variables; additional advanced topics."
MATH 480 - Selected Topics in Mathematics,1-4,
MATH 344 - Linear Algebra,4,"Matrices, vector spaces, inner product spaces, linear transformations, canonical forms, eigenvalues, matrix factorization, numerical methods, applications."
MATH 371 - Geometry,3,"Use historical and modern methods to construct geometric objects and prove theorems. View geometric transformations as functions; describe and analyze them through matrices and complex numbers. Study shapes and patterns in two and three dimensions, including important theorems about triangles. Applications. Additional advanced topics in geometry."
MATH 415 - Real Analysis,4,"Real numbers, sequences, convergence, supremum and infimum, continuity, uniform continuity, integration, differentiation, Taylor’s Theorem."
MATH 442 - Abstract Algebra,4,"An introduction to algebraic structures including groups, rings, fields, and polynomial rings. Provides a solid foundation in these topics and a foundation for further study. Provide prospective secondary teachers with a general context in which the primary notions of secondary education algebra are unified."
MATH 460 - Mathematical Modeling,4,"Modeling techniques. Examples from biological, environmental, and physical sciences: continuous, discrete, stochastic, and computer simulation models."
STAT 323 - Probability Theory and Mathematical Statistics,4,"Probability axioms; probability distributions of discrete and continuous random variables and their properties; concepts of marginal and conditional probability. Mathematical expectation; moments and moment generating functions. Likelihood and statistical estimation, data analysis using software. Emphasis: mathematical theory."
MATH 445W - Mathematics Capstone,3,"Student-led mathematics project culminating in a written and an oral presentation. Projects explore an area of pure or applied mathematics or mathematics education beyond the scope of the core Mathematics curriculum. Preparation for professional life after graduation, including graduate school attendance, teaching mathematics, or other quantitative careers."
