title,units,description
PSCI 220 - Introduction to Political Theory,4,"Key political concepts including freedom, equality, justice, and democracy critically examined through the writing of influential western thinkers from Plato to present. Required for political science majors."
PSCI 230 - Introduction to Comparative Politics,4,"Comparison of political institutions, parties, elections, movements, policies, and issues of countries other than the United States. Basic concepts and methods of the subfield. Required for political science majors."
PSCI 240 - Introduction to International Relations,4,"Examination of institutional, economic, security, and environmental relations between and among nations. Basic concepts, theory and methods of the subfield. Required for political science majors."
PSCI 395 - Political Research and Analysis,4,"Research and analysis skills, both qualitative and quantitative, of political science as a discipline."
PSCI 485W - Capstone Seminar in Politics,4,"Seminar topic varies each semester. Format emphasizes critical analysis, class presentations, and a substantial research paper. Integration of concepts and skills from previous courses in the major."
PSCI 413 - Moot Court,2,Learn and prepare appellate arguments in two-person teams for hypothetical cases to be argued in front of the U.S. Supreme Court.
PSCI 414 - Moot Court Competition,1,"Competitor preparation for and participation in intercollegiate moot court, emphasizing the art of appellate oral argument."
PSCI 376 - Multilateralism and the United Nations System,2,The dynamics of multilateral diplomacy and international relations with an emphasis on the United Nations and its subsidiary and ancillary organizations.
PSCI 377 - Model United Nations,1,"Delegate preparation for and participation in intercollegiate Model UN, emphasizing the art of lobbying, negotiation, bargaining, and international diplomacy."
PSCI 482 - Internship,3,Field observation; placement in a public or private nonprofit agency.
PSCI 317 - Public Policy Process,4,This course addresses the policy process and contemporary policy issues and at national and/or state level.
PSCI 350 - US National Politics,4,"This course addresses how the legislative, executive, and judicial branches operate and the current governing challenges facing the national government in the United States."
PSCI 410 - US Constitutional Law,4,"Major Supreme Court cases reveal values in interpretation of laws. Powers of the nation, states, tribes and civil liberties and civil rights. Meets requirement in “US Constitution and California state and local government” established by California legislature."
"CRGS 360 - Race, Gender and US Law",4,"How are race, gender, and sexuality constructed and regulated in U.S. law? How have activists challenged such regulations? Discussion of slavery, miscegenation, eugenics, birth control, marriage, welfare, and affirmative action."
PSCI 313 - Politics of Criminal Justice,4,Analysis of political forces driving criminal justice systems in US. Emphasis placed on criminal justice policy and policy implementation and the impact of criminal justice policy on society.
PSCI 347 - US Foreign Policy,4,"Theoretical approaches; major problems. Procedures, interests, purposes, and group pressures."
PSCI 358 - Political Advocacy,4,"This course addresses the role of individual and group political actors such as interest groups, political parties, and social movements in the US political system and how each advocates for political change."
PSCI 412 - Legal Research,4,"Principles and research procedures in California/federal case law, statutory law, and codes. Computerized legal research; legal citation and writing."
PSCI 441 - International Law,4,"Its nature and substance. Legal history: cases, treaties, and other international documents."
PSCI 303W - Global Inequalities,3,"Examination of the politics of inequality and power in low-income countries from historical, economic, social, cultural, and international perspectives."
PSCI 305W - Food Politics,3,"Explores a variety of topics in the politics of food, including political, economic, social, and cultural dynamics of food production and consumption; the intersection of food and identity; food and the environment; food regulatory policy; alternative food systems."
PSCI 306 - Environmental Politics,3,"Examines issues, movements, and controversies at bioregional, national, and global levels. Analyzes the political decision-making process and implementation of environmental policy."
PSCI 320 - Career Workshop,1,Explore career building and learn how to build a “professional identity”.
PSCI 323 - Topics in Political Theory,4,In-depth exploration of important concepts or movements in political thought. Topics vary; consult current class schedule.
"PSCI 324 - The Arab-Israeli Conflict: History, Narratives and Nationalism",4,"Traces the history and politics of the Arab-Israeli conflict from its earliest days. Explains events and narratives that shaped this longstanding conflict, while also analyzing U.S. involvement in it."
PSCI 327 - Radical Political Thought,4,Critical examination of Marxist and other radical critiques of liberal democracy that have been influential over the past century.
PSCI 330 - Political Regimes and Political Change,4,"Advanced study of comparative politics in regional context of Latin America, Africa, Europe, Middle East, or Asia. Topics vary; consult current class schedule."
PSCI 340 - Ethnicity and Nationalism,4,"Comparative study of ethnic identity and conflict, nationalism and responses of states and the international community. Regions and cases vary with instructor."
PSCI 343 - Global Governance,4,"Analysis of the processes and politics of global governance with an emphasis on non-state actors, intergovernmental organizations, and international institutions."
PSCI 352 - Water Politics,4,"Water-related political and legal issues. Emphasis on conflict and cooperation in the distribution and allocation of water resources. May focus on local, state, regional, national and/or international issues."
PSCI 354 - Media and Public Opinion,4,This course focuses on how media and strategic communication shape public opinion and political outcome.
PSCI 360 - Political Economy,4,"Examination of the politics of economic actors, decision making, policies, and issues at local, national and/or international levels. Focus may vary with instructor."
PSCI 364 - Technology and Development,4,"Political and social role of technology in Third World development. Relation to theories and concepts, such as science, democracy and inequality, and to actors, such as women and farmers."
PSCI 365 - Political Ecology,4,"Combines elements of human ecology and political economy to examine environmental degradation, conflict, and conservation. Examines social movements and community responses to environmental change.
Cross-listed with: GEOG 365"
PSCI 371 - Experiential Workshop,1-4,Participation in and reflection on academic or professional conferences or other experiential learning activities.
PSCI 373 - Politics of Sustainability,4,"Examine diverse views of concepts such as democracy, liberty, justice, and nature as a response to political challenges of sustainability and unsustainability. Role of states, technology, markets, and culture."
PSCI 381S - Community Leadership in Action,1,"Facilitate involvement in Equity Arcata. Promote civic engagement, work towards racial equity in health, housing, education, and employment, and participate in creating a welcoming, safe, and inclusive campus and community for all."
PSCI 387 - International Education Colloquium,1,"Earn credit by attending International Education Week events and participating in an online discussion forum. Mandatory pre-event meeting.
Cross-listed with: ANTH 387, COMM 387, ECON 387, GEOG 387, HIST 387, INTL 387"
PSCI 480 - Seminar in Political Science,4,"Topics in political theory, international relations, American politics, or comparative politics."
PSCI 491 - Mentoring,1-4,Advanced majors gain experience as teaching assistants working with a diverse body of students.
PSCI 495 - Field Research,1-4,"Field investigation of current phenomena, including issues and political behavior."
PSCI 499 - Directed Study,1-4,Selected problems. Open to advanced students with Instructor Approval.
