title,units,description
REC 100 - Leisure in Society,3,"Explore leisure experiences, leisure professions and the effects of leisure on individual and community wellbeing. Examine the role of leisure in diverse communities. Develop knowledge of local leisure providers and activities, and develop leisure habits for increased personal wellbeing."
REC 210 - Recreation Leadership,3,Leader’s role in organization. Developing a program within organized youth groups.
REC 220 - Leisure Programming,3,"Theories, content, and design to serve community leisure needs."
REC 302 - Inclusive Recreation,3,"Focus on knowledge and attitudes necessary to make recreation accessible to people who have illnesses or disabling conditions. Includes examination of inequity and barriers to leisure, and strategies for inclusion."
"REC 320 - Organization, Administration and Facility Planning",3,"Organization, administration and facility planning of recreation and kinesiology programs. Topics include: organizational structures, fiscal planning and budgets, risk management, personnel policies and issues, and public relations."
REC 420 - Legal and Financial Aspects of Recreation,3,Legal aspects and the many financial involvements of conducting a recreation program.
REC 455 - Internship and Career Preparation Workshop,1,"Plan and prepare for internship and career in recreation administration. Analyze career placement opportunities, self-exploration, resume construction, interview methods, e-portfolio development and internship process and requirements."
REC 482 - Internship in Recreation,1-6,Supervised experience. Apply academic understanding to a functioning recreational agency.
REC 485 - Senior Seminar - Majors,2,Senior majors apply knowledge/skills to professional problems. Specific professional development projects.
"REC 252 - Diving First Aid, Introduction to Cal Poly Humboldt Diving",1,"NAUI First Aid, and Oxygen Provider training and certification. Recognition, prevention, and first aid treatment of diving emergencies. Cal Poly Humboldt medical evaluation for scuba diving, swim test, and basic scuba skills evaluation."
REC 262 - Beginning SCUBA,4,"Diving physiology, physics, hyperbaric medicine, nearshore oceanography, gear selection and maintenance, accident management, dive planning. SCUBA certification upon successful completion. Required SCUBA gear (rental or personal)."
REC 362 - Master Diver,4,"NAUI Master Scuba Diver certification upon successful completion of the course. Diver rescue, deep diving, night diving, search and recovery, altitude diving, navigational techniques, and introduction to scientific diving. Required SCUBA gear (rental or personal)."
REC 383 - Rescue Diver,3,Emergency management of diving accidents; diver rescues; first aid for diving injuries. Qualify for Cal Poly Humboldt/NAUI leadership levels.
REC 472 - Leadership Diving: Assistant Instructor,4,Rescue-certified divers develop knowledge and skills to assist in supervising and training divers. Course exceeds National Association of Underwater Instructors (NAUI) certification requirements.
REC 410 - Community Recreation,3,"Examine public, private, non-profit, and community recreation programs and their effect on community health. Focus on healthy policies, built environment, natural spaces, leisure, equity, and integration of recreation and population health approaches."
REC 415 - Leisure and Aging,3,"This class will prepare students to design leisure programs and settings for older adults that are grounded in social theory, research, and best practice."
HED 392 - Community and Population Health,3,"Introduction to public health, epidemiology, structure, and function of the health care system and environmental health. Methods for addressing health needs in different populations and settings."
PSYC 306 - Health Psychology,3,"Examines the biological, social, cultural, and psychological factors (and their interactions) that contribute to health and wellness. Also examines evidence-based interventions for health promotion and behavior change."
REC 330 - Adventure Theory and Practice,3,"Leadership and facilitation skills, participant assessment considerations, instructional techniques, management considerations, and risk management practices for outdoor and adventure programming."
REC 345 - Environmental Education,3,Experiential based course where students will develop and implement environmental education and outdoor recreation programs. Students will also assist in the administration of an environmental education center.
REC 481 - Recreation Practicum,3,Application of principles of recreation management and leadership in a community agency.
REC 370 - Outdoor Leadership Foundations,3,"Technical, educational, and human knowledge and skills necessary to lead outdoor adventure programs. Focus is on planning and delivering of backpacking skills in a group setting, minimum impact practices, and safety implementations in a professional environment."
REC 375 - Winter Wilderness Living,2,"Introduction to technical, educational, and human knowledge, and skills needed to safely practice and deliver overnight winter adventure recreation activities. Focus is on minimal impact practices and professional industry standards."
REC 430 - Outdoor Leadership Expedition,4,"Advanced principles and applications of outdoor leadership skills and knowledge focused on planning and leading expeditions in an adventure education setting, including logistics, risk management, debriefing, environmental ethics, and educational delivery. Students are expected to participate in multiple consecutive field days as part of this class."
REC 435 - Sustainable Tourism,3,"This course examines the environment, economic, and socio-cultural aspects of tourism development, including best practices to maintain long-term sustainability in outgoing and incoming tourism."
REC 335 - Tourism Planning and Development,3,"Examines positive and negative tourism impacts, growth management, strategies and planning principles. Includes the development and implementation of tourism programs."
REC 315 - Travel Industry Management,3,"This course provides a broad overview of the travel industry and the many participants in it. As the foundational course in the tourism management emphasis, students will develop a conceptual understanding of the tourism industry approaches and practices, as well as career opportunities. Students will explore management methods, goals, issues, and challenges through classroom and field experiences."
