title,units,description
SOC 104 - Introduction to Sociology,3,"Study of social patterns across groups, social institutions, and societies. Socialization, social interaction, inequalities, change, social issues, and social science research. Relationship of self and society."
STAT 108 - Elementary Statistics,3,"Rudimentary data collection, descriptive statistics of univariate and bivariate data, probability, random variables, discrete and continuous distributions. Foundational concepts of confidence intervals and hypothesis tests. Use and abuse of statistics."
STAT 108I - Elementary Statistics with Integrated Support,3,"Introductory statistics with integrated support to aid comprehension. Data collection, descriptive statistics, bivariate data, probability, probability distributions. Foundational concepts of confidence intervals and hypothesis tests. Use and abuse of statistics. Open to students in Math placement category III or IV."
SOC 225S - Social Issues and Action,4,Why do some social issues become a focus of concern? How do inequalities shape definitions and responses? course service learning experiences connect students to local organizations and actions.
SOC 282L - Sociological Statistics Lab,1,Application of statistics knowledge. Skills training in SPSS quantitative data analysis.
SOC 303 - Race and Inequality,3,"Problems of racialized power and inequality: causes, processes, theoretical considerations, and social movements. Multiple perspectives on problems and peacemaking efforts. Majors also take SOC 303M."
SOC 303M - Race and Inequality for Majors,1,"Required corequisite for sociology majors enrolled in the 3-unit GE course of the same title. Majors will meet with instructor outside of GE section time to discuss movies, books, or paper."
SOC 310W - Sociological Theory,4,"Foundational people and theories in sociology. Social, economic, political, intellectual, biographical contexts of theory development. Appraise theoretical relevance to contemporary society."
SOC 372 - Proseminar,1,"Structures career planning and professional development through resume building, job search, networking, and interview training. Develop proposal for capstone internship experiences of career plan."
SOC 472 - Graduate School Planning,1,Develop criteria for researching graduate programs. Identify goals and match with programs. Develop application materials - CV and statement of purpose. Plan experiences to make you a stronger candidate.
SOC 382 - Introduction to Social Research,4,"Theoretical principles, ethical issues, and common techniques for designing and implementing qualitative and quantitative social science research."
SOC 410 - Contemporary Social Theory,4,"Critical theory, symbolic interaction, dramaturgy, feminist, queer, poststructural, postmodern, postcolonial, and student-driven subareas."
SOC 305 - Global Transformations,3,"Economic, political, social, and ecological dimensions of globalization. Theories and research in global political economy, world systems, transnationalism, and social movements in historical and comparative contexts. Majors also take SOC 305M."
SOC 305M - Global Transformations for Majors,1,"Required corequisite for sociology majors enrolled in the 3-unit GE course of the same title. Majors will meet with instructor outside of GE section time to discuss movies, books, or paper."
SOC 316 - Gender and Society,4,"Nature of gender dynamics linking personal experiences to the structure and functioning of institutions, to cultural/subcultural aspects of society, and to interests of the powerful.
Cross-listed with: WS 316"
SOC 321 - Sociology of Sport,4,"Sport as a social institution and cultural phenomenon. Analysis through social justice lens of processes, patterns, issues, and values. Role in (re) production and transformation of culture and society."
SOC 350 - Social Movements,4,"This seminar introduces students to the study of U.S. and international social movements. Students study the causes, activities, successes, and failures of social movements, and their importance in the contemporary world."
SOC 466 - Migration and the Global Economy,4,"Examines the political economy of migration and the criminalization of human movement. Explores livability in relation to global poverty, climate change, nationalism, and capital accumulation."
SOC 480 - Special Topics,1-4,Pressing social issues and popular topics.
SOC 302 - Forests and Culture,3,"Explore relationships between human civilizations and nature/ forest in global and historical contexts. Themes include deforestation, ecological degradation, conservation, life-places, bioregionalism and ecological futures. Majors also take SOC 302M."
SOC 302M - Forests and Culture for Majors,1,"Required corequisite for sociology majors enrolled in the 3-unit GE course of the same title. Majors will meet with instructor outside of GE section time to discuss movies, books, or paper."
SOC 320 - Environmental Sociology,4,"Examines the dynamics of the “natural environment” and society. Emphasis on exploring environmental crises, theoretical perspectives on nature, climate and sustainability."
SOC 363 - Environmental Crime,4,"Application of criminal justice to the surrounding natural environment from legal, ethical, and social perspectives."
SOC 370 - Environmental Inequality and Globalization,4,Examines environmental justice and environmental inequality on a global level and their implications for communities and nation states.
CRIM 420 - Drugs and Society,4,Why are some drugs legal while others are illegal? Explore social and historical processes shaping drug policy and the causes and consequences of the use and abuse of consciousness-altering substances.
SOC 306 - The Changing Family,3,"Examines family as a pivotal institution in cross-cultural and American perspectives. Covers historical changes, contemporary issues, relation to structured inequalities, and social justice. Majors also take SOC 306M."
SOC 306M - The Changing Family for Majors,1,"Required corequisite for sociology majors enrolled in the 3-unit GE course of the same title. Majors will meet with instructor outside of GE section time to discuss movies, books, or paper."
SOC 308 - Sociology of Altruism and Compassion,3,Altruism and compassion as an antidote to a divided world. Create a more caring society by understanding what motivates people to action. Majors also take SOC 308M.
SOC 308M - Sociology of Altruism and Compassion for Majors,1,"Required corequisite for sociology majors enrolled in the 3-unit GE course of the same title. Majors will meet with instructor outside of GE section time to discuss movies, books, or paper."
SOC 330 - Social Deviance,4,"“Outsiders” by virtue of age, physical status, ethnic heritage, socioeconomic status, or social and occupational roles - elderly, disabled, poor, women, nonwhites, police officers. Role engulfment, anomie, and alienation."
SOC 411 - Popular Culture,4,"Considers popular culture as an important arena of social and political struggle. Students explore a variety of social practices such as wrestling, hip hop, weddings, and television talk shows, and consider the ways that these practices are linked to larger systems of power."
SOC 475 - Community Organizing,4,"Explores community organizing history, theory and practice. Emphasizes development of conceptual framework/ practical skills for organizing effectively in the community for social, environmental and economic justice."
SOC 482 - Internship,3,Capstone. Student must secure campus or community 90-hour placement and instructor approval in the semester prior to enrollment. Paper on related research literature.
SOC 492 - Senior Thesis,3,Design and carry out original empirical research or extensive review of literature. Proposal due in semester before enrollment to receive permission number.
