Major Name,Learning Outcome
"Anthropology, Archaeology Concentration, B.S.",Explain how the diversity of cultural values reflected in different patterns of social and political organization and systems of communication (symbolic and linguistic)
"Anthropology, Archaeology Concentration, B.S.","Apply the scientific method in the various sub-fields of the discipline (cultural, biological, archaeology, linguistics, and applied)"
"Anthropology, Archaeology Concentration, B.S.","Explain the complex and interrelated processes of change (biological and cultural evolution, diffusion, colonialism, globalization) both within cultures and across cultural boundaries"
"Anthropology, Archaeology Concentration, B.S.","Analyze the relevance of anthropology to present-day policy and social issues such as human rights, health, historical preservation, conservation, economic development, language use, and cultural practices."
"Anthropology, Archaeology Concentration, B.S.","Demonstrate skills (critical thinking, communication, information literacy and research and technical skills) needed to apply anthropology in practical and professional settings."
"Anthropology, Biological Anthropology Concentration, B.S.",Explain how the diversity of cultural values reflected in different patterns of social and political organization and systems of communication (symbolic and linguistic)
"Anthropology, Biological Anthropology Concentration, B.S.","Apply the scientific method in the various sub-fields of the discipline (cultural, biological, archaeology, linguistics, and applied)"
"Anthropology, Biological Anthropology Concentration, B.S.","Explain the complex and interrelated processes of change (biological and cultural evolution, diffusion, colonialism, globalization) both within cultures and across cultural boundaries"
"Anthropology, Biological Anthropology Concentration, B.S.","Analyze the relevance of anthropology to present-day policy and social issues such as human rights, health, historical preservation, conservation, economic development, language use, and cultural practices."
"Anthropology, Biological Anthropology Concentration, B.S.","Demonstrate skills (critical thinking, communication, information literacy and research and technical skills) needed to apply anthropology in practical and professional settings."
"Anthropology, Cross-Disciplinary Anthropology Concentration, B.S.",Explain how the diversity of cultural values reflected in different patterns of social and political organization and systems of communication (symbolic and linguistic)
"Anthropology, Cross-Disciplinary Anthropology Concentration, B.S.","Apply the scientific method in the various sub-fields of the discipline (cultural, biological, archaeology, linguistics, and applied)"
"Anthropology, Cross-Disciplinary Anthropology Concentration, B.S.","Explain the complex and interrelated processes of change (biological and cultural evolution, diffusion, colonialism, globalization) both within cultures and across cultural boundaries"
"Anthropology, Cross-Disciplinary Anthropology Concentration, B.S.","Analyze the relevance of anthropology to present-day policy and social issues such as human rights, health, historical preservation, conservation, economic development, language use, and cultural practices."
"Anthropology, Cross-Disciplinary Anthropology Concentration, B.S.","Demonstrate skills (critical thinking, communication, information literacy and research and technical skills) needed to apply anthropology in practical and professional settings."
"Anthropology, Linguistic Anthropology Concentration, B.S.",Explain how the diversity of cultural values reflected in different patterns of social and political organization and systems of communication (symbolic and linguistic)
"Anthropology, Linguistic Anthropology Concentration, B.S.","Apply the scientific method in the various sub-fields of the discipline (cultural, biological, archaeology, linguistics, and applied)"
"Anthropology, Linguistic Anthropology Concentration, B.S.","Explain the complex and interrelated processes of change (biological and cultural evolution, diffusion, colonialism, globalization) both within cultures and across cultural boundaries"
"Anthropology, Linguistic Anthropology Concentration, B.S.","Analyze the relevance of anthropology to present-day policy and social issues such as human rights, health, historical preservation, conservation, economic development, language use, and cultural practices."
"Anthropology, Linguistic Anthropology Concentration, B.S.","Demonstrate skills (critical thinking, communication, information literacy and research and technical skills) needed to apply anthropology in practical and professional settings."
"Anthropology, Sociocultural Anthropology Concentration, B.S.",Explain how the diversity of cultural values reflected in different patterns of social and political organization and systems of communication (symbolic and linguistic)
"Anthropology, Sociocultural Anthropology Concentration, B.S.","Apply the scientific method in the various sub-fields of the discipline (cultural, biological, archaeology, linguistics, and applied)"
"Anthropology, Sociocultural Anthropology Concentration, B.S.","Explain the complex and interrelated processes of change (biological and cultural evolution, diffusion, colonialism, globalization) both within cultures and across cultural boundaries"
"Anthropology, Sociocultural Anthropology Concentration, B.S.","Analyze the relevance of anthropology to present-day policy and social issues such as human rights, health, historical preservation, conservation, economic development, language use, and cultural practices."
"Anthropology, Sociocultural Anthropology Concentration, B.S.","Demonstrate skills (critical thinking, communication, information literacy and research and technical skills) needed to apply anthropology in practical and professional settings."
"Applied Fire Science and Management, B.S.","Demonstrate preparedness for an ethical professional life fostering equity and diversity related to the science, application, and management of fire."
"Applied Fire Science and Management, B.S.","Integrate knowledge of fire science and management from multiple perspectives, with a focus on Indigenous science and Traditional Ecological Knowledge, and scales across the curriculum."
"Applied Fire Science and Management, B.S.","Discover, comprehend, and utilize scientific literature and other relevant resources or knowledge systems in the field of fire science and related disciplines."
"Applied Fire Science and Management, B.S.","Build a comprehensive understanding of history, laws, policies, an d practices that relate to fire management with an emphasis on Indigenous perspectives."
"Applied Fire Science and Management, B.S.",Communicate about fire science and management effectively in oral and written formats.
"Applied Fire Science and Management, B.S.","Measure, calculate, analyze, and model fire and associated processes utilizing field skills, mathematics, statistics, and geospatial tools."
"Applied Fire Science and Management, B.S.",Use critical thinking skills to apply interdisciplinary knowledge of fire to the sustainable management of ecosystems for diverse objectives.
"Art History and Museum Studies, B.A.","Distinguish and comprehend diverse forms of visual culture in their aesthetic, historical and cultural contexts using discipline-specific terminology and concepts."
"Art History and Museum Studies, B.A.",Develop effective oral and written art historical arguments using established art historical methodologies and supported by the use and interpretation of primary and secondary resources.
"Art History and Museum Studies, B.A.","Understand the impact of visual art and arts institutions in addressing ethical issues, implementing positive social change and promoting equity and inclusion."
"Art History and Museum Studies, B.A.","Apply art historical and museological skills and knowledge toward professional practices in museums, galleries and arts organizations."
"Art, Art Education Concentration, B.A.",Examine the relationship and influence of the visual arts in a historical and cultural context.
"Art, Art Education Concentration, B.A.",Recognize and evaluate critical and aesthetic issues within the history of art and contemporary studio practice.
"Art, Art Education Concentration, B.A.","Apply aesthetic judgment, perceptual sensitivity, and critical thinking skills to arts related issues."
"Art, Art Education Concentration, B.A.","Demonstrate mastery of specific technical, conceptual and/or critical abilities within each concentration area."
"Art, Art Education Concentration, B.A.","Communicate effectively, in both written and oral formats, on research and creative issues."
"Art, Art Education Concentration, B.A.","Present a portfolio that demonstrates perceptual acuity, conceptual understanding, and technical facility at a professional entry level in their chosen field."
"Art, Art Education Concentration, B.A.",Assess and address environmental and social justice context and develop responsive curriculum for equitable and sustainable arts education curriculum.
"Art, Art Studio Concentration, B.A.",Examine the relationship and influence of the visual arts in a historical and cultural context.
"Art, Art Studio Concentration, B.A.",Recognize and evaluate critical and aesthetic issues within the history of art and contemporary studio practice.
"Art, Art Studio Concentration, B.A.","Apply aesthetic judgment, perceptual sensitivity, and critical thinking skills to arts related issues."
"Art, Art Studio Concentration, B.A.","Demonstrate mastery of specific technical, conceptual and/or critical abilities within each concentration area."
"Art, Art Studio Concentration, B.A.","Communicate effectively, in both written and oral formats, on research and creative issues."
"Biochemistry, B.S.","breadth, depth, and mastery in biochemistry, and will be able to apply that knowledge in a variety of medical, environmental, biotechnology, industrial and professional settings."
"Biochemistry, B.S.",the ability to apply three-dimensional models and modern computational methods to aid in the understanding of chemical and biomolecule structures and properties; and to proficiently translate those models into representations to interpret biochemical processes and develop an in-depth understanding of binding and catalysis in biochemistry.
"Biochemistry, B.S.","the ability to locate, evaluate, cite and interpret scientific literature in biochemistry."
"Biochemistry, B.S.","the ability to employ the scientific method to design, perform, and interpret laboratory experiments in chemistry and biochemistry."
"Biochemistry, B.S.",the ability to use written communication sufficient to convey an understanding about biochemical phenomena to a diverse audience.
"Biochemistry, B.S.",the ability to orally communicate and convey an understanding about chemical and biochemical phenomena to a diverse audience.
"Biology, Cellular/Molecular Biology Concentration, B.S.","Apply the scientific method to questions in biology by formulating testable hypotheses, gathering data that address these hypotheses, and analyzing those data to assess the degree to which their scientific work supports their hypotheses"
"Biology, Cellular/Molecular Biology Concentration, B.S.",Present scientific hypotheses and data both orally and in writing in the formats that are used by practicing scientists
"Biology, Cellular/Molecular Biology Concentration, B.S.","Access the primary literature, identify relevant works for a particular topic, and evaluate the scientific content of these works"
"Biology, Cellular/Molecular Biology Concentration, B.S.","Apply fundamental mathematical tools (statistics, calculus) and physical principles (physics, chemistry) to the analysis of relevant biological situations"
"Biology, Cellular/Molecular Biology Concentration, B.S.",Identify the major groups of organisms and be able to classify them within a phylogenetic framework. Students will be able to compare and contrast the characteristics of organisms that differentiate the various domains and kingdoms from one another
"Biology, Cellular/Molecular Biology Concentration, B.S.","Use the evidence of comparative biology to explain how the theory of evolution offers the only scientific explanation for the unity and diversity of life on earth. They will be able to use specific examples to explicate how descent with modification has shaped organismal morphology, physiology, life history, and behavior"
"Biology, Cellular/Molecular Biology Concentration, B.S.","Explain how organisms function at the level of the gene, genome, cell, tissue, organ and organ-system. Drawing upon this knowledge, they will be able to give specific examples of the physiological adaptations, development, reproduction and behavior of different forms of life"
"Biology, Cellular/Molecular Biology Concentration, B.S.","Explicate the ecological interconnectedness of life on earth by tracing energy and nutrient flows through the environment. They will be able to relate the physical features of the environment to the structure and dynamics of populations, communities, and ecosystems"
"Biology, Cellular/Molecular Biology Concentration, B.S.",Demonstrate proficiency in the experimental techniques and methods of analysis appropriate for their area of specialization within biology.
"Biology, Ecology Concentration, B.S.","Apply the scientific method to questions in biology by formulating testable hypotheses, gathering data that address these hypotheses, and analyzing those data to assess the degree to which their scientific work supports their hypotheses"
"Biology, Ecology Concentration, B.S.",Present scientific hypotheses and data both orally and in writing in the formats that are used by practicing scientists
"Biology, Ecology Concentration, B.S.","Access the primary literature, identify relevant works for a particular topic, and evaluate the scientific content of these works"
"Biology, Ecology Concentration, B.S.","Apply fundamental mathematical tools (statistics, calculus) and physical principles (physics, chemistry) to the analysis of relevant biological situations"
"Biology, Ecology Concentration, B.S.",Identify the major groups of organisms and be able to classify them within a phylogenetic framework. Students will be able to compare and contrast the characteristics of organisms that differentiate the various domains and kingdoms from one another
"Biology, Ecology Concentration, B.S.","Use the evidence of comparative biology to explain how the theory of evolution offers the only scientific explanation for the unity and diversity of life on earth. They will be able to use specific examples to explicate how descent with modification has shaped organismal morphology, physiology, life history, and behavior"
"Biology, Ecology Concentration, B.S.","Explain how organisms function at the level of the gene, genome, cell, tissue, organ and organ-system. Drawing upon this knowledge, they will be able to give specific examples of the physiological adaptations, development, reproduction and behavior of different forms of life"
"Biology, Ecology Concentration, B.S.","Explicate the ecological interconnectedness of life on earth by tracing energy and nutrient flows through the environment. They will be able to relate the physical features of the environment to the structure and dynamics of populations, communities, and ecosystems"
"Biology, Ecology Concentration, B.S.",Demonstrate proficiency in the experimental techniques and methods of analysis appropriate for their area of specialization within biology.
"Biology, General Biology Concentration, B.S.","Apply the scientific method to questions in biology by formulating testable hypotheses, gathering data that address these hypotheses, and analyzing those data to assess the degree to which their scientific work supports their hypotheses"
"Biology, General Biology Concentration, B.S.",Present scientific hypotheses and data both orally and in writing in the formats that are used by practicing scientists
"Biology, General Biology Concentration, B.S.","Access the primary literature, identify relevant works for a particular topic, and evaluate the scientific content of these works"
"Biology, General Biology Concentration, B.S.","Apply fundamental mathematical tools (statistics, calculus) and physical principles (physics, chemistry) to the analysis of relevant biological situations"
"Biology, General Biology Concentration, B.S.",Identify the major groups of organisms and be able to classify them within a phylogenetic framework. Students will be able to compare and contrast the characteristics of organisms that differentiate the various domains and kingdoms from one another
