title,units,description
ANTH 102 - Introduction to the Anthropology of Language,3,"Overview of anthropological study of language structure, use and change. Topics include language emergence, verbal arts and technologies, literacy, linguistic relativity, fieldwork design features and diverse social and historical contexts."
ANTH 103 - Biological Anthropology,3,"Introduction to human evolution and adaptation through scientific principles, evolutionary theory, genetic inheritance, nonhuman primates, fossil record, forensics, and evolutionary medicine. Not intended for most science/natural resource majors."
ANTH 104 - Cultural Anthropology,3,World’s diverse cultures. Richness of human life in different times and places. Multicultural nature of today’s world.
ANTH 105 - Archaeology and World Prehistory,3,"Explore the discipline of archaeology, including its history, materials, and methods; trace the many paths of cultural evolution around the world and across time as reconstructed from the archaeological record."
ANTH 210 - Introduction to the Anthropology Major,1,"Explore program requirements, including career trajectories and emphasis selection. Develop a plan for successful completion of the degree. Connect with department community and learn about the department resources and facilities."
"ANTH 310W - Critical Histories of Culture, Race, and Science",4,"Examines counter-lineages and counter-histories of anthropological thought across time through a multivocality of diverse thinkers to interrogate knowledge production of fraught concepts such as race, primitiveness, and self/other."
ANTH 410 - Anthropology Capstone,4,Capstone seminar on contemporary anthropological theory designed to prepare students for an academic or applied career using their anthropology degree. Final course projects may reflect students’ sub-disciplinary interests.
ANTH 318 - Ethnography,4,Problems and techniques of describing culture and representing the “other.” Critical look at the process and politics of descriptions anthropologists craft.
ANTH 330 - Method and Theory in Biological Anthropology,4,"Introduces major research areas within biological anthropology, including their fundamental theories, scientific concepts, and methods of data collection and analysis."
ANTH 350 - Method and Theory in Archaeology,4,"Roles of theory and scientific method in reconstructing past cultures, culture process, and change."
ANTH 482 - Anthropology Internship,1,"Engages students at Cal Poly Humboldt anthropology research and teaching facilities, local agencies, community organizations, and other institutions to enhance students’ knowledge of applied anthropology contexts, methodologies, institutional cultures, and work environments."
ANTH 485 - Senior Seminar,1-4,Advanced topics with relevance for the entire anthropology discipline. Check with faculty for course content and prerequisites.
NAS 101 - Traditional Ecological Knowledge and Place Based Learning,3,Introduction to traditional ecological knowledge (TEK) and ethical engagement of place-based learning. Apply critical thinking skills to responsible incorporation of Indigenous knowledges and explore how critical and creative thinking occurs within Indigenous contexts. Engage with informed present-day issues and explore how TEK can inform critical and creative thinking and problem-solving skills across disciplines.
NAS 104 - Introduction to Native American Studies,3,"Origins and development of content/method in Native American studies. Contrast the field with adjoining and contributing disciplines (anthropology, history, sociology, and humanities)."
NAS 107 - Introduction to California Indian Peoples and Places,3,"Introduction to California Indian tribes and place-based learning exploring contemporary political, social, environmental issues and representations through California Indian perspectives and knowledges. A place-based approach to anti-racist and anti-colonial movements through community-centered learning and a foundational overview of California Indian tribes. Topics can include but are not limited to: Tribal citizenship, Self-determination, Decolonization, Sovereignty, and Settler Colonialism."
NAS 200 - Indigenous Peoples in U.S. History,3,"How U.S. policies governing tribes are shaped by societal views of Indigenous Peoples. Analyze documents following history of federal Indian policy. Interactions among diverse Native, European, African, and Asian Americans. Meets requirement in U.S. history established by California legislature."
NAS 306 - Indigenous Peoples of the Americas,3,"Traditional cultures, historical development, and contemporary social and political situations of Indigenous peoples of South, Central, and North America, with an emphasis on Latin America (Abya Yala)."
"NAS 361 - Tribal Sovereignty, Tribal Citizens",3,"Comprehensive review of NA civics and dual role of tribal citizenship in the US. Topics: tribal governance, tribal justice systems, Indian-White relations, education, religious conflict, community development."
NAS 480 - Selected Topics in Native American Studies,1-4,"Special topic, problem area, or field research. Repeatable with different topics."
ANTH 340 - Language and Culture,4,Scope and variety of linguistic research. Emphasis on cross-cultural comparison and relation of languages to culture.
ANTH 341 - Anthropological Linguistics,4,"Introduces formal practice of anthropological linguistics. Structure of human languages; language variation and change; acquisition and meaning. Methodologies include phonetics, phonemics, morphology, and syntax."
ANTH 387 - International Education Colloquium,1,"Earn credit by attending International Education Week events and participating in an online discussion forum. Mandatory pre-event meeting.
Cross-listed with: COMM 387, ECON 387, GEOG 387, HIST 387, INTL 387, PSCI 387"
ANTH 390 - World Regions Cultural Seminar,4,"Culture, values, and social interaction in cultures of a world region (North America, Latin America, Oceania, Asia, Africa). Analyze cultural integration, contact, change, and development in historical and contemporary contexts."
FREN 300 - African Storytelling,3-4,"Critical reading and retelling of oral myth, epic and tales. Examination of the role of the West African storyteller (the griot). Spoken art’s influence on African cinema, short story and novel. Esthetic and cultural parallels between West African narratives and their European counterparts."
INTL 220 - Introduction to Cultural Studies,3,"Topics studied include culture and imperialism/ cultural imperialism; orientalism and the politics of representation; (post) colonialism; cultural appropriation, hybridity, and syncretism; diasporic, transnational, cosmopolitan, and border cultures; “global” pop culture."
INTL 387 - International Education Colloquium,1,"Earn credit by attending International Education Week events and participating in an online discussion forum. Mandatory pre-event meeting.
Cross-listed with: ANTH 387, COMM 387, ECON 387, GEOG 387, HIST 387, PSCI 387"
SPAN 305 - Hispanic Civilization: Regional Studies,3,"Chronological presentation of culture, pre-Colombian to present day, with special emphasis on host country’s culture. Students visit relevant historical and cultural sites."
SPAN 401 - Hispanic Civilization: Spain,4,"Social, political, and cultural evolution from origins of Spanish nation to present day."
ENGL 220 - Representation Matters: Literature and Identity,4,"Examine how social identities are created through language, narrative, and text. Explore how categories of identity (gender, sexuality, race, nation, class, ethnicity, etc.) are central to the study of literature."
ENGL 225 - Linguistic Diversity and Language Analysis,4,"Examination of the nature of human language, including its formal structure, usage, and variation. Emphasizes applications to the study of literature, literacy and social identity."
ENGL 465B - Multicultural Issues in Literature/Languages,4,"Themes, genres, figures, theories, or movements in literary or linguistics study in relation to issues of ethnicity and/or gender. Focused within the boundaries of the U.S.
Cross-listed with: ES 465B, WS 465B"
ENGL 465C - Multicultural Issues in Literature/Languages,4,"Themes, genres, figures, theories, or movements in literary or linguistics study in relation to issues of ethnicity and/or gender. International/transnational in focus.
Cross-listed with: ES 465C, WS 465C"
FREN 107 - French Level III,4,"Review grammar essentials. Improve conversational, reading, and writing skills. Sociocultural institutions in the French world."
GERM 107 - German Language and Culture III,4,"Intermediate German I; develop understanding, speaking, reading, writing, knowledge of German-Speaking cultures. Language as a communicative medium/carrier of culture. Conducted in German. Part one of two course sequence."
JMC 309 - Analyzing Media Messages,3,"Analyze contexts and influence of media messages in music, film, social media and other forms to improve our media literacy and to better understand the human condition."
LSEE 212 - Language and Literacy,4,Foundational language and literacy skills are studied including linguistics and language conventions. Students observe and apply course content with elementary school students to expand their pedagogical content knowledge and skill.
NAS 301W - Native American Literature,3,"Contemporary. Topics vary from a broad introduction to focus on one of the following genres: poetry, prose, fiction, nonfiction, and native autobiography."
NAS 302W - Oral Literature and Oral Tradition,3,"Identify, interpret, and decipher native symbols depicted in tribal myths, legends, songs, art, oratory, poetry, prose."
NAS 340 - Language and Communication in Native American Communities,3,"Native American languages in social, cultural, and historical contexts. Precontact languages; traditional modes of language use; efforts to preserve or revive languages."
NAS 345 - Native Languages of North America,3,"Survey principle languages of northwestern California (Hupa, Karuk, Tolowa, Yurok). No special background required; college-level work in non- English language is helpful."
