title,units,description
ART 103A - Prehistoric to Medieval Art,3,"First of a two-part survey of world art history. Covers art and architecture from Europe, Africa, Asia, and the Americas from prehistory through the Middle Ages."
ART 103B - Renaissance to Contemporary Art,3,"Second of a two-part survey of world art history. Covers art and architecture from Europe, Asia, Africa, and the Americas from approximately 1400 CE to the present day."
ART 104B - Ancient Art,3,"Prehistoric, Mesopotamian, Egyptian, Aegean, Greek, and Roman art."
ART 104C - Medieval Art,3,"Early Christian, Byzantine, early medieval, Romanesque, and Gothic art."
ART 104F - Renaissance Art,3,Italian and Northern European artists during the Renaissance.
ART 104G - Baroque Art,3,"Rubens, Rembrandt, and other artists, 1600-1750."
ART 104H - 19th Century Art,3,European art from the neoclassical to the post-impressionist periods.
ART 104I - 20th Century Art,3,Survey of painting and sculpture in the 20th century.
ART 104J - American Art,3,"Survey of art covering major artists, stylistic movements, and cultural trends within the borders of the US from the Colonial Period to WWII."
"ART 104K - Africa, Oceania, the Americas",3,"African, Native American, and Oceanic art. Various approaches to, and concepts of, art in these cultural regions."
ART 104N - Asian Art,3,"Surveys the visual arts of India, China, and Japan in the context of each country’s diverse religious, cultural, and political histories."
ART 105B - Fundamentals of Drawing,3,"Training in fundamentals of drawing: form, space, organization, composition. Various drawing materials and techniques."
ART 105C - 2D Foundations,3,"Concepts of line, texture, value, shape, color, and composition in the context of 2-dimensional space. Discussion of the nature of visual perception including illusions and cultural influences on perception."
ART 105D - 3D Foundations,3,"Introduction to materials, techniques and concepts of organizing forms in three dimensions. Discussion of 3D design principles and history in relation to arts, architecture, products and prototype design."
ART 105E - Digital Media Foundations,3,"Introduction to digital media focusing on computers, networks, digital art, digital design and time-based media. Topics include the formal qualities of new media, their political and cultural dimensions, as well as questions of genre, subjectivity, narrative, and history."
ART 106 - Painting I,3,"Training in the fundamentals of painting: color, composition, and technical issues. Develop visual principles through various subject matter."
ART 107 - Printmaking I,3,"Introduction to the contemporary practices and aesthetics of printmaking. Concentration on basic relief, intaglio, monotype and/or lithography methods."
ART 109 - Sculpture I,3,"Introduction to sculpture and three-dimensional thinking and vocabulary. Techniques include fabrication in steel, fibers and wood, reduction in stone or plaster and found objects. Presentation of correct tool usage and safety issues."
ART 112 - Scientific Drawing I,3,Development of skills in the observation and accurate rendering of scientific subjects.
ART 122 - Life Drawing I,3,Study of the form of the human figure from direct observation. Includes study of basic anatomy of interest to the artist.
ART 250 - Darkroom Photography,3,"Fundamentals of fine art analog black-and-white photography. Camera operations, film development, and silver gelatin printing. Discuss work of historical and contemporary fine art photographers."
ART 251 - Photography I,3,Fundamentals of digital camera functions and introduction to digital imaging software. Exploration of creative image control and visual communication through lens-based image making.
ART 273 - Illustration I,3,"Introduction to traditional media illustration workflow, concepts, and materials and techniques."
ART 282 - Jewelry/Small Metals I,3,"Introduction to fabrication in silver and base metals. Techniques include sawing, soldering, etching, stone setting. Proper tool usage and safety. Problem solving and development of intuitive thinking."
ART 290 - Ceramics I,3,"Development of basic forming and glazing skills, an understanding of visual form, and creative problem solving."
ART 305 - Museums and the Politics of Display,3,"Addresses how methods of display impact our understanding of cultures, histories, and objects. Examines the historical development of museums, including their collection, exhibition and education practices. Particular attention is given to issues of diversity and multiculturalism. Visits to virtual museums, galleries and alternative exhibition spaces will also be an important element of the course."
ART 356 - Museum and Gallery Practices,3,"Overview of museum & gallery operations, including structural organization, collections management, conservation, installation, and exhibitions. Organize, design & install exhibitions in the Reese Bullen Gallery."
ART 410W - Art History Seminar,4,Capstone class for art history. Advanced topics in art history. Focus on research skills and art historical writing.
ART 482 - Museum and Gallery Practices Internship,3,Culminating course for Art Museum and Gallery Practices Certificate. Intern at an arts institution chosen in consultation with the instructor.
ART 301 - Topics in Western Art History,3,Topics in western art history from antiquity to the present.
ART 301M - Topics in Western Art History Depth Experience,1,"Selected topics in western art history. Explores course topics in greater detail through a combination of seminar meetings, writing assignments, and presentations."
ART 302 - Topics in Global Art History,3,Topics in non-western art history from antiquity to the present.
ART 302M - Topics in Global Art History Depth Experience,1,"Selected topics in non-western art history. Explores course topics in greater detail through a combination of seminar meetings, writing assignments, and presentations."
ART 303 - Global Contemporary Art,3,This course explores global contemporary art and theory (post-1970). Emphasis is placed on understanding major trends as well as theoretical models so that students can generate their own informed analysis.
ART 303M - Global Contemporary Art Depth Experience,1,"This course explores global contemporary art and theory in greater detail through a combination of seminar meetings, writing assignments, and presentations."
ART 304 - Topics in American Art,3,"Topics in American art history, pre-contact to the present."
ART 304M - Topics in American Art Depth Experience,1,"Topics in American art history, pre-contact to the present. Explores course topics in greater detail through a combination of seminar meetings, writing assignments, and presentations."
ART 354 - Problems in Art History,1-4,Special topics.
