title,units,description
CRIM 125 - Introduction to Criminology and Justice Studies,3,Introduction to field of criminology and social justice conceptual framework; theoretical perspectives and methods; contemporary crime policy issues: individual to societal.
CRIM 225 - Inequalities/Criminalization,4,"Examines the intersections of crime and inequalities within families, communities and nations."
CRIM 225S - Inequalities/Criminalization,4,"Examines the intersection of crime and inequality within families, communities, and nations. The course includes experiential education that connects students to local responses to social justice issues."
SOC 282L - Sociological Statistics Lab,1,Application of statistics knowledge. Skills training in SPSS quantitative data analysis.
STAT 108 - Elementary Statistics,3,"Rudimentary data collection, descriptive statistics of univariate and bivariate data, probability, random variables, discrete and continuous distributions. Foundational concepts of confidence intervals and hypothesis tests. Use and abuse of statistics."
STAT 108I - Elementary Statistics with Integrated Support,3,"Introductory statistics with integrated support to aid comprehension. Data collection, descriptive statistics, bivariate data, probability, probability distributions. Foundational concepts of confidence intervals and hypothesis tests. Use and abuse of statistics. Open to students in Math placement category III or IV."
CRIM 325W - Law and Society,4,"Examines creation and maintenance of systems of law and social control. Focus on critical legal consciousness, and the construction of (il)legality. Writing intensive course."
CRIM 410 - Theories of Justice and Crime,4,"Examination, application, and critical review of classical and contemporary theories of crime. Classical, Interactionist, Structural, Learning, Critical, and Feminist theories."
SOC 382 - Introduction to Social Research,4,"Theoretical principles, ethical issues, and common techniques for designing and implementing qualitative and quantitative social science research."
SOC 372 - Proseminar,1,"Structures career planning and professional development through resume building, job search, networking, and interview training. Develop proposal for capstone internship experiences of career plan."
SOC 472 - Graduate School Planning,1,Develop criteria for researching graduate programs. Identify goals and match with programs. Develop application materials - CV and statement of purpose. Plan experiences to make you a stronger candidate.
"CRIM 362 - Gender, Sexualities and Crime",4,Explores how beliefs about gender and sexuality intersect with the ways that crime happens and is treated in and out of the criminal justice system.
CRIM 431 - Juvenile Delinquency,4,"Contemporary knowledge; community response; prevention, rehabilitation."
SOC 330 - Social Deviance,4,"“Outsiders” by virtue of age, physical status, ethnic heritage, socioeconomic status, or social and occupational roles - elderly, disabled, poor, women, nonwhites, police officers. Role engulfment, anomie, and alienation."
SOC 363 - Environmental Crime,4,"Application of criminal justice to the surrounding natural environment from legal, ethical, and social perspectives."
SOC 466 - Migration and the Global Economy,4,"Examines the political economy of migration and the criminalization of human movement. Explores livability in relation to global poverty, climate change, nationalism, and capital accumulation."
SOC 480 - Special Topics,1-4,Pressing social issues and popular topics.
"CRIM 455 - Policing Bodies: A Biopolitical History of Race, Riots and Surveillance",4,"Examines the evolution of policing in direct relation to the social, political, and economic tensions of different historical moments."
"CRGS 360 - Race, Gender and US Law",4,"How are race, gender, and sexuality constructed and regulated in U.S. law? How have activists challenged such regulations? Discussion of slavery, miscegenation, eugenics, birth control, marriage, welfare, and affirmative action."
ES 306 - World Regions Cultural Studies,3,"Culture, values, and social interaction in cultures of a world region (North America, Latin America, Oceania, Middle East, Asia)."
NAS 364 - Federal Indian Law I,4,Unique federal/tribal legal and historical relationship. Scope and authority of tribal governments as modified through contact with the federal government. Federal legislation and Supreme Court decisions regarding Indians and tribes.
PHIL 307 - Philosophy of Law,3,"Analyze various philosophical perspectives regarding topics such as: the nature of law and legal reasoning, the relationship between morality and law, theories of punishment, civil disobedience, and other relevant topics."
PSCI 410 - US Constitutional Law,4,"Major Supreme Court cases reveal values in interpretation of laws. Powers of the nation, states, tribes and civil liberties and civil rights. Meets requirement in “US Constitution and California state and local government” established by California legislature."
PSCI 441 - International Law,4,"Its nature and substance. Legal history: cases, treaties, and other international documents."
CRIM 420 - Drugs and Society,4,Why are some drugs legal while others are illegal? Explore social and historical processes shaping drug policy and the causes and consequences of the use and abuse of consciousness-altering substances.
CRIM 430 - Law and Dissent,4,"Law and social change. Law as technology of criminalizing and co-opting social movements. Mechanisms for appealing to State for rights and recognition. Civil disobedience, policing protests, and political prisoners."
CRIM 433 - Punishment and Justice in Cross-National Perspective,4,Comparative examination of punishment and justice from cross-cultural perspectives. Focus is on structural forces and impacted communities.
ES 310 - U.S. and Mexico Border,4,"Overview of Mexico: from its indigenous roots, through formation of Spanish colonial society, to an independent nation-state. Cultural conflict and social change."
NAS 332 - Environmental Justice,3,"Issues/concerns that led to Executive Order 12898 (environmental policies and conflicts between industries and those seeking environmental protection, including Alaska Native villages, “lower 48” tribes, grassroot community organizations)."
NAS 468 - Tribal Justice Systems,3,"Examines the creation and maintenance of the legal relationships between Indigenous nations and their citizens. Focusing on tribal courts, policing, informal and formal mechanisms of conflict resolution and social control."
PSCI 313 - Politics of Criminal Justice,4,Analysis of political forces driving criminal justice systems in US. Emphasis placed on criminal justice policy and policy implementation and the impact of criminal justice policy on society.
ANTH 318 - Ethnography,4,Problems and techniques of describing culture and representing the “other.” Critical look at the process and politics of descriptions anthropologists craft.
CRGS 313 - Community Activism,3,"Develop organizational and activist skills, understand how social change occurs, link theory to concrete organizing practice in the community. Course blends critical analysis of organizing theories/methods with hands-on projects.
Cross-listed with: EDUC 313"
EDUC 313 - Community Activism,3,"Develop organizational and activist skills, understand how social change occurs, link theory to concrete organizing practice in the community. Course blends critical analysis of organizing theories/methods with hands-on projects.
Cross-listed with: CRGS 313"
