title,units,description
DANC 104 - Modern/Contemporary II,3,"Continue using contemporary dance forms to increase technical proficiency, endurance, and performance skills. Required for dance studies majors and dance minors."
DANC 287 - Choreography with Rhythmic Analysis,1,"Learn basic tenets of choreography along with music and rhythmic analysis as it related to dance composition. Musical phrasing, styles and genres, along with improvisational techniques, will be explored. Required for dance majors and minors."
DANC 303 - Dance in World Cultures,3,"Multiethnic approach to dance as a key to cultural understanding. Discover and appreciate dance as a traditional, social, and artistic expression of world peoples. Required for dance studies majors and minor."
DANC 310 - Ballet II,2,For those at the intermediate level of ballet technique.
DANC 320 - Jazz Dance Styles II,2,Intermediate techniques and choreography.
DANC 330 - Modern/Contemporary III,2,Contemporary dance styles at the intermediate/advanced level. Enhance technical skills and performance artistry.
DANC 350 - Dance Science,2,"Learn the general structure and function of the musculoskeletal systems as related to dance training and performance. Basic anatomy, biomechanics and the care and prevention of dance injuries are examined. Required for dance majors."
DANC 352 - Bodyworks,3,"A somatic, self-awareness, and expressive movement class. Using Eastern and Western movement practices, students will enhance general wellness, physical skills, and mind/body connections while gaining tools for life-long discovery."
DANC 354 - Teaching of Dance,2,Learn basic tenets of teaching dance in a variety of settings. Integrate pedagogical knowledge with various dance techniques and creative skills. Learn how to organize and adapt lesson plans to the diverse interests and abilities of learners.
DANC 389 - Choreography II,2,Use of improvisational dance techniques as a tool for development of choreography. Emphasis on student choreography. Opportunity to develop skills in interdisciplinary creation and collaboration. Required for dance majors and minors.
DANC 488 - Dance Performance Ensemble,1-4,"Rehearse and perform selected dance choreography. Emphasis on dance technique, performance skills, and collaboration."
DANC 489 - Dance Theatre Production,3,"Rehearse and co-produce a dance concert. Emphasis on collaborative and leadership skills. Provides “behind the scenes” aspects of concert production, and allows skills development in the organization and implementation of a production. Required for dance majors."
DANC 477W - Career Skills for Performing Artists,3,"Identifying life and career goals in the Arts: finding jobs, writing resumés and cover letters, networking, finances, self-promotion, contracts, mock interviews, and auditions.  This course meets the GWAR requirement.  Students will draft and revise multiple model career-related documents.
Cross-listed with: MUS 477W, TA 477W"
DANC 240 - African Dance,1,"Learn dances, songs, and rhythms from various African regions and peoples. Experience African dance as prayer, celebration, a healing power, a demonstration of community, a joyful release of energy, and as an ecstatic connection to the universe."
DANC 241 - Hip-hop Dance,1,"Learn techniques of Hip-hop dance. This course is designed to develop your skills, knowledge, and appreciation of hip-hop dance through movement and creative experiences, video viewing, and discussion of cultural roots of this dance form."
DANC 243 - Tap Dance,1,A study of tap dance and rhythmic patterned movements at the beginning level. Historical perspective and terminology will be included.
DANC 245 - Middle Eastern Dance,1,A study of the ancient and ever-evolving Middle Eastern Dance art form with a strong focus on Egyptian styles. May also include American Cabaret and Tribal styles and examples of contemporary influences on traditional Middle Eastern Dance.
DANC 247 - Mexican Folklorico Dance,1,"Exploration of traditional Mexican dances and the historical and social context in which they are performed. Students will perform and become aware of dance terminology, steps, and style."
DANC 248 - Danza Azteca,1,"Learn and practice the movements, language, rhythms, rituals, drumming and use of percussive instruments in Aztec dance. Understand Aztec dance as a means of cultural and spiritual revitalization and decolonization of the Nahua and other indigenous peoples of Mexico."
CD 209 - Middle Childhood Development,3,Development of family/social context. Focus on children 7-12 years old. Biological and environmental influences determining normative and individual development. Interpret theories and research.
CD 255 - Early Childhood Development,3,Development from toddlerhood through age 7 in a family and school context. Impact of diverse family experiences. Biological and environmental influences that determine normative and individual development. Interpret theories and research. Observations required.
ES 202 - Hip Hop and the Black Experience,3,"Utilizes Hip Hop to explore the complexities of America’s system of oppression, privileging the voices of Black people and other oppressed groups as they struggle for political, social, and economic power."
ES 305 - African American Cultural History,3,"Within context of American history, analyze African American heritage from its origins through the present."
ES 314 - Chicano Culture and Society in America,3,From establishment of 16th century Spanish frontier settlements. Formation of Mexican regional cultures; status of an American racial/cultural minority.
MUS 302 - Music in World Culture,3,"Explores the musical traditions of African, Indian, Asian, Indonesian, Latin American, and Caribbean cultures compared in artistic, social, religious, and political contexts."
PHIL 309B - Perspectives: Humanities/Science/ Social Science,3,"Critique perspectives, modes of inquiry, and products of the humanities, biological and physical sciences, social and behavioral sciences, and their relationships."
REC 302 - Inclusive Recreation,3,"Focus on knowledge and attitudes necessary to make recreation accessible to people who have illnesses or disabling conditions. Includes examination of inequity and barriers to leisure, and strategies for inclusion."
TA 105 - Acting 1: Principles of Performance,3,"Theatre games, improvisation, movement, voice. Techniques applicable first to the individual and second to principles of performance in film and theatre."
TA 221 - Makeup for Stage and Screen,2,Theories and practical experience in a lab/lecture situation.
TA 237 - Production Techniques,3,"Tools/techniques to realize the visual aspects of production safely. Explores relationships between design, use, and construction techniques."
TA 307 - Theatre of the Oppressed,3,"Survey/ apply this collection of techniques, exercises, and games. Explore theatre as a tool of social and political activism."
TA 333 - Lighting Design Stage and Screen,4,"Stage and film lighting design as sculptural, symbolic, and emotional compositions in theory and practice. Frequency depends on staff resources/student need."
TA 336 - Costume Design Stage and Screen,4,"Skills for designing and producing costumes for stage, film, and television. Includes color theory, fabric options, and scale. Frequency depends on staff resources/student need."
DANC 103 - Modern/Contemporary I,3,"Use contemporary dance as base for exploring dance as art form. Full-body technique, mind-body integration, and creative methods and structures. American dance pioneers."
DANC 103T - Modern/Contemporary I Skills Maintenance,1,Contemporary dance at the beginning level. Offered in conjunction with DANC 103 in order for students to maintain skills in modern dance techniques.
DANC 104T - Modern/Contemporary II Skills Maintenance,1,Continued study of contemporary dance techniques at the intermediate level. Offered in conjunction with DANC 104 in order for students to maintain skills in dance techniques.
DANC 110 - Ballet I,2,"Techniques, methods of traditional ballet for students at the beginning level."
DANC 110T - Ballet I Skills Maintenance,1,Beginning level of ballet technique. Offered in conjunction with DANC 110. Students will continue to maintain dance technique.
DANC 120 - Jazz Dance Styles I,2,Techniques and choreography for beginners.
DANC 120T - Jazz Dance Styles I Skills Maintenance,1,Beginning jazz techniques and choreography. Offered in conjunction with DANC 120. Students will continue to maintain dance technique.
DANC 310T - Ballet II Skills Maintenance,1,Intermediate level of ballet technique. Offered in conjunction with DANC 310. Students will continue to maintain dance technique.
DANC 320T - Jazz Dance Styles II Skills Maintenance,1,Intermediate techniques and choreography. Offered in conjunction with DANC 320. Students will continue to maintain dance technique.
DANC 330T - Modern/Contemporary III Skills Maintenance,1,Continue study of contemporary dance techniques at the high intermediate/advanced level. Offered in conjunction with DANC 330 in order for students to maintain skills in modern dance technique.
DANC 380 - Special Topics in Dance - Activity Based,1-3,Special topics in dance studies to be determined by program need and student interest. Topics vary.
DANC 480 - Special Topics in Dance,1-4,Special topics in dance studies to be determined by program need and student interest. Topics vary.
DANC 499 - Directed Study,1-4,"Independent study, studio instruction, and/or supervised activities."
PE 192 - Latin Dance,1,"An exploration of Latin Dances. Includes: Salsa, Argentine Tango, Merecube, Rumba, Cumbia, and Mexican Social Dances."
PE 196 - Swing Dance,1,"An exploration of American Swing Dances and identify various styles. Includes: East Coast Swing, Lindy Hop, (Savoy Style or Hollywood Style) Shag."
