title,units,description
ENGL 218 - Conceptualizing English Studies,4,"Aims and modes of inquiry associated with English Studies, to prepare for upper division work. Recommended first course in the major. Establish an ePortfolio to be completed throughout the major."
ENGL 220 - Representation Matters: Literature and Identity,4,"Examine how social identities are created through language, narrative, and text. Explore how categories of identity (gender, sexuality, race, nation, class, ethnicity, etc.) are central to the study of literature."
ENGL 232 - U.S. Literature and Social Change,4,"Analyze multi-ethnic U.S. literature from slave narratives to today. Discuss texts’ social, political, historical contexts-identity formations, definitions of “American” and “citizen,” constructions of race, gender, genre, borders, and resistance."
ENGL 240 - Topics in World Literature,4,"Analyze literature that addresses regional and transnational contexts through decolonizing lenses by authors from around the world. Places, themes, genres, historical contexts, major figures. Topics vary."
ENGL 336 - U.S. Writers of Color,4,"Read U.S. writers of color and immigrant writers in social and literary contexts. Examine counter-narratives and the creation of new literary traditions in the face of cultural and sociopolitical exclusion. Topics vary.
Cross-listed with: ES 336, WS 336"
ENGL 406W - Theories and Technologies of Writing,4,"Current theories/methods of teaching writing, and current technology for studying and teaching in the English discipline."
"ENGL 422 - Professional Research Pathways: Research, Libraries, and Graduate School Planning",4,Practice key skills associated with research. Gain an understanding of librarianship and archival research. Develop application materials for graduate school programs. Complete the portfolio for the major. Capstone course.
ENGL 426 - Teaching Secondary Writing,4,"Practice designing standards-based writing curriculum for secondary grades, including expository and creative genres. Train in literacy pedagogy and writing assessment procedures. Capstone course."
ENGL 436 - Career Preparation for Teaching English as a Second/Foreign Language,4,Prepare for careers in Teaching English as a Second/Foreign Language. Learn to teach content and language simultaneously to students who are still learning English. Prepare to find teaching positions abroad and in the U.S. Complete the portfolio for the major. Capstone course.
ENGL 461 - Professional Concerns in Writing and Editing,4,Practice professional skills in literary writing and editing. Learn to propose projects and seek funding support. Gain experience in arts administration. Work to increase the circulation of Toyon Multilingual Literary Journal.
ENGL 230 - Literatures in English Pre 1800,4,"Survey of texts written before 1800; focus on identities, politics, and genres emerging from changing ideas about selfhood, community, social order, race, gender, sexuality, nationhood, and sovereignty within the Atlantic world."
ENGL 231 - Literatures in English Since 1800,4,"Survey of texts written since 1800; focus on identities, politics, genres emerging in global aesthetic and anti-colonial political movements. British colonies past and present as important sites of Anglophone literary production and consumption."
ENGL 328 - Structure of American English,4,"Analyze syntax, with special reference to teaching grammar. English phonetics; text grammar."
ENGL 342 - Special Topics in Shakespeare,4,"Instructor selects Shakespeare plays related by genre, chronology, or theme."
ENGL 344 - Young Adult Literature,4,Study and respond to selected works appealing to young people. For teachers or prospective teachers of literature in secondary school.
ENGL 435 - English as a Second/Foreign Language,4,"Examines who studies second/foreign languages and why; overviews historical and common language teaching methods and techniques; discusses teaching speaking, listening, reading, writing, grammar, vocabulary, and sociopolitical ramifications.
Co-listed with: ENGL 535. (Only one of the co-listed courses may be taken for credit. See Terminology for more information.)"
