title,units,description
ENST 120 - Introductory Seminar in Environmental Studies,1,This seminar introduces the environmental studies major and facilitates thoughtful selection of a “emphasis area.”
ENST 195 - Topics in Nature/Culture,3,"This course introduces students to the interdisciplinary field of environmental studies by approaching an environmental problem, such as climate change or human-animal relationships, from a variety of disciplinary perspectives."
"ENST 295 - Power, Privilege and the Environment",4,"Explores the environment as a central element in the reproduction of patterns of power and privilege along lines of race, class, and gender. Examines how environmental conflicts challenge those patterns."
GEOG 106 - Physical Geography,3,"Global patterns of climate, soils, vegetation. Landform geography. Climate regions defined on basis of physical environmental and agricultural land-use parameters. Geography majors must also take GEOG 106L."
ESM 230 - Environmental Methods,3,"Introduction to quantitative tools for environmental problem solving. Basic modeling skills in the context of topics related to environmental issues associated with air, water, land/earth, and energy."
GSP 101 - Geospatial Concepts,3,"Overview: scale, coordinates, geodesy, direction, projections, surveying, global positioning systems (GPS), remote sensing, geographic information systems (GIS), cartography; historical context illustrating how maps depict spatial relationships, chart power, convey authority."
ECON 423 - Environmental and Natural Resources Economics,3,"Apply economic principles to public policies and management of natural resources (water, air, fisheries, forestry). Benefit/cost and economic impact analyses. Economics and business administration majors MUST co-enroll in ECON 423D."
ENST 395W - Environmental Studies Research and Analysis,4,"Introduction to academic research approaches appropriate to environmental studies; includes qualitative, quantitative, and examination of environmental knowledge."
PSCI 306 - Environmental Politics,3,"Examines issues, movements, and controversies at bioregional, national, and global levels. Analyzes the political decision-making process and implementation of environmental policy."
NAS 309 - Traditional Ecological Knowledge and Indigenous Natural Resource Management,3,"Emphasis on ethical engagement of Traditional Ecological Knowledge; best practices for Indigenous natural resource management and the critical importance of Indigenous sciences and knowledges to addressing and developing natural resource management plans and projects. Comparison of the cultural traditions and beliefs of indigenous people, with those of western science based management."
NAS 332 - Environmental Justice,3,"Issues/concerns that led to Executive Order 12898 (environmental policies and conflicts between industries and those seeking environmental protection, including Alaska Native villages, “lower 48” tribes, grassroot community organizations)."
ENST 490 - Environmental Studies Capstone Experience,4,Capstone experience for environmental studies majors. Students to apply knowledge of environmental systems to practical problems. Course will entail either group or individual projects.
ENST 490S - Environmental Studies Capstone Experience with Service Learning,4,Capstone experience for environmental studies majors. Students to apply knowledge of environmental systems to practical problems. Course will entail either group or individual projects.
ENST 381 - Climate Justice and Sustainability Leadership Practicum,1,"Offers hands-on experiences to foster skills in leadership, climate justice, and environmental sustainability. Topics vary depending on instructor expertise."
PSCI 381S - Community Leadership in Action,1,"Facilitate involvement in Equity Arcata. Promote civic engagement, work towards racial equity in health, housing, education, and employment, and participate in creating a welcoming, safe, and inclusive campus and community for all."
ART 372B - Radical Graphics: Activism and Climate,3,"Investigates the context of activism throughout the history of Contemporary Art. Involves learning about the context of sustainability in the world of visual media design as well as social justice as a driving factor for issue based artwork. Involves the use of digital and hands on processes to research, communicate and visualize the stakes and solutions of activism and climate change as well as the technical skills needed to do so. Develop and reinforces dynamic skill sets to respond to these issues, and asks everyone involved to contribute and help shape what the class becomes."
ART 395 - Topics in Studio Art,1-6,Experimental course in selected problems.
"CRGS 331 - Radical Futures: Race, Environment, and Social Justice",3,"Examine global environmental justice movements responding to colonialism, racial capitalism, neoliberalism. Interrogate science, modernity and progress; contrast with decolonial futures. Multiple disciplinary perspectives: critical ethnic studies, decoloniality, history, art, film studies, social science."
ENGL 311 - Creative Writing for Environmental Justice,4,"Write, analyze, and critique texts that explore questions of environmental justice. Quality writing considered for publication in Toyon Multilingual Literary Journal."
"ENGL 471 - Literatures of Body, Environment, World-Building",4,"Study ecocriticism and writers, theories, and representations of the body, disability, and environmental justice. Analyze issues of power with regard to class, race/ethnicity, gender, sexuality. Examine literatures that reimagine worlds.
Co-listed with: ENGL 571. (Only one of the co-listed courses may be taken for credit. See Terminology for more information.)"
ESM 309B - Environmental Communication,3,"This course is intended for advanced students who want to learn the basic theories, strategies, and techniques used to communicate a body of scientific knowledge to the public in a comprehensible manner."
ENST 470 - Climate Justice and Sustainability Leadership,4,"Analyze forms of social change and leadership and reflect on the underlying patterns, beliefs, structures, systems, and conditions that give rise to twin crises of climate change and inequality. Training in both theory and praxis of leadership in climate justice and resilience. Experiential learning to build capacity to comprehend the forces at play, develop strategic interventions, effect systemic change, build resilience, and co-create a life-sustaining society."
"ENST 471 - Arts, Climate, and Health Justice",3,Explore the relationship between climate justice and health justice. Understand the relationship between culture and health. Engage in artistic practice as a means of intervening in systems of injustice. Develop familiarity with arts in public health models.
ENST 480 - Special Topics,3,Special topics in environmental studies.
PHIL 302 - Environmental Ethics,3,Critique approaches to relationship between human beings and the environment.
RS 361 - Environment and Religion,3,How religious practice questions/challenges consumerism. Underlying roots of consumerist mentality and its personal/environmental effects. Explore spiritual/religious foundations for sustainability and environmental health.
GEOG 302 - Global Ecology and Biogeography,3,"This course examines past and present geographic distributions of plants, animals, and other organisms. Biogeography is integrative and unites concepts and techniques from ecology, evolutionary biology, geology, and geography."
"GEOG 352 - Weather, Climate and Natural Hazards",3,"Nature of world’s regional climates; tropospheric and oceanic circulation influence; orographic effects, large-scale weather disturbances. Geography majors must also take GEOG 352M when offered."
"GEOG 357 - Climate, Ecosystems and People",3,This course will examine impacts of recent climate change on ecosystems and landscapes with primary case studies from North America and global syntheses.
GEOL 303 - Earth Resources and Global Environmental Change,3,"Origins, occurrence, and limits of important energy, mineral, and water resources. Societal and environmental impacts of resource use and global climate change. Cannot count for geology majors as upper division geology area of specialization."
NAS 308 - Indigenous Ethnobotany,3,"Rooted in Indigenous research paradigms and land-based pedagogies. Introduction to Indigenous ethnobotany through critical literature engagement, work with the regional tribal community, and research and experimentation. While focused on ethnobotany and ethnoecology, this course will also reorient scientists to decolonized methodologies and offer the relational building blocks for further work with interconnected human and more-than-human communities."
OCN 304 - Resources of the Sea,3,"Non-Living resources of the ocean floor and water; distribution, origin, and exploitation of minerals; energy production from the ocean; environmental and political problems of ocean exploitation."
PHIL 309B - Perspectives: Humanities/Science/ Social Science,3,"Critique perspectives, modes of inquiry, and products of the humanities, biological and physical sciences, social and behavioral sciences, and their relationships."
WSHD 310 - Hydrology and Watershed Management,4,"Hydrologic considerations of forest roads, stream crossings, road drainage. Management influences on hydrologic processes and aquatic habitat; protecting salmonid resources."
ECON 309 - Economics of a Sustainable Society,3,Interpret meaning of sustainable economy. Techniques for measuring economic performance using sustainability standard. Analyze domestic and international policies consistent with a sustainable economy. Economics and business administration majors MUST co-enroll in ECON 309D.
ENST 420 - Energy Justice,4,Advanced seminar course drawing on the critical social sciences and humanities to understand how energy issues are central to understanding the environmental and social inequalities of our times.
GEOG 301 - International Environmental Issues and Globalization,3,"Cross-disciplinary examination of economic development, world regions, population trends, resource exploitation, sustainability, impact of resource extraction in key world locations, and increasing global environmental connectivity, integration, and interdependence.
Cross-listed with: ESM 301"
GEOG 365 - Political Ecology,4,"Combines elements of human ecology and political economy to examine environmental degradation, conflict and conservation. Examines social movements.
Cross-listed with: PSCI 365"
PSCI 365 - Political Ecology,4,"Combines elements of human ecology and political economy to examine environmental degradation, conflict, and conservation. Examines social movements and community responses to environmental change.
Cross-listed with: GEOG 365"
