title,units,description
TA 104 - Story Through Word and Image,4,Universal and archetypal principles of story with an emphasis on using images and words for creating stories for theatre and film.
FILM 103 - Art of Film: Beginning to 1950s,3,Motion picture as popular art. Contributions of individual artists in historical contexts.
FILM 104 - Art of Film: 1950s to Present,3,Motion picture as popular art. Contributions of individual artists in their historical contexts.
FILM 210 - Screenwriting I,3,"Writing short scripts and treatments for indie experimental, documentary, and narrative films using 3-Act structure and story-craft. Developed scripts and treatments are offered to production courses."
FILM 215 - Filmmaking I,4,Introduction to fundamentals of filmmaking.
FILM 308 - Topics in Media Art History,3,"Topics in media art history from beginning to the present.
Cross-listed with: ART 308"
FILM 375 - Filmmaking II,4,"Intermediate course expanding on fundamentals of lighting, cinematography, digital editing and audio field production. Create short fiction and nonfiction films."
FILM 385 - Filmmaking III,4,"Advanced film production. Students produce short films that include sound mixing, color correction, and graphics."
FILM 475 - Filmmaking IV,4,"Capstone course. Students pitch, develop, shoot, and complete a short film. Basic distribution materials developed."
FILM 476 - Filmmaking V,4,"Continued capstone work on student film developed in Film IV. Students pitch, develop, shoot, and complete a short film. Basic distribution materials developed."
FILM 494W - Professional Practices in Film,3,"Development and refinement of professional practices and materials for careers in film, digital media and related fields."
ART 250 - Darkroom Photography,3,"Fundamentals of fine art analog black-and-white photography. Camera operations, film development, and silver gelatin printing. Discuss work of historical and contemporary fine art photographers."
ART 251 - Photography I,3,Fundamentals of digital camera functions and introduction to digital imaging software. Exploration of creative image control and visual communication through lens-based image making.
FILM 260 - Film Festival,2,"Pre-screenings and behind-the-scenes activities for the world’s oldest student-run film festival that will deepen sociopolitical understanding and provide insights to contemporary short film processes, aesthetics, and constructs."
FILM 350 - Screenwriting II,3,"Advanced writing for short scripts and treatments for indie experimental, documentary, and narrative films using 3-Act structure and story-craft. Developed scripts and treatments are offered to production courses."
FILM 362 - Documentary Production,4,"Fundamentals of ethical, non-fiction video production."
FILM 378 - Film/Digital Production Workshop,1-4,Special topics in film and/or digital production. Structure and curriculum varies.
FILM 425 - Film Directing and Production Processes,3,"Students examine professional directing practices for the moving image, including production processes every director must master."
FILM 455 - Grant Writing,4,Fundamental practices of proposal development and grant writing; applicable to all professions. Hands-on activities as grantee and grantor. Emphasis on post-graduation grant writing. Includes working with a fiscal agent.
FILM 465 - Film Seminar,4,Seminar on film-related topics.
FILM 478 - Advanced Film/Digital Production Workshop,1-4,Special advanced topics in film and/or digital production. Structure and curriculum varies.
FILM 480 - Special Topics in Film,1-4,Variable topics. Check with department for upcoming topics.
