title,units,description
BIOL 105 - Principles of Biology,4,"Fundamental processes of life. Structure and function of cells, genetics, evolution, and ecology."
CHEM 107 - Fundamentals of Chemistry,4,Terminal course. Fundamental concepts and applications of general and inorganic chemistry.
FISH 260 - Fish Conservation and Management,3,"Introduction to fisheries science. Overview of relationships between fish and people, including law and regulatory agencies, management programs, and conservation."
STAT 109 - Introductory Biostatistics,4,"Descriptive statistics, probability, random variables, discrete and continuous distributions, confidence intervals, contingency tests, regression and correlation, tests of hypothesis, analysis of variance. Emphasis: methods and applications used in the biological and natural resource sciences."
ZOOL 110 - Introductory Zoology,4,"Structure, function, evolution, and diversity of major groups of animals."
MATH 101 - College Algebra,3,"Topics include algebraic equations and inequalities; polynomial, rational, algebraic, exponential, and logarithmic functions; compositions and inverses; geometric transformations and properties of functions; difference quotients."
MATH 101T - Trigonometry,3,"Trigonometric functions, their graphs, inverses and applications, radian measure, solving triangles, trigonometric identities and equations, laws of sines and cosines, polar coordinates, vectors."
MATH 101I - College Algebra with Integrated Support,3,"Algebraic equations and inequalities; polynomial, rational, algebraic, exponential, and logarithmic functions; compositions and inverses; geometric transformations and properties of functions; difference quotients. Open to students in Math placement category III or IV."
MATH 102 - Algebra and Elementary Functions,4,"In-depth treatment of exponential, logarithmic, trigonometric, and polynomial functions."
MATH 105 - Calculus for the Biological Sciences and Natural Resources,3,"Differential and integral calculus. Apply to biological sciences, including exponential growth and decay."
CHEM 128 - Introduction to Organic Chemistry,3,"An introductory course in organic chemistry for natural resource majors. Topics will include structure and bonding, nomenclature, and common functional groups and their reactivity."
GEOL 109 - General Geology,4,"Physical geology. Origin and constitution of the earth, internal and external processes that determine crustal and surficial features, and methods in investigating and interpreting earth history."
PHYX 106 - College Physics: Mechanics and Heat,4,"Non-Calculus, for science majors. Mechanics, fluids, heat, sound."
OCN 109 - General Oceanography,3,"Extent of the oceans; chemical nature of sea water; causes/effects of currents, tides, and waves; animal and plant life in the sea; features of the ocean floor."
OCN 109L - General Oceanography Laboratory,1,"Introductory laboratory activities to develop understanding of fundamental concepts from geological, chemical, physical, and biological oceanography and the inter-relationship between those concepts."
FISH 310 - Ichthyology,4,"Biology of fishes and fishlike vertebrates. Anatomy/concepts of systematics of fishes; classifying fishes, particularly commercial, game, and forage species."
FISH 311 - Fish Physiology,3,Physiology of lower vertebrate organ systems. Efficient management and culture of the animal as a renewable resource.
FISH 314W - Fishery Science Communication,3,Technical literature; library usage; reporting. Organize/communicate written and oral scientific information.
FISH 380 - Techniques in Fishery Biology,3,"Overview of fishery research methods: sampling theory, collection gear, stock identification methods, age and growth, tagging, and estimation of population size."
FISH 460 - Advanced Fish Conservation and Management,3,Overview of theoretical and practical constraints of fish conservation and management with focus on use of quantitative tools. Examination of how laws and values shape the objectives of management.
FISH 474 - Conservation Genetics of Fish and Wildlife,4,"Application of molecular methods to conservation, management, ecology, and evolution of fish and wildlife."
FISH 358 - Fisheries Data Analysis,4,"Introduction to quantitative fisheries methods including statistical methods, basic sampling and experimental design, and models for fish growth, recruitment, mortality, and population dynamics. Focus on applications and interpretation."
FISH 458 - Fish Population Dynamics,4,"Classical theory and analysis of exploited fish populations. Mortality, growth, recruitment, and yield models are derived, evaluated, and applied to fishery data. Estimates of survival and population size.
Co-listed with: FISH 558. (Only one of the co-listed courses may be taken for credit. See Terminology for more information.)"
FISH 558 - Fish Population Dynamics,4,"Theory and analysis of exploited fish populations. Meets jointly with FISH 458. Students in FISH 558 are expected to develop a fish populations dynamics case study and report findings to class.
Co-listed with: FISH 458. (Only one of the co-listed courses may be taken for credit. See Terminology for more information.)"
FISH 320 - Limnology,3,"Lake formation and aging. Physical, chemical, and behavioral relationships between organisms and their environments."
FISH 320L - Limnology Practicum,1,Survey lakes and streams. Survey equipment; analytical instruments; field and lab methods. Weekend field trips.
FISH 370 - Aquaculture,4,"Culture and breeding of freshwater and marine fishes, sport and commercial. Operating fresh and saltwater hatcheries. Care and use of fishes as experimental animals."
FISH 434 - Ecology of Freshwater Fish,4,"Distribution, diversity, and abundance of freshwater and anadromous fish. Covers evolution, life history strategies, behavior, physiology, and interactions between species, including relevance for conservation and management. Focus on local species, particularly Pacific salmon and trout."
FISH 476 - Ecology of Running Waters,3,"Characterization of the physical and chemical environment, adaptations, distribution, and interactions of riverine biota, ecosystem structure and dynamics, and response to human alternation.
Co-listed with: FISH 576. (Only one of the co-listed courses may be taken for credit. See Terminology for more information.)"
FISH 335 - U.S. and World Fisheries,3,"Location of, and species taken in, commercial fisheries. Their importance to world food supply. Methods of harvest and products marketed. Economic problems of common property resources. Some weekend and after-hours field trips required."
FISH 375 - Mariculture,3,"Controlled spawning, cultivation, harvesting, processing, and marketing of marine and estuarine algae, invertebrates, and fishes. How laws and regulations, engineering, and economics affect culture on a worldwide basis. Culture of food items used in rearing marine and estuarine species. Lab requires after-hours time at marine lab."
FISH 410 - Topics in Advanced Ichthyology,3,"Advanced topics in ichthyology such as phylogeny, zoogeography, fish families of the world, early life history of fish, or biology of particular groups of fish (e.g. sharks and rays).
Co-listed with: FISH 510. (Only one of the co-listed courses may be taken for credit. See Terminology for more information.)"
FISH 510 - Topics in Advanced Ichthyology,3,"Advanced topics in ichthyology such as phylogeny, zoogeography, fish families of the world, early life history of fish, or biology of particular groups of fish (e.g. sharks and rays).
Co-listed with: FISH 410. (Only one of the co-listed courses may be taken for credit. See Terminology for more information.)"
FISH 435 - Ecology of Marine Fish,4,"Environmental influences on life history, behavior, growth, and survival of marine and anadromous fishes. Some weekend and after-hours field trips."
FISH 446 - Aquatic Ecosystem Modeling,3,"Using statistical and theoretical models to understand the processes that influence the structure and function of aquatic populations and communities. Methods may include spatial analyses, time-series, bioenergetics, and individual based models.
Co-listed with: FISH 546. (Only one of the co-listed courses may be taken for credit. See Terminology for more information.)"
FISH 471 - Fish Diseases,3,"Prevent, diagnose, manage, and treat infectious and noninfectious fish diseases."
FISH 571 - Advanced Fish Disease and Pathology,3,"Epidemiology, pathology, diagnosis, and treatment of infectious and noninfectious fish diseases."
