title,units,description
GEOG 105 - Human Geography,3,"Analyze selected landscapes, regions, and group characteristics resultant from interaction of human societies with various environments."
GEOG 106 - Physical Geography,3,"Global patterns of climate, soils, vegetation. Landform geography. Climate regions defined on basis of physical environmental and agricultural land-use parameters. Geography majors must also take GEOG 106L."
GEOG 106L - Physical Geography Laboratory,1,Introduction to physical earth processes through laboratory and field exercises.
GSP 101 - Geospatial Concepts,3,"Overview: scale, coordinates, geodesy, direction, projections, surveying, global positioning systems (GPS), remote sensing, geographic information systems (GIS), cartography; historical context illustrating how maps depict spatial relationships, chart power, convey authority."
GEOG 310L - Geographic Research Laboratory,1,Introduction to geographic research techniques using software and internet resources.
GEOG 311W - Geographic Research and Writing,3,"Overview of discipline and profession. Use of library resources, research tools. Emphases: geographic methodologies, academic writing, presenting. Research paper and presentation on regional topic."
ESM 230 - Environmental Methods,3,"Introduction to quantitative tools for environmental problem solving. Basic modeling skills in the context of topics related to environmental issues associated with air, water, land/earth, and energy."
GEOG 319 - Emergence of the Modern Middle East,4,This interdisciplinary course explores the Middle East through the disciplines of history and geography utilizing a wide variety of assignments and primary and secondary sources.
GEOG 322 - California,3,"Spatial interpretation of economic, political, social, and physical forces at work to forge California. Behavioral aspects of processes leading to change. Geography majors must also take GEOG 322M when offered."
GEOG 472 - Topics in Regional Geography,1-4,Specialized consideration of selected world regions.
GEOG 300 - Global Awareness,3,"Analyze current world conflicts and problem areas. Spatial, social, economic, political, and environmental realities."
GEOG 301 - International Environmental Issues and Globalization,3,"Cross-disciplinary examination of economic development, world regions, population trends, resource exploitation, sustainability, impact of resource extraction in key world locations, and increasing global environmental connectivity, integration, and interdependence.
Cross-listed with: ESM 301"
GEOG 304 - Migrations and Mosaics,3,"Role of international and internal migrations in shaping American population and society. Examine full range of ethnic mosaics that result from the mixing and clashing of diverse cultures. Put own lifeline in national perspective.
Cross-listed with: ES 304"
GEOG 363 - Political Geography,3,World survey of spatial variation and interrelationships of political phenomena within a political region.
GEOG 365 - Political Ecology,4,"Combines elements of human ecology and political economy to examine environmental degradation, conflict and conservation. Examines social movements.
Cross-listed with: PSCI 365"
GEOG 470 - Topics in Geography for Teachers,3,Prospective teachers develop materials and resources that can be applied in classrooms. Use case studies developed by national and state geographic educational alliances.  Intended for teacher credential candidates.
GEOG 470S - Topics in Geography for Teachers,3,Prospective teachers develop materials and resources that can be applied in classrooms. Use case studies developed by national and state geographic educational alliances. Students conduct a small service learning project in partnership with local schools/educational partners.
GEOG 471 - Topics in Human Geography,1-4,Use established methods of geographic inquiry.
GEOG 302 - Global Ecology and Biogeography,3,"This course examines past and present geographic distributions of plants, animals, and other organisms. Biogeography is integrative and unites concepts and techniques from ecology, evolutionary biology, geology, and geography."
"GEOG 352 - Weather, Climate and Natural Hazards",3,"Nature of world’s regional climates; tropospheric and oceanic circulation influence; orographic effects, large-scale weather disturbances. Geography majors must also take GEOG 352M when offered."
"GEOG 357 - Climate, Ecosystems and People",3,This course will examine impacts of recent climate change on ecosystems and landscapes with primary case studies from North America and global syntheses.
GEOG 473 - Topics in Physical Geography,1-4,"Worldwide climatological, landform, and/or water resource situations as they affect human activities on a regional basis."
GEOL 306 - General Geomorphology,3,"Origin and development of landforms, landform classification, geomorphic processes. Methods of geomorphological analysis, topographic map interpretation, and aerial photo interpretation. May require two weekend field trips."
WSHD 310 - Hydrology and Watershed Management,4,"Hydrologic considerations of forest roads, stream crossings, road drainage. Management influences on hydrologic processes and aquatic habitat; protecting salmonid resources."
GSP 216 - Introduction to Remote Sensing,3,"Introductory course in remote sensing focusing on broad topics pertaining to nature of radiation, aerial photography and interpretation, multispectral scanners, and image data and processing."
GSP 270 - Geographic Information Science (GIS),3,"Introductory course in Geographic Information Science and spatial analysis involving collection, manipulation, display, and analysis of geographically referenced data. Raster and Vector data, overlays, buffer, proximity analysis and SQL queries."
GSP 316 - Cartography,4,"Cartographic visualization and map design principles through GIS and illustration programs, the selection of appropriate map projections, data classification, color, visual variables, charts, graphs, and diagrams."
GSP 318 - Geospatial Programming I,3,"Introduction to programming for geospatial students. Covers problem decomposition, control structures, simple data structures, testing, and documentation, using the Python programming language and geospatial-oriented examples."
GSP 326 - Intermediate Remote Sensing,3,"Intermediate level course focusing on digital image processing involving image enhancements, image rectifications, classification, and accuracy assessments. Additional topics include image processing techniques involving thermal, hyperspectral, Radar, and LiDAR data."
