title,units,description
MATH 101 - College Algebra,3,"Topics include algebraic equations and inequalities; polynomial, rational, algebraic, exponential, and logarithmic functions; compositions and inverses; geometric transformations and properties of functions; difference quotients."
GSP 101 - Geospatial Concepts,3,"Overview: scale, coordinates, geodesy, direction, projections, surveying, global positioning systems (GPS), remote sensing, geographic information systems (GIS), cartography; historical context illustrating how maps depict spatial relationships, chart power, convey authority."
GSP 216 - Introduction to Remote Sensing,3,"Introductory course in remote sensing focusing on broad topics pertaining to nature of radiation, aerial photography and interpretation, multispectral scanners, and image data and processing."
MATH 101T - Trigonometry,3,"Trigonometric functions, their graphs, inverses and applications, radian measure, solving triangles, trigonometric identities and equations, laws of sines and cosines, polar coordinates, vectors."
GSP 270 - Geographic Information Science (GIS),3,"Introductory course in Geographic Information Science and spatial analysis involving collection, manipulation, display, and analysis of geographically referenced data. Raster and Vector data, overlays, buffer, proximity analysis and SQL queries."
GSP 272 - GIS for Social Science,3,"Introduction to geographic information systems (GIS) for the social sciences. Fundamental theory and application of spatial analysis to relevant issues in business, marketing, sociology, anthropology, criminology, history and more. ArcGIS used primarily, but some data manipulation will require the use of other tools such as Microsoft Excel. Covers the concepts and skills of introductory GIS analysis. Basic principles of cartography will be introduced, as well as other tools to develop impactful data presentation."
ESM 230 - Environmental Methods,3,"Introduction to quantitative tools for environmental problem solving. Basic modeling skills in the context of topics related to environmental issues associated with air, water, land/earth, and energy."
GEOG 311W - Geographic Research and Writing,3,"Overview of discipline and profession. Use of library resources, research tools. Emphases: geographic methodologies, academic writing, presenting. Research paper and presentation on regional topic."
GEOG 105 - Human Geography,3,"Analyze selected landscapes, regions, and group characteristics resultant from interaction of human societies with various environments."
GEOG 106 - Physical Geography,3,"Global patterns of climate, soils, vegetation. Landform geography. Climate regions defined on basis of physical environmental and agricultural land-use parameters. Geography majors must also take GEOG 106L."
