title,units,description
HIST 110 - United States History to 1877,3,"Selected topics. Sources and conditioning factors of American social, political, and economic systems to 1877. Meets requirement in US history established by California legislature."
HIST 111 - United States History from 1877,3,"Selected topics. Sources and conditioning factors of American social, political, and economic systems from 1877. Meets requirement in US history established by California legislature."
HIST 210 - Historical Methods,4,Nature of history; historical consciousness; historians’ craft; use of primary/secondary sources. Recommended first course in the major. One of four units is individualized instruction on assigned essay. History majors must take HIST 210 before taking upper division major courses.
HIST 104 - Western Civilization to 1650,3,"Origin and growth of human communities in the Western world. Development of various social and political organizations, cultural milieu, and relationships to the rest of the world."
"HIST 105 - Western Civilization, 1650 to Present",3,"Diverse development of Western political and social institutions. Impact of economic, political, scientific, and technological change. Varieties of cultural milieu. Relationships to the rest of the world."
HIST 106B - Islamic Societies: The Making of the Muslim Middle East,3,"An introduction to the history of Islamic societies, this course explores key historical events, social and political turning points, and intellectual transformations that have shaped the Middle East and Islam."
HIST 107 - East Asian History to 1644,3,"China, Korea, and Japan from prehistory to 1644. Early China, Japan, Korea, and Vietnam: their history and arts."
HIST 108 - East Asian Civilization Since 1644,3,"China, Japan, Korea, and Vietnam from 1644 to the present, emphasizing the maturing of East Asian civilization as it encountered the West."
HIST 109 - Colonial Latin American History,3,Pre-Columbian and colonial Latin America to 19th century independence movements.
HIST 109B - Modern Latin America,3,Major themes/problems in history of Latin America from early 1800s (independence) to present.
HIST 200 - World Cultures and History: Prehistory to 1500 CE,3,"Survey of different world cultures from prehistory to 1500 CE, with a focus on the major events, trends, religions, political structures, social structures, economic development and cross-cultural interactions throughout the world.  Particular attention is paid to human migrations, the effects of cultural adaptation, as well as the evolution of civilizations around the globe."
HIST 201 - World Cultures and History: 1500 CE to the Present,3,"Survey of different world cultures from 1500 CE to the present, with a focus on the major events, trends, religions, political structures, social structures, economic development and cross-cultural interactions throughout the world. Particular attention is paid to human migrations, the effects of cultural adaptation, as well as the evolution of civilizations around the globe."
HIST 300 - The Era of World War I,3,"Social, economic, diplomatic, political, and military background before and developments during war. Emphasis on origins and outbreak of war; total war; trench warfare; Bolshevik Revolution; peace settlement; and war’s aftermath."
"HIST 300R - The Era of World War I, Research Seminar",1,"Embedded writing workshop. Students write a 10-12 page research paper. Includes: primary and secondary literature review, library research methods, analysis, organization, and peer editing."
HIST 301 - The Era of World War II,3,"Social, economic, diplomatic, political, and military background before and developments during war. Emphasis on totalitarianism; appeasement; propaganda; conduct of war; civilian experiences of war; post-war settlement; beginning of Cold War."
"HIST 301R - The Era of World War II, Research Seminar",1,"Embedded writing workshop. Students write a 10-12 page research paper. Includes: primary and secondary literature review, library research methods, analysis, organization, and peer editing."
HIST 314 - Ancient Greek Civilization and History,4,"From beginnings to death of Alexander the Great. Bronze Age, Homeric epics, rise of the city-state, Sparta, democracy at Athens, civilization of the Golden Age, rise of Macedonia."
HIST 315 - History and Civilization of Rome,4,"From legendary founding to Christianity’s triumph. Imperialism, the Republic, the Principate, reasons for Rome’s decline."
HIST 322 - The Age of Knights and Monks,4,"Europe from 900 AD to beginnings of Renaissance. Life under feudal system, medieval warfare, church/state relations, crusades, major heresies, development of European nations, Gothic architecture, medieval synthesis, Black Death."
