title,units,description
BIOL 104 - General Biology,3,Principles of modern biology. Emphasis on aspects of biology rapidly reshaping our culture. Not intended for majors in life sciences or natural resources.
BIOL 105 - Principles of Biology,4,"Fundamental processes of life. Structure and function of cells, genetics, evolution, and ecology."
CHEM 109 - General Chemistry I,5,"Fundamental concepts: chemical foundations, stoichiometry, chemical reactions, gases, thermochemistry, atomic theory, bonding, liquids, solutions. For students in science, engineering, and related majors."
KINS 288 - Foundations of Science in Kinesiology,3,"This course studies the major systems of the body through a biochemical, molecular biology lens. Students will engage introductory concepts of metabolism, biochemistry, public health, medical science, health sciences, pathology, and human performance. This course is designed for kinesiology and nursing students with a strong interest in the health or medical field of study and is a component course of kinesiology core."
HED 120 - Responding to Emergencies - CPRFPR,1,"Course includes American Red Cross First Aid, Adult CPR, Adult AED, Child CPR, Child AED, and infant CPR. Leads to first-time certification or recertification of these courses."
HED 231 - Basic Human Nutrition,3,"Nutrient requirements for healthy living. Analyze food sources, function of nutrients, chemical processing, and food absorption."
KINS 165 - Foundations of Kinesiology,3,Contemporary practices; current issues. Philosophies and cultural foundations of human movement. Develop writing skills.
ZOOL 113 - Human Physiology,4,"Physiological mechanisms of human body. Emphasis: organ level of integration. No credit toward a major in biology, botany, or zoology."
ZOOL 270 - Human Anatomy,4,Gross and microscopic anatomy of human body. Demonstrations on cadavers; microscopic work. Intended for Kinesiology and Pre-Professional Health students.
HED 392 - Community and Population Health,3,"Introduction to public health, epidemiology, structure, and function of the health care system and environmental health. Methods for addressing health needs in different populations and settings."
KINS 379 - Exercise Physiology,4,"How the body responds, adjusts, and adapts to exercise. Muscular, circulatory, respiratory, energy, and endocrine systems."
KINS 385 - Adapted Physical Activity,3,"Provides students with the opportunity to understand the History of Special Education Law and how these laws protect the rights of individuals with disabilities within the physical education setting. Students will understand philosophies, such as inclusion, and how cultural differences can be addressed within the classroom. Students will understand how students qualify for adapted physical education and how adapted sports can be included in the K-12 curriculum to provide each student the opportunity to become physically literate."
KINS 386 - Structural Kinesiology,4,"Structural/ mechanical analysis of human motor performance. Osteology, arthrology, myology, anatomical mechanics, motion ability factors, anthropometry, and specific structural movement problems, with emphasis on qualitative analysis."
KINS 483 - Evaluation Techniques in Kinesiology,3,"Testing, measurement, and statistical procedures. Theory and lab analysis of how measuring/ statistical devices are constructed, administered, evaluated."
KINS 484 - Motor Development/Motor Learning,3,Principles of perceptual organization. Functions of proprioceptors and other sensory modes in developing kinesthesia. Interrelationships necessary for cognition.
KINS 492W - Senior Project in Kinesiology,3,Develop a final project using research and scientific reasoning in a selected topic that will align with a desired career path within Kinesiology. Gain experience in career specific interviewing.
KINS 325 - Health-Related Exercise,2,"Principles, theory, and practice of health-related exercise through fitness programs, recreational activities, and outdoor education. Analysis of teaching and learning; instructional and curricular approaches; standards-based instruction; planning and assessment strategies."
KINS 339 - Group Exercise Instruction,2,"Theory and practice for group exercise leaders. Functional effects of exercise, safe techniques, modifications for special populations, choreography, health screening, and legal issues. Prepares individuals to be effective exercise instructors."
PE 158 - Strength Fitness,2,Principles of weight training. Establish strength and conditioning foundation. Two additional hours TBA.
HED 342 - Nutrition for Athletic Performance,3,"How food consumption and nutrition affect energy production and physical performance in sports activities. Analyze diet modifications, such as carbohydrate loading and use of ergogenic aids, to improve performance."
KINS 425 - Strength and Conditioning,3,"Scientific basis for and practical applications of resistance training. Design and implementation of conditioning programs. Lifting mechanics, techniques and instructional strategies for teaching weight lifting for sport/performance outcomes."
KINS 456 - Fitness Assessment and Exercise Programming,5,"Covers laboratory and field tests used for assessing physical fitness components as well as principles of exercise prescription. Test results are used in developing individualized exercise prescriptions to improve cardiorespiratory fitness, muscular fitness, body weight and body composition, and flexibility. During laboratory sessions, hands-on training in assessment and exercise prescription for these four components are included."
KINS 460 - Human Performance Lab Techniques,1,"Introduction to the basic testing procedures used in the assessment of human performance, health, and wellness. Application and practice of techniques in administering tests and analysis of data. Kinesiology majors with junior standing or greater."
KINS 482 - Internship in Kinesiology,2-7,"Supervised experience in corporate/private business, clinical, community, educational, research, or sport performance setting. Application of knowledge, skills, and abilities in exercise science and/or health promotion."
"HED 343 - Food, Health, and Society",3,"Examine the sociocultural, biological, and economic impacts on attitudes, beliefs, and practices surrounding food and nutrition, how they shape food choices and eating behaviors, and their impact on weight and health. Gain knowledge and understanding of a non-weight-centered approach to improve diet and health outcomes in individuals and groups."
HED 345 - Health Messaging and Mass Media,3,Study of theories of mass communication and health evidence dissemination with practical application in development of culturally appropriate messaging on various communication platforms for the promotion of health programs and behaviors.
HED 390 - Design and Implement HP Program,3,"Planning, implementing and evaluating health promotion programs for different populations and different settings."
