title,units,description
BIOL 104 - General Biology,3,Principles of modern biology. Emphasis on aspects of biology rapidly reshaping our culture. Not intended for majors in life sciences or natural resources.
BIOL 105 - Principles of Biology,4,"Fundamental processes of life. Structure and function of cells, genetics, evolution, and ecology."
CHEM 109 - General Chemistry I,5,"Fundamental concepts: chemical foundations, stoichiometry, chemical reactions, gases, thermochemistry, atomic theory, bonding, liquids, solutions. For students in science, engineering, and related majors."
KINS 288 - Foundations of Science in Kinesiology,3,"This course studies the major systems of the body through a biochemical, molecular biology lens. Students will engage introductory concepts of metabolism, biochemistry, public health, medical science, health sciences, pathology, and human performance. This course is designed for kinesiology and nursing students with a strong interest in the health or medical field of study and is a component course of kinesiology core."
HED 120 - Responding to Emergencies - CPRFPR,1,"Course includes American Red Cross First Aid, Adult CPR, Adult AED, Child CPR, Child AED, and infant CPR. Leads to first-time certification or recertification of these courses."
HED 231 - Basic Human Nutrition,3,"Nutrient requirements for healthy living. Analyze food sources, function of nutrients, chemical processing, and food absorption."
KINS 165 - Foundations of Kinesiology,3,Contemporary practices; current issues. Philosophies and cultural foundations of human movement. Develop writing skills.
ZOOL 113 - Human Physiology,4,"Physiological mechanisms of human body. Emphasis: organ level of integration. No credit toward a major in biology, botany, or zoology."
ZOOL 270 - Human Anatomy,4,Gross and microscopic anatomy of human body. Demonstrations on cadavers; microscopic work. Intended for Kinesiology and Pre-Professional Health students.
HED 392 - Community and Population Health,3,"Introduction to public health, epidemiology, structure, and function of the health care system and environmental health. Methods for addressing health needs in different populations and settings."
KINS 379 - Exercise Physiology,4,"How the body responds, adjusts, and adapts to exercise. Muscular, circulatory, respiratory, energy, and endocrine systems."
KINS 385 - Adapted Physical Activity,3,"Provides students with the opportunity to understand the History of Special Education Law and how these laws protect the rights of individuals with disabilities within the physical education setting. Students will understand philosophies, such as inclusion, and how cultural differences can be addressed within the classroom. Students will understand how students qualify for adapted physical education and how adapted sports can be included in the K-12 curriculum to provide each student the opportunity to become physically literate."
KINS 386 - Structural Kinesiology,4,"Structural/ mechanical analysis of human motor performance. Osteology, arthrology, myology, anatomical mechanics, motion ability factors, anthropometry, and specific structural movement problems, with emphasis on qualitative analysis."
KINS 483 - Evaluation Techniques in Kinesiology,3,"Testing, measurement, and statistical procedures. Theory and lab analysis of how measuring/ statistical devices are constructed, administered, evaluated."
KINS 484 - Motor Development/Motor Learning,3,Principles of perceptual organization. Functions of proprioceptors and other sensory modes in developing kinesthesia. Interrelationships necessary for cognition.
KINS 492W - Senior Project in Kinesiology,3,Develop a final project using research and scientific reasoning in a selected topic that will align with a desired career path within Kinesiology. Gain experience in career specific interviewing.
KINS 244 - Medical Terminology,1,"Understanding medical terminology is essential for anyone interested in working in healthcare. In this class, students will develop a medical vocabulary grounded in basic medical terminology through the study of root words, prefixes, and suffixes. Students will learn correct pronunciations, spellings, and use of medical terms. Anatomy, physiology, and pathology of diseases will be discussed."
PHYX 106 - College Physics: Mechanics and Heat,4,"Non-Calculus, for science majors. Mechanics, fluids, heat, sound."
PHYX 107 - College Physics: Electromagnetism and Modern Physics,4,"Non-Calculus, for science majors. Geometric optics, electricity, magnetism, electromagnetic waves, AC circuits, physical optics, relativity."
STAT 108 - Elementary Statistics,3,"Rudimentary data collection, descriptive statistics of univariate and bivariate data, probability, random variables, discrete and continuous distributions. Foundational concepts of confidence intervals and hypothesis tests. Use and abuse of statistics."
STAT 108I - Elementary Statistics with Integrated Support,3,"Introductory statistics with integrated support to aid comprehension. Data collection, descriptive statistics, bivariate data, probability, probability distributions. Foundational concepts of confidence intervals and hypothesis tests. Use and abuse of statistics. Open to students in Math placement category III or IV."
PSYC 338 - Abnormal Psychology,3,"Major psychological disorders: anxiety disorders (neuroses), psychoses, and conduct disturbances. Theoretical/empirical analyses."
ANTH 103 - Biological Anthropology,3,"Introduction to human evolution and adaptation through scientific principles, evolutionary theory, genetic inheritance, nonhuman primates, fossil record, forensics, and evolutionary medicine. Not intended for most science/natural resource majors."
BIOL 340 - Genetics,4,"Principles of heredity; nature and function of genetic material, with quantitative analyses; genetic constitution of populations."
BIOL 412 - General Microbiology,4,"Natural history and importance of bacteria, archaea, and viruses. Structure, growth, metabolism, genetics, taxonomy, diversity, pathogenesis, and applied aspects of microorganisms."
CHEM 110 - General Chemistry II,5,"Fundamental concepts: kinetics; equilibrium; acids and bases; acid-base, solubility, and complex ion equilibria; entropy and free energy; electrochemistry; qualitative analysis. For students in science, engineering, and related majors."
CHEM 324 - Organic Chemistry I,3,"First semester of a one-year sequence. Chemical bonding, chemical structure, spectroscopy, physical properties, stereochemistry, reaction mechanisms, and synthesis."
CHEM 324L - Organic Chemistry I Laboratory,2,"First semester of a year-long sequence. Laboratory techniques, library skills, and synthesis."
CD 350 - Perspectives: Life-Span Development,3,The study of biological and environmental influences on normative and individual development across the life-span. Impact of diverse experiences on child development. Interpretation of theories and research.
"HED 343 - Food, Health, and Society",3,"Examine the sociocultural, biological, and economic impacts on attitudes, beliefs, and practices surrounding food and nutrition, how they shape food choices and eating behaviors, and their impact on weight and health. Gain knowledge and understanding of a non-weight-centered approach to improve diet and health outcomes in individuals and groups."
KINS 456 - Fitness Assessment and Exercise Programming,5,"Covers laboratory and field tests used for assessing physical fitness components as well as principles of exercise prescription. Test results are used in developing individualized exercise prescriptions to improve cardiorespiratory fitness, muscular fitness, body weight and body composition, and flexibility. During laboratory sessions, hands-on training in assessment and exercise prescription for these four components are included."
KINS 460 - Human Performance Lab Techniques,1,"Introduction to the basic testing procedures used in the assessment of human performance, health, and wellness. Application and practice of techniques in administering tests and analysis of data. Kinesiology majors with junior standing or greater."
KINS 474 - Psychology of Sport and Exercise,3,"Theoretical and applied aspects of the psychology of exercise and sport. Review of personality, motivational processes, interpersonal and group processes, developmental patterns, and intervention techniques in cultural contexts."
KINS 490 - Practica,3,"Application of principles of kinesiology in a school, community-based agency, physical therapy, clinical, or health promotion setting."
PSYC 104 - Introduction to Psychology,3,"Overview of core content such as neuroscience, learning, human development, research methods, psychological disorders/treatments, social influences on behavior. Participation in research studies required. Prerequisite for all other PSYC courses."
PSYC 311 - Developmental Psychology,3,"Overview of developmental changes across the human life span: conception through adulthood. Relevant psychological theories, research literature."
SOC 104 - Introduction to Sociology,3,"Study of social patterns across groups, social institutions, and societies. Socialization, social interaction, inequalities, change, social issues, and social science research. Relationship of self and society."
SOC 480 - Special Topics,1-4,Pressing social issues and popular topics.
