title,units,description
LDRS 311 - Foundations of Leadership,3,"Survey concepts of leadership: leadership styles, effective leadership, vision, and motivation. Critical thinking and team building emphasized. Includes definitions: leadership theories, leadership diversity, ethical leadership, and overcoming organizational obstacles."
LDRS 321 - Data Driven Leadership,3,"Develop understanding of theories, strategies, operational issues and research related to collecting, analyzing, summarizing and presenting data related to organizational effectiveness. Use analysis for forecasting. Basic methods of analyzing data."
LDRS 331 - Leadership Communication,3,"Develop the basis of effective verbal, nonverbal, written, and listening communication skills for interpersonal, group, organizational, persuasive, crisis, and cross-cultural communication. Team building skills will be emphasized."
LDRS 341 - Strategic Planning and Forecasting,3,"Develop the essential elements of a strategic plan for the organization identified in PLP. How to finance projects, conduct cost benefit analysis, develop a plan, set benchmarks and analyze forecasts."
LDRS 351 - Project Implementation/Evaluation,3,"Implement and execute a complex project. Evaluate desirability by cost-benefit analysis, analyze sources of funding, implement and evaluate the project based on financial, accounting, sustainability and administrative data."
LDRS 411 - Managing Employees/Stakeholders,3,"Analyze different methods of employee recruitment, retention, training, and empowerment. Legal pitfalls, employment law, and expanding stakeholder interests. Develop strategic knowledge of staffing, compensation, workforce design, assessment and legal issues."
LDRS 421 - Strategic Sustainability,3,"Develops the concept of strategic sustainability to implement the triple bottom line of economic viability, environmental conservation and social responsibility to transform an organization. Examination of various sustainability frameworks."
LDRS 431 - Technology and Leadership,3,"Develop an understanding of the strategic role of information systems to include hardware, software, personnel, databases, impact on organization, networking, the Internet, information security, the law and the future."
LDRS 441 - Developing Dynamic Organizations,3,Fundamentals of developing a flexible organization that creates a proactive learning environment. Motivating employees and creating new leadership opportunities. Organizational behavior and organizational psychology framework for transforming an organization.
LDRS 451 - Capstone in Leadership,3,Devoted to completing the leadership project of transforming an organization. A retrospective integrative course that requires students to synthesize relevant concepts and experiences to formulate an effective Personal Leadership Plan.
