title,units,description
NAS 104 - Introduction to Native American Studies,3,"Origins and development of content/method in Native American studies. Contrast the field with adjoining and contributing disciplines (anthropology, history, sociology, and humanities)."
NAS 200 - Indigenous Peoples in U.S. History,3,"How U.S. policies governing tribes are shaped by societal views of Indigenous Peoples. Analyze documents following history of federal Indian policy. Interactions among diverse Native, European, African, and Asian Americans. Meets requirement in U.S. history established by California legislature."
NAS 301W - Native American Literature,3,"Contemporary. Topics vary from a broad introduction to focus on one of the following genres: poetry, prose, fiction, nonfiction, and native autobiography."
NAS 306 - Indigenous Peoples of the Americas,3,"Traditional cultures, historical development, and contemporary social and political situations of Indigenous peoples of South, Central, and North America, with an emphasis on Latin America (Abya Yala)."
NAS 304 - Native Tribes of California,3,"Traditional cultures of native peoples: archeology, material culture, social organization, historical interrelationships."
NAS 309 - Traditional Ecological Knowledge and Indigenous Natural Resource Management,3,"Emphasis on ethical engagement of Traditional Ecological Knowledge; best practices for Indigenous natural resource management and the critical importance of Indigenous sciences and knowledges to addressing and developing natural resource management plans and projects. Comparison of the cultural traditions and beliefs of indigenous people, with those of western science based management."
NAS 340 - Language and Communication in Native American Communities,3,"Native American languages in social, cultural, and historical contexts. Precontact languages; traditional modes of language use; efforts to preserve or revive languages."
NAS 362 - Tribal Governance and Leadership,3,"Organization and structure. Political, economic, and social constraints."
NAS 364 - Federal Indian Law I,4,Unique federal/tribal legal and historical relationship. Scope and authority of tribal governments as modified through contact with the federal government. Federal legislation and Supreme Court decisions regarding Indians and tribes.
NAS 492 - Native American Studies Capstone Experience,3,Capstone experience for NAS majors. Students to apply knowledge of NAS to practical problems. Course will entail either group or individual projects.
NAS 365 - Federal Indian Law II,4,Continues NAS 364. Tribal jurisdiction in Indian country. Tribal/state conflicts over jurisdiction. Special topics.
NAS 468 - Tribal Justice Systems,3,"Examines the creation and maintenance of the legal relationships between Indigenous nations and their citizens. Focusing on tribal courts, policing, informal and formal mechanisms of conflict resolution and social control."
NAS 308 - Indigenous Ethnobotany,3,"Rooted in Indigenous research paradigms and land-based pedagogies. Introduction to Indigenous ethnobotany through critical literature engagement, work with the regional tribal community, and research and experimentation. While focused on ethnobotany and ethnoecology, this course will also reorient scientists to decolonized methodologies and offer the relational building blocks for further work with interconnected human and more-than-human communities."
NAS 332 - Environmental Justice,3,"Issues/concerns that led to Executive Order 12898 (environmental policies and conflicts between industries and those seeking environmental protection, including Alaska Native villages, “lower 48” tribes, grassroot community organizations)."
NAS 366 - Tribal Water Rights,4,Federal/state water laws and Indian treaties; water problems on Western reservations as classic examples.
NAS 302W - Oral Literature and Oral Tradition,3,"Identify, interpret, and decipher native symbols depicted in tribal myths, legends, songs, art, oratory, poetry, prose."
NAS 345 - Native Languages of North America,3,"Survey principle languages of northwestern California (Hupa, Karuk, Tolowa, Yurok). No special background required; college-level work in non- English language is helpful."
NAS 307 - Nature and Issues of Genocide,3,"Examines processes of genocide, historical genocide acts and genocide in the twenty-first century. Emphasis on place-based approach to the genocide of Indigenous Peoples of the Americas including California and Abya Yala (Latin America)."
NAS 303 - Native American Psychology,3,Compare and critique selected philosophical constructs manifested within European and Native American values and experiences.
NAS 400 - Decolonizing Public Health,3,"Apply decolonizing methodologies and anti-racism interventions to analysis of public health frameworks. Integrate knowledge, approaches, methods and values from diverse sources that engage with colonialism and racism as a public health issue and build actions to address health impacts of colonialism and racism. Identify decolonizing methodologies that are place-based for building public health awareness."
NAS 312W - Grant Writing for Social and Environmental Justice,4,"Mechanics of proposal writing and political/social aspects of “grantsmanship.” Focus on identifying sources of grant funding, doing research to support applications, and tailoring proposals to specific audiences. Provides broad overview of federal, state, and foundation grants aimed at program and project development for the social sciences with a focus on programs for social and environmental justice."
NAS 333 - Food Sovereignty Lab,1,"Supplementary interdisciplinary lab course. Offers an opportunity for engaged hands-on learning and research in the NAS Food Sovereignty Lab and Cultural Workshop Space. Students will be asked to engage in collaborative research projects to support workshops and community activities in the lab and participate in ongoing research projects for faculty, graduate students, and community members. Supports the development of students as researchers, community organizers and community-facing professionals. Students who would like to apply for the NAS Food Sovereignty Lab Internship Fellowship Program are required to have taken this course to support the development of their Internship program proposal."
"NAS 361 - Tribal Sovereignty, Tribal Citizens",3,"Comprehensive review of NA civics and dual role of tribal citizenship in the US. Topics: tribal governance, tribal justice systems, Indian-White relations, education, religious conflict, community development."
NAS 480 - Selected Topics in Native American Studies,1-4,"Special topic, problem area, or field research. Repeatable with different topics."
