title,units,description
SW 101 - Introduction to Social Work and Social Work Institutions,3,"Using a generalist and decolonizing model, course addresses intersectional concerns around power, privilege, resistance, and struggle in relation to social, environmental and economic justice along with methods for facilitating change."
NAS 104 - Introduction to Native American Studies,3,"Origins and development of content/method in Native American studies. Contrast the field with adjoining and contributing disciplines (anthropology, history, sociology, and humanities)."
ES 105 - Introduction to U.S. Ethnic Studies,3,"Comparative history of racialized groups in the U.S., with particular emphases on the manner in which race, ethnicity, class, and gender inform this history."
"CRGS 108 - Power/Privilege: Gender and Race, Sex, Class",3,"How gender is shaped by race, class, and sexuality. Analyze relations of power and privilege within contemporary US society."
STAT 108 - Elementary Statistics,3,"Rudimentary data collection, descriptive statistics of univariate and bivariate data, probability, random variables, discrete and continuous distributions. Foundational concepts of confidence intervals and hypothesis tests. Use and abuse of statistics."
STAT 108I - Elementary Statistics with Integrated Support,3,"Introductory statistics with integrated support to aid comprehension. Data collection, descriptive statistics, bivariate data, probability, probability distributions. Foundational concepts of confidence intervals and hypothesis tests. Use and abuse of statistics. Open to students in Math placement category III or IV."
PSYC 109 - Introduction to Psychological Statistics,4,Descriptive/inferential methods for analyzing data. Descriptive statistics; normal distributions; elementary probability; bivariate correlation and regression; hypothesis testing for comparing independent and paired groups. Labs: computer statistical programs; problem solving.
SW 340 - Social Work Methods I,3,"Generalist method: relationship building, forming partnerships, describing problems, assessing resources, developing plans, and evaluating progress. Strength-based work with individuals, families, and groups emphasized. Explore personal processes involved in becoming a helper."
SW 340L - Social Work Methods I Lab,1,"This social work methods lab offers students intensive opportunities to develop social work values, knowledge, and practices consistent with the topics included in the methods course in the context of work with individuals and families. There is considerable opportunity for self-reflection in relation to the development of one’s practice."
SW 350 - Human Behavior and the Social Environment I,4,"Contextual models for understanding human experiences, with a particular emphasis on individuals, families, and small groups. Diversity within human experience and the systemic influences that shape human experience are highlighted."
SW 355 - Social Agency Experience,2,Exposure to human service agency settings and processes. Organizational context for social work. 60 hours volunteer work per semester.
SW 382W - Social Work Research,4,"Understand research as an analytic and interpretive approach to developing knowledge. Evaluate quantitative and qualitative research; sampling strategies; validity, reliability, measurement instruments, ethical and human diversity issues, analysis, developing conclusions."
SW 330 - Social Work Policy,4,"Development, formation, implementation. Critical perspective. Analyze major social legislation and develop strategies for improving policies and services."
SW 341 - Social Work Methods II,3,"Expand understanding of generalist method. Emphasis on work with organizations, communities, policy, and society."
SW 341M - Social Work Methods II Lab,1,"This social work methods lab offers students intensive opportunities to develop social work values, knowledge, and practices consistent with the topics included in the methods course in the context of work with groups, organizations, communities, and society. There is considerable opportunity for self-reflection in relation to the development of one’s practice."
SW 351 - Human Behavior and the Social Environment II,4,"Contextual models for understanding human experiences, with a particular emphasis on large groups, organizations, communities, and society. Diversity within human experience and the systemic influences that shape human experience are highlighted."
SW 356 - Social Work Field Preparation,1,Lab to prepare senior field experience.
SW 455 - Field Experience,5,Two-semester sequence. Develop/apply generalist work skills through guided experience in a social service agency. Supervised by experienced agency field instructor.
SW 456 - Field Experience Seminar,2,"Integrate theory and practice. Learn community resources, monitor progress in the agency. Process experiences on practical, conceptual, and ethical levels."
SW 411 - Distributed Learning Community - BA,1.5,"This course is a weekly seminar where students, together with the Distributed Learning Coordinator, engage in an integrative process to strengthen their engagement with each other and the curriculum in the online BA Social Work program. This seminar is designed to integrate theory with practice, to gain information about community resources, to monitor student progress in the program, and to process the experiences in coursework and community practice on practical, conceptual, and ethical levels through the practice of writing for social change. Emphasis is on building a learning community while engaging students to support one another’s personal-professional growth in understanding the use of self."
SW 442 - Advanced Social Work Methods,3,"Practice-oriented topics, such as work with particular populations (aged, children) or practice orientations (mental health, medical social work)."
SW 480 - Special Topics,0.5-4,Department course schedule has topics.
SW 499 - Directed Study,1-3,Independent study of defined problems through library and/ or field research.
