title,units,description
SPAN 310 - Spanish Advanced Oral Skills,3,Speaking and listening comprehension in Spanish for a variety of purposes in authentic contexts. Identify main ideas and supporting details of oral communication. Analyze and think critically about oral communication.
"SPAN 311 - Spanish Level V, Advanced Grammar and Composition",4,Contemporary grammatical analysis/terminology; contrasts within the Spanish language; contrasts/relationships between English and Spanish. Current idiomatic and formal usage in both oral and written language.
SPAN 321 - Advanced Writing Skills,4,"In depth exploration of various writing styles, including news articles, technical or scientific writing, how-to articles, and persuasive writing."
SPAN 340 - Critical Reading in Spanish I,3,"Functions and elements, literary periods, genres, trends, movements, historical context, and appropriate terminology. Part one of a two-course sequence."
SPAN 341 - Critical Reading in Spanish II,3,"Functions and elements, literary periods, genres, trends, movement; historical context and appropriate terminology. Part 2 of a 2 course sequence."
SPAN 401 - Hispanic Civilization: Spain,4,"Social, political, and cultural evolution from origins of Spanish nation to present day."
SPAN 402 - Hispanic Civilization: Latin America,4,"Chronological presentation of culture, pre-Colombian to present day."
SPAN 435 - Spanish Applied Linguistics,4,"Elementary principles of linguistics; their application to Spanish. Difficulties of syntax, morphology, and phonology from an English-speaker’s point of view."
SPAN 492 - Senior Project,3,"Research paper treating a topic related to language, literature, or culture. Individual guidance by faculty member. Required for degree in Spanish."
SPAN 342 - Cervantes,4,Don Quixote and/ or Cervantes’ other works. His development as man and writer within the framework of his time.
SPAN 343 - The Golden Age,4,"Spain’s greatest period of original literature: picaresque novel flourished; modern novel emerged; dramas of intrigue, history, morals, and sentiment entertained/ educated the public; poetry evolved complicated forms with conceptismo and culteranismo. Cervantes, Lope de Vega, Tirso de Molina, Calderon, Quevedo, Gongora, others."
SPAN 344 - Modern Hispanic Theater Workshop,4,"Analyze plays by most important dramatists of 20th century: Lorca, Buero Vallejo, Sastre; avant-garde playwrights such as Arrabal in Spain and Solorzano, Usigli, Villarrutia, and Gorostiza in Latin America. Authors vary. Produce and stage a play (or meaningful parts of different plays)."
SPAN 345 - Hispanic Cinema,4,"Films of past 50 years, both as art medium and document of changing society. New generation of film makers/ directors. When possible, study relationship between literary work and its film adaptation."
SPAN 346 - Borges and the Contemporary Spanish American Short Story,4,"Borges’ short stories as pre-texts of Spanish American modern narrative literatures. May include works from Cortazar, Rulfo, Valenzuela, Lynch, others."
SPAN 348 - Contemporary Hispanic Poetry,4,"Vanguard movements in poetry; their relation to film, music, art. Garcia Lorca, Miguel Hernandez, Octavio Paz, Pablo Neruda, Nicolas Guillen, others. Conflict between poetry and political commitment. Varied, complex voices of Spain, Latin America."
SPAN 347 - The “Boom” of the Latin American Novel,4,"Magic realism; the fantastic; self-conscious fiction. Garcia Marquez, Vargas Llosa, Fuentes, Sabato. Innovative structure, mass media techniques, linguistic play."
SPAN 349 - Contemporary Spanish Novel,4,"Tremendismo, behaviorism, alienation, ironic and social realism. Cela, Delibes, Martin Santos, Ferlosio. Relationship between the novel and political/ social conditions; problem of censorship."
