title,units,description
TA 104 - Story Through Word and Image,4,Universal and archetypal principles of story with an emphasis on using images and words for creating stories for theatre and film.
TA 105 - Acting 1: Principles of Performance,3,"Theatre games, improvisation, movement, voice. Techniques applicable first to the individual and second to principles of performance in film and theatre."
TA 221 - Makeup for Stage and Screen,2,Theories and practical experience in a lab/lecture situation.
TA 237 - Production Techniques,3,"Tools/techniques to realize the visual aspects of production safely. Explores relationships between design, use, and construction techniques."
TA 328 - Production Practicum,1,"Required laboratory course for students’ participation in departmental mainstage productions. Opportunities include acting, design, stage management, house management, publicity, directing/assistant directing, and run crews."
TA 340 - Theatre History and Criticism I,4,"Intellectual, cultural, artistic and introductory critical theory perspectives in international theatre history and dramatic literature from 5th century BCE through Elizabethan era."
TA 341 - Theatre History and Criticism II,4,"Intellectual, cultural, artistic and introductory critical theory perspectives in international and multicultural theatre history and dramatic literature from 18th century through Post-Modernism. Frequency depends on staff resources/student need."
TA 451 - Principles of Stage Directing,4,"Students learn the principles and aesthetics of stage directing, including script analysis, character development, creative collaboration, and physical staging. Frequency depends on staff resources/student need."
TA 477W - Career Skills for Performing Artists,3,"Identifying life and career goals in the Arts: finding jobs, writing resumés and cover letters, networking, finances, self-promotion, contracts, mock interviews, and auditions.  This course meets the GWAR requirement.  Students will draft and revise multiple model career-related documents.
Cross-listed with: DANC 477W, MUS 477W"
TA 331 - Scenic Design and Art Direction,4,"Design of scenic environment for stage and film. Skills in, and consideration of symbolic expression, visual aesthetics, and practical necessity. Foundation in props, model building, scene painting, and computer applications. Occasional off-campus field trip during school hours or on weekend."
TA 333 - Lighting Design Stage and Screen,4,"Stage and film lighting design as sculptural, symbolic, and emotional compositions in theory and practice. Frequency depends on staff resources/student need."
TA 336 - Costume Design Stage and Screen,4,"Skills for designing and producing costumes for stage, film, and television. Includes color theory, fabric options, and scale. Frequency depends on staff resources/student need."
TA 215 - Acting 2: Principles of Voice and Movement,4,"Introduction of fundamental physical and vocal techniques for the performer, including body awareness, voice production, phonetics and dialect work, and continued developed performance practices and theory with an emphasis on canon works."
TA 231 - Production and Stage Management,2,"Explores the relationship between stage and production management through vocabulary acquisition, historical perspectives, communication tools, and hands-on management projects. Cal Poly Humboldt’s production model and world theatre models are examined."
TA 315 - Advanced Principles of Acting for the Stage,4,"Advanced theories and techniques to strengthen on-stage performance. Emphasis on modern dramatic scripts, effective practices, and the professional expectations of the theatre industry."
TA 367 - Performance Workshop,1-4,Special topics in stage performance and actor training. Subject and areas of focus vary.
TA 377 - Kennedy Center American College Theatre Festival,1,Workshop for students who are selected to participate at KCACTF. Departmental application process required.
TA 387 - Design and Technology Workshop,1-4,Special topics in theatre design and technology. Structure and curriculum varies. Appropriate skill level or knowledge required depending on curriculum.
TA 415 - Acting for the Camera,4,"Advanced theories and techniques to strengthen on-camera performance. Emphasis on screenplays, effective practices, and the professional expectations of the tv/film industry."
TA 480 - Special Topics in Theatre Arts,1-4,Variable topics. Check with Department for upcoming topics. Frequency depends on staff resources/student need.
