title,units,description
BIOL 105 - Principles of Biology,4,"Fundamental processes of life. Structure and function of cells, genetics, evolution, and ecology."
BOT 105 - General Botany,4,"Structure, function, reproduction, life cycles, and phylogenetic relationships of major plant groups. Relationships of plants to other organisms and to human activities."
CHEM 107 - Fundamentals of Chemistry,4,Terminal course. Fundamental concepts and applications of general and inorganic chemistry.
MATH 102 - Algebra and Elementary Functions,4,"In-depth treatment of exponential, logarithmic, trigonometric, and polynomial functions."
MATH 105 - Calculus for the Biological Sciences and Natural Resources,3,"Differential and integral calculus. Apply to biological sciences, including exponential growth and decay."
STAT 109 - Introductory Biostatistics,4,"Descriptive statistics, probability, random variables, discrete and continuous distributions, confidence intervals, contingency tests, regression and correlation, tests of hypothesis, analysis of variance. Emphasis: methods and applications used in the biological and natural resource sciences."
WLDF 210 - Introduction to Wildlife Conservation and Administration,3,"History of relationship between wildlife and people, including laws and regulatory agencies. Different cultural perspectives."
WLDF 244 - Wildlife Policy and Animal Welfare,1,"Roles of policy, values, ethics, and animal welfare in research and the management of wildlife. Review relevant laws, with emphasis on Animal Welfare Act."
ZOOL 110 - Introductory Zoology,4,"Structure, function, evolution, and diversity of major groups of animals."
CHEM 110 - General Chemistry II,5,"Fundamental concepts: kinetics; equilibrium; acids and bases; acid-base, solubility, and complex ion equilibria; entropy and free energy; electrochemistry; qualitative analysis. For students in science, engineering, and related majors."
CHEM 128 - Introduction to Organic Chemistry,3,"An introductory course in organic chemistry for natural resource majors. Topics will include structure and bonding, nomenclature, and common functional groups and their reactivity."
CHEM 228 - Brief Organic Chemistry,4,"For majors in biological science/natural resource areas. Nomenclature, physical properties, synthesis, and reactions of compounds representing major functional group categories. Reaction mechanisms emphasized."
GSP 270 - Geographic Information Science (GIS),3,"Introductory course in Geographic Information Science and spatial analysis involving collection, manipulation, display, and analysis of geographically referenced data. Raster and Vector data, overlays, buffer, proximity analysis and SQL queries."
PHYX 106 - College Physics: Mechanics and Heat,4,"Non-Calculus, for science majors. Mechanics, fluids, heat, sound."
SOIL 260 - Introduction to Soil Science,3,"Soil’s physical, chemical, and biological properties. Implications for land management. Identify soil parent materials; use soil survey reports."
BOT 330 - Plant Ecology,2,"Principles governing structure and dynamics of plant populations and communities. Topics include community sampling, interspecific interactions, population viability analysis, and conservation issues."
BOT 350 - Plant Taxonomy,4,"Identify ferns, gymnosperms, and flowering plants. Recognize families and key plants in the local flora."
WLDF 301 - Principles of Wildlife Management,3,Plant / animal ecology; population dynamics; philosophy.
WLDF 311 - Wildlife Techniques,4,Management and research techniques.
WLDF 365 - Ornithology I,3,"Classification, life histories, ecology, behavior, and special adaptations of birds. Identification in field and lab."
ZOOL 356 - Mammalogy,3,"Comparative mammalian biology. Systematics, morphology, behavior, reproduction, physiology, ecology, zoogeography."
ECON 309 - Economics of a Sustainable Society,3,Interpret meaning of sustainable economy. Techniques for measuring economic performance using sustainability standard. Analyze domestic and international policies consistent with a sustainable economy. Economics and business administration majors MUST co-enroll in ECON 309D.
ESM 301 - International Environmental Issues and Globalization,3,"Cross-disciplinary examination of economic development, world regions, population trends, resource exploitation, sustainability, impact of resource extraction in key world locations, and increasing global environmental connectivity, integration, and interdependence.
Cross-listed with: GEOG 301"
ESM 305 - Environmental Conflict Resolution,3,"Introduction to conflict theory as applied in complex natural resource disputes. Skill development in planning culturally appropriate and inclusive public participation processes, meeting facilitation, and conflict mediation. Comparison of options for nonviolent conflict management."
GEOG 301 - International Environmental Issues and Globalization,3,"Cross-disciplinary examination of economic development, world regions, population trends, resource exploitation, sustainability, impact of resource extraction in key world locations, and increasing global environmental connectivity, integration, and interdependence.
Cross-listed with: ESM 301"
NAS 309 - Traditional Ecological Knowledge and Indigenous Natural Resource Management,3,"Emphasis on ethical engagement of Traditional Ecological Knowledge; best practices for Indigenous natural resource management and the critical importance of Indigenous sciences and knowledges to addressing and developing natural resource management plans and projects. Comparison of the cultural traditions and beliefs of indigenous people, with those of western science based management."
NAS 332 - Environmental Justice,3,"Issues/concerns that led to Executive Order 12898 (environmental policies and conflicts between industries and those seeking environmental protection, including Alaska Native villages, “lower 48” tribes, grassroot community organizations)."
PHIL 302 - Environmental Ethics,3,Critique approaches to relationship between human beings and the environment.
WLDF 309 - Case Studies in Environmental Ethics,3,Human influence on distribution of world’s fauna. Ethical perspectives.
FISH 310 - Ichthyology,4,"Biology of fishes and fishlike vertebrates. Anatomy/concepts of systematics of fishes; classifying fishes, particularly commercial, game, and forage species."
WLDF 420 - Wildlife Management (Waterfowl),3,"Life histories, ecology, behavior, management of waterfowl and allied species."
WLDF 422 - Wildlife Management (Mammals),3,"Life histories, ecology, management."
WLDF 423 - Wildlife Management (Nongame Wildlife),3,"Life histories, special management considerations. Specific taxonomic/ecological groups vary."
ZOOL 314 - Invertebrate Zoology,5,"Comparative functional morphology, life histories, and phylogeny of invertebrates."
ZOOL 354 - Herpetology,4,"Biology, classification, anatomy, distribution, and life histories of amphibians and reptiles."
ZOOL 358 - General Entomology,4,"Classification, identification, anatomy, physiology, ecology, behavior, control of insects."
WLDF 430 - Ecology and Management of Wetland Habitats for Wildlife,3,"Historical, ecological, and management implications of manipulating wetland habitats to benefit wildlife."
WLDF 431 - Ecology and Management of Upland Habitats for Wildlife,3,Theoretical and applied considerations for managing upland habitats to benefit wildlife species.
FISH 474 - Conservation Genetics of Fish and Wildlife,4,"Application of molecular methods to conservation, management, ecology, and evolution of fish and wildlife."
WLDF 450 - Principles of Wildlife Diseases,3,Role of disease in wildlife populations; host/ parasite relationships; strategies in controlling diseases.
WLDF 460 - Conservation Biology,3,"Endangered species management, reserve design, conservation genetics, related concepts."
WLDF 464 - Urban Wildlife Ecology,3,"Fundamentals of urban ecology, field methods including urban wildlife and human surveys, and urban wildlife management and conservation strategies."
WLDF 468 - Spatial Wildlife Ecology,3,Methods and theory for studying spatial wildlife relationships; home range analysis; habitat selection and distribution models; corridor modeling and connectivity.
WLDF 475 - Wildlife Ethology,3,Behavior of vertebrates. Relationships between animal behavior and wildlife management/research.
WLDF 478 - Ecology of Wildlife Populations,3,"Factors influencing growth, regulation, structure, and fluctuations of wildlife populations. Population growth, competition, and predator/prey models."
BIOL 340 - Genetics,4,"Principles of heredity; nature and function of genetic material, with quantitative analyses; genetic constitution of populations."
BIOL 434 - Population and Community Ecology,4,"The study of the structure and distribution of populations and communities. Topics include population viability modeling, metapopulation dynamics, mark-recapture techniques, species interactions, trophic dynamics, assembly rules, biodiversity, and conservation issues.
Co-listed with: BIOL 534. (Only one of the co-listed courses may be taken for credit. See Terminology for more information.)"
ESM 425 - Environmental Impact Assessment,3,Legislative/judicial history and current implementation of National Environmental Policy Act (NEPA) and California Environmental Quality Act (CEQA). Practice analyzing and preparing impact assessments for development projects.
ESM 430 - Natural Resource Management in Protected Areas,3,"Principles/practices managing natural resources in wildland recreation areas. Fire, air, water quality; erosion; endangered species; exotic species control; hazardous features. Case studies."
FISH 458 - Fish Population Dynamics,4,"Classical theory and analysis of exploited fish populations. Mortality, growth, recruitment, and yield models are derived, evaluated, and applied to fishery data. Estimates of survival and population size.
Co-listed with: FISH 558. (Only one of the co-listed courses may be taken for credit. See Terminology for more information.)"
GSP 370 - Intermediate Geographic Information Science (GIS),3,"Data accuracy and quality, standard and advanced geospatial data models, data integration and analysis, constraint analysis, location-allocation analysis, metadata standards and documentation, geospatial ethics, industry applications of geospatial analysis."
STAT 333 - Linear Regression Models/ANOVA,4,"Linear regression, analysis of variance, and other linear models applied to experimental and observational studies. course emphasizes model formulation, assumptions, selection, and interpretation in both hypothesis-testing and descriptive contexts."
WLDF 485 - Senior Seminar in Wildlife Management,1,Oral presentation of topic from current literature.
WLDF 490W - Honors Thesis,3,Independent research conducted under faculty supervision.
