,Anthropology Archaeology Concentration B.S.,Anthropology Biological Anthropology Concentration B.S.,Anthropology Cross-Disciplinary Anthropology Concentration B.S.,Anthropology Linguistic Anthropology Concentration B.S.,Anthropology Sociocultural Anthropology Concentration B.S.,Applied Fire Science And Management B.S.,Art Art Education Concentration B.A.,Art Art Studio Concentration B.A.,Art History And Museum Studies B.A.,Biochemistry B.S.,Biology Cellular Molecular Biology Concentration B.S.,Biology Ecology Concentration B.S.,Biology General Biology Concentration B.S.,Biology Microbiology Concentration B.S.,Biology Science Education Concentration B.S.,Botany B.S.,Business Administration Accounting Concentration B.S.,Business Administration Economics Concentration B.S.,Business Administration Finance Concentration B.S.,Business Administration Management And Entrepreneurship Concentration B.S.,Business Administration Marketing Concentration B.S.,Cannabis Studies Environmental Stewardship Concentration B.A.,Cannabis Studies Policy Stewardship Concentration B.A.,Chemistry B.A.,Chemistry B.S.,Child Development And Family Relationships Child And Family Services Concentration B.A.,Child Development And Family Relationships Specialized Studies Concentration B.A.,Child Development And Family Relationships Teaching Concentration B.A.,Communication B.A.,Computer Science B.S.,Criminology And Justice Studies B.A.,Critical Race Gender And Sexuality Studies B.A.,Dance B.A.,Data Science B.S.,Economics B.A.,Energy Systems Engineering B.S.,English B.A.,English English Education Concentration B.A.,Environmental Resources Engineering B.S.,Environmental Science And Management Ecological Restoration Concentration B.S.,Environmental Science And Management Energy And Climate Concentration B.S.,Environmental Science And Management Environmental Education And Interpretation Concentration B.S.,Environmental Science And Management Environmental Planning And Policy B.S.,Environmental Science And Management Geospatial Science Concentration B.S.,Environmental Studies B.A.,Film B.A.,Fine Art B.F.A.,Fisheries Biology Aquaculture Concentration B.S.,Fisheries Biology Freshwater Fisheries Concentration B.S.,Fisheries Biology Marine Fisheries Concentration B.S.,Forestry Fire Management Concentration B.S.,Forestry Forest Hydrology Concentration B.S.,Forestry Forest Operations Concentration B.S.,Forestry Forest Restoration Concentration B.S.,Forestry Forest Soils Concentration B.S.,Forestry Tribal Forestry Concentration B.S.,French And Francophone Studies B.A.,Geography B.A.,Geology B.S.,Geology Geosciences Concentration B.A.,Geospatial Science And Technology Environmental Science And Management Concentration B.S.,Geospatial Science And Technology Social Science Concentration B.S.,History B.A.,History Education Concentration B.A.,Interdisciplinary Studies Individualized Degree Plan Concentration B.A.,International Studies Chinese Studies Concentration B.A.,International Studies Development Studies Concentration B.A.,International Studies European Studies Concentration B.A.,International Studies Global Cultural Studies Concentration B.A.,International Studies Latin American Studies Concentration B.A.,Journalism Media Studies Concentration B.A.,Journalism News Concentration B.A.,Journalism Public Relations Concentration B.A.,Kinesiology Exercise Science Concentration B.S.,Kinesiology Health Promotion Concentration B.S.,Kinesiology Physical Education Teaching Concentration B.S.,Kinesiology Pre-Health Professions Concentration B.S.,Leadership Studies B.A.,Liberal Studies Child Development Special Education Itep Concentration B.A.,Liberal Studies Child Development   Elementary Education Concentration B.A.,Liberal Studies Elementary Education Concentration B.A.,Liberal Studies Elementary Education Itep Concentration B.A.,Marine Biology B.S.,Mathematics B.A.,Mechanical Engineering B.S.,Music Applied Music Concentration B.A.,Music Music Education Pre-Credential Concentration B.A.,Music Music Studies Concentration B.A.,Native American Studies B.A.,Nursing Rn To Bsn Concentration B.S.,Oceanography B.S.,Philosophy B.A.,Physical Science B.A.,Physics Astronomy Concentration B.S.,Physics B.S.,Political Science B.A.,Political Science Global Politics Concentration B.A.,Political Science Law And Policy Concentration B.A.,Political Science Politics Of Environment And Sustainability Concentration B.A.,Psychology B.A.,Rangeland Resource Science B.S.,Rangeland Resource Science Wildland Soil Science Concentration B.S.,Recreation Administration B.A.,Religious Studies B.A.,Social Work B.A.,Sociology B.A.,Software Engineering B.S.,Spanish B.A.,Theatre Arts B.A.,Wildlife Wildlife Ecology Conservation And Management Concentration B.S.,Zoology B.S.
Anthropology Archaeology Concentration B.S.,1.0,0.8148148148148148,0.8402555910543131,0.7254988913525499,0.7551755175517552,0.36947094535993064,0.2199679658302189,0.22129436325678498,0.19403931515535827,0.18475236505286588,0.14814814814814814,0.2169249106078665,0.1386410432395333,0.15716096324461343,0.13609467455621302,0.21855435401252135,0.14993481095176012,0.1375166889185581,0.14432989690721648,0.13023255813953488,0.14963259853039412,0.31417188389299944,0.3268839103869654,0.09308692676249145,0.08764367816091954,0.16690442225392296,0.15706051873198848,0.22457378012933568,0.1628222523744912,0.12894560107454667,0.265695067264574,0.2392486406327237,0.19315673289183222,0.15520504731861198,0.25161290322580643,0.23721436343852012,0.2296947749612002,0.14697406340057637,0.22859787135585377,0.35485287659200704,0.2665094339622642,0.4013104013104013,0.36325326590813317,0.36363636363636365,0.3776387802971071,0.09643916913946587,0.21345951629863302,0.21058893515764426,0.21333333333333335,0.20796197266785502,0.2968036529680365,0.32140691328077625,0.2942840973401245,0.29958246346555323,0.3147268408551069,0.4104013566986998,0.09825033647375504,0.31940469376073266,0.2208135235076598,0.23969072164948454,0.331258975586405,0.31964374072241464,0.2427415516420752,0.27936507936507937,0.060396893874029335,0.23978919631093545,0.24275118004045854,0.2325321408608161,0.24122310305775765,0.23425692695214106,0.16047904191616766,0.15480933409220263,0.16503173687247547,0.1951219512195122,0.21644498186215236,0.19974554707379136,0.25395033860045146,0.09302325581395349,0.27169421487603307,0.2722222222222222,0.27650273224043714,0.2548505506030414,0.2202020202020202,0.0989090909090909,0.16639828234031132,0.1251212415130941,0.10741233910341766,0.11081226465841851,0.3722397476340694,0.10467882632831087,0.14457831325301204,0.11738811445341159,0.03996669442131557,0.08778346744696415,0.08766716196136701,0.23501199040767387,0.23501199040767387,0.235781990521327,0.23501199040767387,0.23375074537865237,0.3370288248337029,0.3583617747440273,0.1865814696485623,0.15024805102763997,0.22849638870650033,0.21772754312908982,0.14294516327788045,0.10312273057371096,0.14174344436569808,0.2948717948717949,0.1920838183934808
Anthropology Biological Anthropology Concentration B.S.,0.8148148148148148,1.0,0.8630887185104053,0.7389922832501135,0.7806451612903226,0.3416149068322981,0.19110378912685339,0.19313304721030042,0.16918032786885245,0.22464183381088826,0.22457067371202113,0.26199261992619927,0.21494661921708186,0.22411533420707733,0.2076923076923077,0.2709677419354839,0.15519568151147098,0.1479944674965422,0.14933333333333335,0.13626978664831382,0.15916955017301038,0.2850439882697947,0.3284518828451883,0.13058907026259758,0.1208955223880597,0.16592592592592592,0.15718562874251496,0.22922983626440266,0.16455696202531644,0.1697981906750174,0.31062355658198615,0.24556062912227294,0.19090909090909092,0.18656229615133724,0.23701605288007555,0.25083986562150057,0.227538543328017,0.14520958083832336,0.19914651493598862,0.31820224719101126,0.2712895377128954,0.33472803347280333,0.3084877208099957,0.28488652824722355,0.3487629688747007,0.09876543209876543,0.1837837837837838,0.23204419889502761,0.23789599521817095,0.2305334150827713,0.2752941176470588,0.27551659361302444,0.26472303206997083,0.27145922746781115,0.2708333333333333,0.372743156668608,0.10320781032078104,0.2383480825958702,0.22487778381314502,0.236,0.3014236622484045,0.30675469781615033,0.2323084431429966,0.26010218300046445,0.06323396567299007,0.23874488403819918,0.2431865828092243,0.22797927461139897,0.24504084014002334,0.23046875,0.16069221260815822,0.1560117302052786,0.165377751338489,0.23787976729153198,0.2571785268414482,0.23684210526315788,0.3267441860465116,0.0888529886914378,0.26008492569002123,0.2574370709382151,0.26321709786276715,0.23827493261455526,0.2697095435684647,0.14663643235071808,0.176697956929873,0.13233830845771144,0.11176737846433439,0.11732152739346983,0.3835616438356164,0.11083540115798181,0.19426048565121412,0.11594202898550725,0.0731070496083551,0.12775665399239544,0.125193199381762,0.2438118811881188,0.2438118811881188,0.24449877750611246,0.2438118811881188,0.2449230769230769,0.2808219178082192,0.28722157092614303,0.18638466622604097,0.1545253863134658,0.274643099932019,0.2504604051565378,0.1654996817313813,0.10415094339622641,0.13392200147167035,0.31758241758241756,0.25210084033613445
Anthropology Cross-Disciplinary Anthropology Concentration B.S.,0.8402555910543131,0.8630887185104053,1.0,0.8010126582278481,0.8146240988671473,0.2764067127344521,0.20464532328939108,0.20293398533007334,0.18812644564379338,0.16743572841133816,0.1368584758942457,0.17882689556509299,0.12914188615123195,0.1448382126348228,0.11380597014925373,0.1922816519972918,0.1547049441786284,0.14285714285714285,0.14779874213836477,0.13714285714285715,0.15940838126540674,0.23561272850372375,0.28028503562945367,0.08128704487722269,0.08093525179856115,0.18181818181818182,0.17148014440433212,0.22941590429275158,0.1708542713567839,0.12241521918941274,0.2752659574468085,0.25243832472748134,0.20234986945169714,0.1425287356321839,0.19470899470899472,0.19383825417201542,0.24198427102238354,0.17148014440433212,0.15629984051036683,0.25938908362543817,0.23163841807909605,0.2895467160037003,0.2608695652173913,0.23982637004883342,0.286215978928885,0.1104868913857678,0.19482120838471023,0.17558886509635974,0.17993079584775087,0.17391304347826086,0.20108695652173914,0.19138056975894813,0.1882985877605918,0.1980440097799511,0.19230769230769232,0.31296171927468097,0.11774461028192372,0.23449216087252897,0.14507129572225666,0.14937106918238993,0.2443338861249309,0.257323377369328,0.2372322899505766,0.2638961038961039,0.07963594994311718,0.2730210016155089,0.2793017456359102,0.24784625579854208,0.2718707940780619,0.2599388379204893,0.1683453237410072,0.16249153689911983,0.17343427391603577,0.20166793025018953,0.22561863173216884,0.20123839009287925,0.25067024128686327,0.10495049504950495,0.2632850241545894,0.2657894736842105,0.26838709677419353,0.23970497848801475,0.19411764705882353,0.10593607305936073,0.13771320277953253,0.12794612794612795,0.10745058286872783,0.11779607346421786,0.35555555555555557,0.11009174311926606,0.10786914235190097,0.13111726685133887,0.03474484256243214,0.09751609935602576,0.09568480300187618,0.25936599423631124,0.25936599423631124,0.2599431818181818,0.25936599423631124,0.23335719398711524,0.22572178477690288,0.2313937753721245,0.18832684824902723,0.1768346595932803,0.24296057924376507,0.22269807280513917,0.13849590469099032,0.12397447584320875,0.15030946065428824,0.2399497487437186,0.17385257301808066
Anthropology Linguistic Anthropology Concentration B.S.,0.7254988913525499,0.7389922832501135,0.8010126582278481,1.0,0.7253126347563605,0.26217228464419473,0.2050761421319797,0.20566318926974664,0.17801672640382318,0.14994720168954592,0.12026458208057728,0.1543661971830986,0.11196911196911197,0.13014925373134328,0.0924775707384403,0.1715210355987055,0.1336603310852238,0.12288401253918495,0.12613705275924803,0.12734082397003746,0.14052697616060225,0.21143473570658036,0.28335759340126154,0.07317073170731707,0.07118871725990597,0.1601067378252168,0.1494949494949495,0.21690767519466073,0.2011457670273711,0.10592686002522068,0.26687931951089844,0.30377358490566037,0.2001047668936616,0.13198573127229488,0.1905602117335686,0.17571059431524547,0.3142857142857143,0.18181818181818182,0.14348981399468555,0.2552653748946925,0.21416620189626326,0.2875147695943285,0.2591093117408907,0.23063063063063063,0.30207156308851224,0.10934256055363321,0.20110055027513757,0.156355455568054,0.1602634467618002,0.1550561797752809,0.1795565170362358,0.16953035509736541,0.16952789699570817,0.18579234972677597,0.16844469399213924,0.2679528403001072,0.19077700568540745,0.21691973969631237,0.13467336683417086,0.13098847786537296,0.2415370539798719,0.2502360717658168,0.2747952684258417,0.2849695916594266,0.05732484076433121,0.2848297213622291,0.2873417721518987,0.3107104984093319,0.34675254965110036,0.29792284866468843,0.1731748726655348,0.17691477885652643,0.17923497267759564,0.16981132075471697,0.1907481439177613,0.1677651288196525,0.2225789192081327,0.08507570295602018,0.26266601082144614,0.2635740643120717,0.2833419823559938,0.25948103792415167,0.1791044776119403,0.08831521739130435,0.12551020408163266,0.14821676702176934,0.12595744680851065,0.130879345603272,0.3400713436385256,0.10014727540500737,0.08753315649867374,0.11232876712328767,0.026194144838212634,0.07650273224043716,0.07345807345807345,0.2674220963172805,0.2674220963172805,0.2700280112044818,0.2674220963172805,0.21758737316798196,0.20831141504471332,0.21239892183288409,0.17448856799037304,0.17771883289124668,0.21604938271604937,0.2125984251968504,0.11976744186046512,0.16010854816824965,0.13527851458885942,0.22346368715083798,0.15977961432506887
Anthropology Sociocultural Anthropology Concentration B.S.,0.7551755175517552,0.7806451612903226,0.8146240988671473,0.7253126347563605,1.0,0.3037974683544304,0.21786267423851316,0.21414141414141413,0.17306520414381474,0.16980118216012896,0.1374233128834356,0.18140068886337543,0.13149243918474687,0.1510353227771011,0.11440677966101695,0.19769357495881384,0.14643304130162704,0.14340588988476313,0.14603960396039603,0.14404079031230083,0.15374759769378604,0.2899505766062603,0.3599605522682446,0.07475409836065573,0.07142857142857142,0.1664392905866303,0.15564738292011018,0.2311614730878187,0.1729518855656697,0.11204121056020605,0.3106060606060606,0.2788691902252036,0.19722814498933902,0.14311704063068525,0.22470904207699194,0.2555205047318612,0.24737105658487732,0.15564738292011018,0.18067415730337077,0.3255019222554464,0.2636363636363636,0.3320031923383879,0.3192449733278621,0.28440786465477824,0.3882532418001526,0.10056657223796034,0.2105798575788403,0.17650429799426934,0.1811067635550587,0.17515741270749857,0.21475770925110133,0.208990075890251,0.20862916439104315,0.2313131313131313,0.2048054919908467,0.3066012002182215,0.10451612903225807,0.25400331308669244,0.15840572304547776,0.14727722772277227,0.2861124013005109,0.3040767386091127,0.25496535796766745,0.2970471573380344,0.06377759607522486,0.2515802781289507,0.26373626373626374,0.24608742579600648,0.26557377049180325,0.25181598062953997,0.18569780853517878,0.1801208127402526,0.1914301613800779,0.20685508117859291,0.23864959254947612,0.2041564792176039,0.2494553376906318,0.103397341211226,0.268,0.26394849785407726,0.2808870116156283,0.24860476915271434,0.2025440313111546,0.08756080611535788,0.1525687597301505,0.13452492944496708,0.1173931808372896,0.11856474258970359,0.36628259551243175,0.12830188679245283,0.0976271186440678,0.1079187105816398,0.030039525691699605,0.07966457023060797,0.07659574468085106,0.2678983833718245,0.2678983833718245,0.2694063926940639,0.2678983833718245,0.23205054566341182,0.24732334047109208,0.24259055982436883,0.20135052179251076,0.16,0.22684310018903592,0.22578796561604583,0.13396561944279786,0.10825815405968078,0.1423728813559322,0.30785123966942146,0.18181818181818182
Applied Fire Science And Management B.S.,0.36947094535993064,0.3416149068322981,0.2764067127344521,0.26217228464419473,0.3037974683544304,1.0,0.15932706580900544,0.1569767441860465,0.13797101449275362,0.23444730077120823,0.21353558926487748,0.3384446878422782,0.22803738317757008,0.23290845886442643,0.19866666666666666,0.3506561679790026,0.1807372175980975,0.16281895504252733,0.17176470588235293,0.15970961887477314,0.16534954407294833,0.420997375328084,0.3352272727272727,0.10689869484151647,0.1,0.1367741935483871,0.12369791666666667,0.1903731746890211,0.14180024660912455,0.1649358582773366,0.2515527950310559,0.1685859051128512,0.15,0.21696480092325446,0.3002588438308887,0.29607250755287007,0.15761653051417587,0.09505208333333333,0.2685145084452144,0.5740206185567011,0.3047722342733189,0.461003861003861,0.5664418881396271,0.48877146631439894,0.402069475240207,0.0962566844919786,0.15609756097560976,0.27665390924002187,0.2840363053924186,0.2763517203713818,0.5442105263157895,0.41847523650528656,0.4793733681462141,0.5717054263565892,0.44868995633187775,0.5185185185185185,0.08078335373317014,0.3641160949868074,0.24399804017638413,0.18470588235294116,0.4613321412606169,0.4029506685108345,0.1760782570031125,0.19804504887377816,0.041315990818668706,0.15606242496998798,0.14714898835070508,0.15591120289106866,0.14942528735632185,0.15207373271889402,0.12101210121012101,0.12808398950131233,0.12227538543328018,0.1866056096164854,0.20532741398446172,0.17790697674418604,0.23854166666666668,0.08762169680111266,0.23320537428023033,0.21868583162217659,0.20930232558139536,0.19854014598540146,0.32612781954887216,0.133946158896914,0.20487319741422177,0.1085972850678733,0.09079550187421907,0.08868958644743398,0.28851702250432776,0.0880056777856636,0.16420782552918536,0.08735936465916612,0.05485544848035582,0.09768976897689768,0.09236947791164658,0.20484581497797358,0.20484581497797358,0.20697167755991286,0.20484581497797358,0.21808219178082192,0.5614754098360656,0.521511017838405,0.17513134851138354,0.10006414368184734,0.19509275882704968,0.1793329688354292,0.1727837380011293,0.07213114754098361,0.1205901218729955,0.49405940594059405,0.30439442658092175
Art Art Education Concentration B.A.,0.2199679658302189,0.19110378912685339,0.20464532328939108,0.2050761421319797,0.21786267423851316,0.15932706580900544,1.0,0.9012875536480687,0.565015479876161,0.15343915343915343,0.09523809523809523,0.0990667623833453,0.09044368600682594,0.10363495746326373,0.07872539831302718,0.13179347826086957,0.16012810248198558,0.14179719703215168,0.1468034727703236,0.13278688524590163,0.15676567656765678,0.16576086956521738,0.19297200714711138,0.0935374149659864,0.0957542908762421,0.18442256042972247,0.18313689936536717,0.2288135593220339,0.1665264928511354,0.11461794019933555,0.1761174116077385,0.1760644418872267,0.20956123117223313,0.12153846153846154,0.16976127320954906,0.1519639407598197,0.21844660194174756,0.15049864007252947,0.1460554371002132,0.17971887550200802,0.18710134656272148,0.19935095039406583,0.18582375478927204,0.21218715995647444,0.28068631764188295,0.2050799623706491,0.8744588744588745,0.12034383954154727,0.11666666666666667,0.11731044349070101,0.136332651670075,0.1378299120234604,0.13765182186234817,0.13856529736358061,0.13009292351679771,0.16307277628032346,0.09658617818484597,0.19288645690834474,0.14925373134328357,0.11207576953433307,0.24611973392461198,0.22004608294930875,0.17951541850220265,0.17291666666666666,0.06636155606407322,0.170316301703163,0.1652754590984975,0.2393617021276596,0.16205266711681296,0.17191097467382963,0.17184115523465704,0.18885869565217392,0.17679558011049723,0.1643835616438356,0.17384952520087654,0.16161616161616163,0.16677874915938132,0.10348258706467661,0.22652937613567534,0.22706270627062705,0.227831715210356,0.2120838471023428,0.13333333333333333,0.11376146788990826,0.1444866920152091,0.15756893640967923,0.13821138211382114,0.13468869123252858,0.14307692307692307,0.12090163934426229,0.09769094138543517,0.09647495361781076,0.05021834061135371,0.09242144177449169,0.0999057492931197,0.19522776572668113,0.19522776572668113,0.19529579472558803,0.19522776572668113,0.1810344827586207,0.12771560236998025,0.1384928716904277,0.1703125,0.108348134991119,0.17124394184168013,0.16189111747851004,0.16143497757847533,0.09523809523809523,0.15808170515097691,0.15248897290485192,0.11444521981856245
Art Art Studio Concentration B.A.,0.22129436325678498,0.19313304721030042,0.20293398533007334,0.20566318926974664,0.21414141414141413,0.1569767441860465,0.9012875536480687,1.0,0.6127340823970038,0.15434083601286175,0.09365558912386707,0.09610027855153204,0.08559670781893004,0.10029940119760479,0.07747747747747748,0.12937293729372937,0.1563467492260062,0.14012738853503184,0.1465648854961832,0.12984956452889945,0.15139442231075698,0.15577557755775578,0.18583042973286876,0.0951599671862182,0.09565217391304348,0.15689655172413794,0.15532286212914484,0.1973954763536669,0.15746753246753248,0.11708099438652766,0.1608300907911803,0.17069062324536777,0.21273885350318472,0.12062546537602382,0.17012448132780084,0.14160401002506265,0.20697811945594322,0.13787085514834205,0.14486711829077645,0.1769041769041769,0.17606602475928473,0.19272727272727272,0.18019709056780855,0.2052099946836789,0.2754749568221071,0.20795660036166366,0.9518072289156626,0.12091730368311328,0.11732973701955496,0.1179736294240111,0.12980132450331125,0.12935323383084577,0.13114754098360656,0.13261648745519714,0.12343966712898752,0.15324165029469547,0.09003215434083602,0.19003322259136213,0.14173228346456693,0.1083969465648855,0.24147265836491608,0.22147273749297358,0.17751479289940827,0.17116658176260827,0.061068702290076333,0.15987460815047022,0.15310233682514102,0.23270846800258566,0.15616797900262466,0.1649331352154532,0.1638655462184874,0.1782178217821782,0.1676727028839705,0.15327929255711129,0.16005665722379603,0.1518796992481203,0.15947712418300652,0.09923664122137404,0.21487603305785125,0.2092426187419769,0.20654911838790932,0.1933933933933934,0.1323360184119678,0.10944395410414828,0.13818630475015423,0.15054945054945054,0.13227250124316262,0.13234384662956092,0.1355174981384959,0.11776251226692837,0.09923011120615911,0.09455842997323818,0.05005213764337852,0.09066666666666667,0.09782608695652174,0.18513323983169705,0.18513323983169705,0.18533886583679116,0.18513323983169705,0.17282229965156795,0.12419974391805377,0.13324538258575197,0.1602418745275888,0.10265183917878529,0.15768930523028885,0.1487143849895761,0.1564083997103548,0.09515418502202644,0.14884516680923868,0.14846625766871166,0.11246612466124661
Art History And Museum Studies B.A.,0.19403931515535827,0.16918032786885245,0.18812644564379338,0.17801672640382318,0.17306520414381474,0.13797101449275362,0.565015479876161,0.6127340823970038,1.0,0.12335526315789473,0.07715736040609138,0.08568824065633546,0.0684931506849315,0.07823470411233702,0.04928664072632944,0.10714285714285714,0.14690451206715635,0.1395856052344602,0.1380020597322348,0.1277056277056277,0.14410480349344978,0.12074829931972789,0.15184381778741865,0.08409090909090909,0.08631319358816276,0.12667478684531058,0.11895910780669144,0.1375,0.12989921612541994,0.12555066079295155,0.142975893599335,0.1553398058252427,0.17871649065800163,0.099601593625498,0.13467589679043424,0.11296738265712013,0.17899408284023668,0.13135068153655513,0.09746835443037975,0.1320754716981132,0.13991031390134528,0.14078452444922085,0.13058035714285715,0.1582360570687419,0.19119878603945373,0.23728813559322035,0.5995457986373959,0.10727272727272727,0.1048951048951049,0.10526315789473684,0.11784799316823227,0.11235955056179775,0.12310286677908938,0.11685393258426967,0.11604714415231188,0.1531986531986532,0.09944751381215469,0.19897084048027444,0.10518292682926829,0.08650875386199794,0.19363395225464192,0.1986111111111111,0.19078947368421054,0.18472906403940886,0.04152249134948097,0.17075773745997866,0.15077605321507762,0.29304635761589404,0.17552742616033756,0.1807348560079444,0.11937557392102846,0.13095238095238096,0.12152777777777778,0.11984282907662082,0.12301957129543337,0.12108980827447023,0.12930310663308145,0.08744710860366714,0.1859778597785978,0.18703855619360132,0.1745396317053643,0.16591251885369532,0.091493924231594,0.11083123425692695,0.1029641185647426,0.137744767049291,0.11363636363636363,0.13302034428794993,0.1394422310756972,0.08823529411764706,0.0746987951807229,0.12276214833759591,0.04838709677419355,0.09669211195928754,0.10718954248366012,0.16191352345906163,0.16191352345906163,0.16260162601626016,0.16191352345906163,0.14416058394160583,0.11283728536385937,0.11554800339847068,0.11991869918699187,0.1493975903614458,0.11464968152866242,0.12,0.1381957773512476,0.12814070351758794,0.14698795180722893,0.11773818745158791,0.09498680738786279
Biochemistry B.S.,0.18475236505286588,0.22464183381088826,0.16743572841133816,0.14994720168954592,0.16980118216012896,0.23444730077120823,0.15343915343915343,0.15434083601286175,0.12335526315789473,1.0,0.6622406639004149,0.4160971905846621,0.5018248175182481,0.514379622021364,0.3854692230070636,0.41117478510028654,0.1432225063938619,0.1284080914687775,0.14273719563392107,0.11888111888111888,0.13380281690140844,0.18624641833810887,0.1671865252651279,0.6418181818181818,0.550921435499515,0.09606147934678194,0.08568646543330087,0.13582089552238805,0.11141060197663971,0.15425531914893617,0.1433591004919185,0.10469314079422383,0.12267401791867677,0.20588235294117646,0.208955223880597,0.3006093432633717,0.10814249363867684,0.07010710808179163,0.31,0.22860125260960334,0.26816479400749066,0.21239788563190773,0.2276341948310139,0.20771850170261066,0.20209376422394174,0.09321175278622088,0.14665801427644387,0.28484848484848485,0.2859237536656892,0.27987897125567324,0.18260244428468728,0.21428571428571427,0.18207681365576103,0.19292604501607716,0.18442932728647016,0.18607954545454544,0.06755555555555555,0.1673881673881674,0.3002610966057441,0.16624685138539042,0.23148148148148148,0.19759036144578312,0.12528735632183907,0.12364425162689804,0.040100250626566414,0.11927398444252377,0.11586452762923351,0.12464985994397759,0.1110320284697509,0.12387938060309699,0.08708938120702826,0.09169054441260745,0.08746355685131195,0.23424878836833601,0.23511214230471772,0.21139554087530965,0.3373493975903614,0.07965554359526372,0.17015873015873015,0.16122307157748436,0.16065350578624915,0.15782664941785252,0.3817171093267449,0.21104536489151873,0.2809587217043941,0.09171075837742504,0.07928118393234672,0.07610146862483311,0.10457516339869281,0.09333333333333334,0.37714285714285717,0.08782435129740519,0.22380952380952382,0.28628230616302186,0.29644670050761424,0.13618974751338944,0.13618974751338944,0.1356443104747551,0.13618974751338944,0.1884498480243161,0.2467082467082467,0.24051539012168932,0.132890365448505,0.06285714285714286,0.12564543889845095,0.13333333333333333,0.19175911251980982,0.07874015748031496,0.11238095238095239,0.2925215089344805,0.4318349299926308
