Word,Frequency
community,13
development,13
human,11
social,10
world,10
health,10
change,9
theory,9
explore,9
including,9
topics,8
cultures,8
anthropology,8
environmental,8
archaeology,7
research,7
diverse,6
introduction,6
evolutionary,6
resource,6
history,6
america,6
economic,6
anthropological,5
historical,5
emphasis,5
knowledge,5
critical,5
analysis,5
local,5
methodologies,5
placebased,5
indigenous,5
field,5
california,5
us,5
contexts,4
evolution,4
scientific,4
methods,4
cultural,4
across,4
examines,4
contemporary,4
applied,4
culture,4
within,4
skills,4
issues,4
native,4
indian,4
tribes,4
political,4
tribal,4
colonialism,4
analyze,4
systems,4
conflict,4
environment,4
values,4
strategies,4
global,4
public,4
genocide,4
ecology,4
primate,4
study,3
language,3
include,3
nonhuman,3
primates,3
discipline,3
production,3
may,3
techniques,3
process,3
politics,3
introduces,3
data,3
work,3
content,3
traditional,3
ethical,3
learning,3
apply,3
thinking,3
engage,3
origins,3
perspectives,3
policies,3
peoples,3
latin,3
role,3
religious,3
examine,3
globalization,3
seminars,3
activism,3
media,3
integration,3
organizing,3
practice,3
crosslisted,3
appropriate,3
population,3
sustainability,3
survey,3
overview,2
structure,2
use,2
emergence,2
technologies,2
linguistic,2
adaptation,2
principles,2
record,2
medicine,2
life,2
different,2
around,2
time,2
career,2
develop,2
degree,2
department,2
resources,2
facilities,2
concepts,2
projects,2
students’,2
problems,2
biological,2
collection,2
roles,2
past,2
organizations,2
advanced,2
check,2
faculty,2
tek,2
knowledges,2
creative,2
occurs,2
disciplines,2
studies,2
approach,2
anticolonial,2
movements,2
citizenship,2
federal,2
interactions,2
central,2
north,2
abya,2
yala,2
relations,2
education,2
area,2
theoretical,2
focus,2
relationships,2
climate,2
waste,2
energy,2
societies,2
programs,2
affect,2
range,2
developing,2
migration,2
food,2
region,2
understand,2
handson,2
growth,2
colisted,2
one,2
technology,2
lab,2
exercises,2
involve,2
crossdisciplinary,2
examination,2
regions,2
trends,2
exploitation,2
impact,2
extraction,2
key,2
locations,2
increasing,2
connectivity,2
interdependence,2
301,2
processes,2
comparison,2
promotion,2
building,2
needs,2
international,2
crosscultural,2
order,2
decolonizing,2
racism,2
diversity,2
investigations,2
interpreting,2
warfare,2
variation,2
legal,2
zooarchaeology,2
intensive,2
biology,2
behavior,2
ancestors,2
morphology,2
osteology,2
anatomy,2
biogeography,2
conservation,2
languages,2
verbal,1
arts,1
literacy,1
relativity,1
fieldwork,1
design,1
features,1
genetic,1
inheritance,1
fossil,1
forensics,1
intended,1
sciencenatural,1
majors,1
world’s,1
richness,1
times,1
places,1
multicultural,1
nature,1
today’s,1
materials,1
trace,1
many,1
paths,1
reconstructed,1
archaeological,1
requirements,1
trajectories,1
selection,1
plan,1
successful,1
completion,1
connect,1
learn,1
counterlineages,1
counterhistories,1
thought,1
multivocality,1
thinkers,1
interrogate,1
fraught,1
race,1
primitiveness,1
selfother,1
capstone,1
seminar,1
designed,1
prepare,1
academic,1
using,1
final,1
reflect,1
subdisciplinary,1
interests,1
describing,1
representing,1
“other”,1
look,1
descriptions,1
anthropologists,1
craft,1
areas,1
fundamental,1
theories,1
method,1
reconstructing,1
engages,1
cal,1
poly,1
humboldt,1
teaching,1
agencies,1
institutions,1
enhance,1
institutional,1
environments,1
relevance,1
entire,1
prerequisites,1
ecological,1
engagement,1
responsible,1
incorporation,1
informed,1
presentday,1
inform,1
problemsolving,1
contentmethod,1
american,1
contrast,1
adjoining,1
contributing,1
sociology,1
humanities,1
exploring,1
representations,1
antiracist,1
communitycentered,1
foundational,1
limited,1
selfdetermination,1
decolonization,1
sovereignty,1
settler,1
governing,1
shaped,1
societal,1
views,1
documents,1
following,1
policy,1
among,1
european,1
african,1
asian,1
americans,1
meets,1
requirement,1
established,1
legislature,1
situations,1
south,1
comprehensive,1
review,1
na,1
civics,1
dual,1
governance,1
justice,1
indianwhite,1
special,1
topic,1
problem,1
repeatable,1
modes,1
spiritual,1
traditions,1
ritual,1
magic,1
symbolic,1
critically,1
society,1
organized,1
several,1
water,1
pollution,1
disasters,1
economies,1
adjusted,1
economy,1
costsbenefits,1
happens,1
focusing,1
women,1
men,1
girls,1
boys,1
differently,1
gender,1
related,1
concerns,1
developed,1
sexualreproductive,1
lgbtqia,1
formalinformal,1
microfinance,1
provide,1
fresh,1
art,1
film,1
folklore,1
interaction,1
oceania,1
asia,1
africa,1
contact,1
organizational,1
activist,1
link,1
concrete,1
blends,1
theoriesmethods,1
educ,1
313,1
practitioner,1
rural,1
required,1
sustained,1
