Word,Frequency
art,25
history,12
topics,12
introduction,7
present,5
cultural,5
visual,5
techniques,5
digital,5
development,5
writing,5
explores,5
survey,4
concepts,4
fundamentals,4
design,4
media,4
contemporary,4
greater,4
detail,4
combination,4
seminar,4
meetings,4
assignments,4
presentations,4
architecture,3
artists,3
american,3
various,3
arts,3
form,3
composition,3
materials,3
including,3
include,3
issues,3
practices,3
basic,3
skills,3
historical,3
understanding,3
gallery,3
twopart,2
world,2
covers,2
europe,2
africa,2
asia,2
americas,2
early,2
european,2
painting,2
sculpture,2
trends,2
context,2
political,2
histories,2
training,2
drawing,2
space,2
organization,2
color,2
discussion,2
perception,2
dimensions,2
principles,2
well,2
methods,2
thinking,2
fabrication,2
stone,2
objects,2
tool,2
usage,2
safety,2
observation,2
study,2
fine,2
camera,2
operations,2
silver,2
creative,2
image,2
problem,2
solving,2
museums,2
exhibition,2
museum,2
exhibitions,2
western,2
antiquity,2
selected,2
nonwestern,2
global,2
theory,2
precontact,2
first,1
prehistory,1
middle,1
ages,1
second,1
approximately,1
1400,1
ce,1
day,1
prehistoric,1
mesopotamian,1
egyptian,1
aegean,1
greek,1
roman,1
christian,1
byzantine,1
medieval,1
romanesque,1
gothic,1
italian,1
northern,1
renaissance,1
rubens,1
rembrandt,1
16001750,1
neoclassical,1
postimpressionist,1
periods,1
20th,1
century,1
covering,1
stylistic,1
movements,1
within,1
borders,1
us,1
colonial,1
period,1
wwii,1
african,1
native,1
oceanic,1
approaches,1
regions,1
surveys,1
india,1
china,1
japan,1
country’s,1
diverse,1
religious,1
line,1
texture,1
value,1
shape,1
2dimensional,1
nature,1
illusions,1
influences,1
organizing,1
forms,1
three,1
3d,1
relation,1
products,1
prototype,1
focusing,1
computers,1
networks,1
timebased,1
formal,1
qualities,1
new,1
questions,1
genre,1
subjectivity,1
narrative,1
technical,1
develop,1
subject,1
matter,1
aesthetics,1
printmaking,1
concentration,1
relief,1
intaglio,1
monotype,1
andor,1
lithography,1
threedimensional,1
vocabulary,1
steel,1
fibers,1
wood,1
reduction,1
plaster,1
found,1
presentation,1
correct,1
accurate,1
rendering,1
scientific,1
subjects,1
human,1
figure,1
direct,1
includes,1
anatomy,1
interest,1
artist,1
analog,1
blackandwhite,1
photography,1
film,1
gelatin,1
printing,1
discuss,1
work,1
photographers,1
functions,1
imaging,1
software,1
exploration,1
control,1
communication,1
lensbased,1
making,1
traditional,1
illustration,1
workflow,1
base,1
metals,1
sawing,1
soldering,1
etching,1
setting,1
proper,1
intuitive,1
forming,1
glazing,1
addresses,1
display,1
impact,1
cultures,1
examines,1
collection,1
education,1
particular,1
attention,1
given,1
diversity,1
multiculturalism,1
visits,1
virtual,1
galleries,1
alternative,1
spaces,1
important,1
element,1
overview,1
structural,1
collections,1
management,1
conservation,1
installation,1
organize,1
install,1
reese,1
bullen,1
capstone,1
class,1
advanced,1
focus,1
research,1
culminating,1
certificate,1
intern,1
institution,1
chosen,1
consultation,1
instructor,1
post1970,1
emphasis,1
placed,1
theoretical,1
models,1
generate,1
informed,1
analysis,1
special,1
