Word,Frequency
accounting,15
business,12
financial,12
linear,6
used,5
topics,5
basic,5
system,4
reporting,4
systems,4
introduction,4
include,4
data,4
concepts,4
marketing,4
us,3
computer,3
applications,3
information,3
organizations,3
planning,3
make,3
decisions,3
market,3
theory,3
analysis,3
international,3
models,3
descriptive,3
statistics,3
strategy,3
management,3
nonprofit,3
using,3
standards,3
procedures,3
current,3
applicable,3
performance,2
consumer,2
ethics,2
measurement,2
principles,2
design,2
decision,2
making,2
within,2
explore,2
markets,2
businesses,2
economic,2
supplydemand,2
production,2
different,2
including,2
institutions,2
equations,2
programming,2
mathematics,2
sets,2
probability,2
reasoning,2
analytics,2
techniques,2
functional,2
areas,2
domestic,2
simulations,2
cases,2
skills,2
analyzing,2
core,2
projects,2
sustainability,2
issues,2
work,2
budgeting,2
study,2
income,2
liabilities,2
regulations,2
cost,2
primarily,2
concentration,2
statements,2
ethical,2
judicial,1
constitution,1
administrative,1
agencies,1
torts,1
crimes,1
creation,1
contracts,1
sales,1
protection,1
commercial,1
paper,1
law,1
case,1
studies,1
first,1
prepare,1
reports,1
investorscreditors,1
demonstrate,1
internal,1
operational,1
control,1
evaluation,1
individuals,1
scarcity,1
equilibrium,1
elasticity,1
costs,1
profits,1
structures,1
factor,1
failure,1
economy,1
whole,1
aggregate,1
cycles,1
gdp,1
inflation,1
unemployment,1
interest,1
rates,1
monetary,1
fiscal,1
policy,1
tradefinance,1
growth,1
two,1
variables,1
integrated,1
support,1
development,1
quantitative,1
businessrelevant,1
open,1
math,1
placement,1
category,1
iii,1
iv,1
tools,1
process,1
datadriven,1
decisionmaking,1
drawing,1
real,1
examples,1
processes,1
research,1
exercises,1
time,1
value,1
money,1
ratios,1
commonly,1
behavior,1
operations,1
interpersonal,1
communication,1
large,1
small,1
profit,1
capstone,1
integrating,1
courses,1
strategic,1
plans,1
domesticinternational,1
micromainframe,1
provides,1
understanding,1
discovering,1
passionate,1
modifying,1
behaviors,1
regarding,1
consumption,1
living,1
etc,1
become,1
wellinformed,1
strong,1
advocates,1
change,1
additional,1
depth,1
initiativesreporting,1
orientation,1
develops,1
set,1
exposure,1
finance,1
critically,1
examines,1
psychological,1
foundation,1
looking,1
agents,1
think,1
feel,1
act,1
various,1
situations,1
managers,1
start,1
sources,1
capital,1
location,1
form,1
record,1
keeping,1
entrepreneurial,1
implementation,1
contemporary,1
forms,1
complete,1
consulting,1
project,1
plan,1
new,1
venture,1
class,1
meetings,1
field,1
week,1
helps,1
develop,1
knowledge,1
examining,1
complex,1
related,1
assets,1
practice,1
valuing,1
equity,1
cashflows,1
includes,1
coverage,1
special,1
relevant,1
indepth,1
determine,1
product,1
provide,1
service,1
visualization,1
excel,1
lecture,1
spreadsheet,1
federal,1
tax,1
history,1
logic,1
andor,1
schedules,1
preparation,1
individual,1
returns,1
auditing,1
organization’s,1
covers,1
state,1
local,1
governments,1
fund,1
interpretation,1
governmental,1
entities,1
application,1
services,1
industry,1
exploration,1
well,1
code,1
professional,1
conduct,1
practicing,1
accountants,1
