Word,Frequency
financial,17
business,12
linear,6
management,6
applications,5
markets,5
basic,5
accounting,4
used,4
computer,4
topics,4
analysis,4
including,4
models,4
data,4
techniques,4
marketing,4
capital,4
risk,4
information,3
systems,3
introduction,3
include,3
planning,3
explore,3
economic,3
decisions,3
market,3
theory,3
institutions,3
policy,3
international,3
programming,3
probability,3
concepts,3
tools,3
strategy,3
new,3
securities,3
system,2
performance,2
consumer,2
commercial,2
ethics,2
case,2
principles,2
design,2
decision,2
making,2
within,2
organizations,2
businesses,2
make,2
supplydemand,2
production,2
different,2
equations,2
mathematics,2
sets,2
descriptive,2
statistics,2
analytics,2
functional,2
areas,2
domestic,2
simulations,2
cases,2
skills,2
analyzing,2
money,2
operations,2
core,2
sustainability,2
work,2
finance,2
traditional,2
alternative,2
valuation,2
forecasting,2
use,2
evaluate,2
assess,2
derivatives,2
bank,2
judicial,1
constitution,1
administrative,1
agencies,1
torts,1
crimes,1
creation,1
contracts,1
sales,1
protection,1
paper,1
law,1
studies,1
first,1
measurement,1
reporting,1
us,1
prepare,1
reports,1
investorscreditors,1
demonstrate,1
internal,1
operational,1
control,1
evaluation,1
individuals,1
scarcity,1
equilibrium,1
elasticity,1
costs,1
profits,1
structures,1
factor,1
failure,1
economy,1
whole,1
aggregate,1
cycles,1
gdp,1
inflation,1
unemployment,1
interest,1
rates,1
monetary,1
fiscal,1
tradefinance,1
growth,1
two,1
variables,1
integrated,1
support,1
development,1
quantitative,1
reasoning,1
businessrelevant,1
open,1
math,1
placement,1
category,1
iii,1
iv,1
process,1
datadriven,1
decisionmaking,1
drawing,1
real,1
examples,1
processes,1
research,1
exercises,1
time,1
value,1
ratios,1
commonly,1
behavior,1
interpersonal,1
communication,1
large,1
small,1
profit,1
nonprofit,1
capstone,1
integrating,1
courses,1
strategic,1
plans,1
domesticinternational,1
projects,1
micromainframe,1
provides,1
understanding,1
issues,1
discovering,1
passionate,1
modifying,1
behaviors,1
regarding,1
consumption,1
living,1
etc,1
become,1
wellinformed,1
strong,1
advocates,1
change,1
additional,1
depth,1
initiativesreporting,1
orientation,1
develops,1
set,1
exposure,1
critically,1
examines,1
psychological,1
foundation,1
looking,1
agents,1
think,1
feel,1
act,1
various,1
situations,1
managers,1
start,1
sources,1
location,1
form,1
budgeting,1
record,1
keeping,1
study,1
entrepreneurial,1
implementation,1
using,1
contemporary,1
forms,1
complete,1
consulting,1
project,1
plan,1
venture,1
class,1
meetings,1
field,1
week,1
modern,1
approaches,1
sourcesuses,1
investment,1
instruments,1
portfolios,1
technicalfundamental,1
analyses,1
portfoliostatistical,1
apply,1
formulation,1
studyanalytical,1
approach,1
shortterm,1
asset,1
expenditure,1
structure,1
policies,1
covers,1
econometrics,1
economics,1
mathematical,1
optimization,1
current,1
trends,1
innovations,1
artificial,1
intelligence,1
distributed,1
ledgers,1
blockchains,1
initial,1
coin,1
offerings,1
crypto,1
assets,1
practice,1
contract,1
trading,1
prerequisite,1
ba,1
360,1
framework,1
startup,1
idea,1
statements,1
scenario,1
simulation,1
strategies,1
needs,1
expected,1
cash,1
flows,1
pricing,1
options,1
forwards,1
futures,1
swaps,1
credit,1
focus,1
corporations,1
cryptocurrencies,1
stock,1
mortgagebacked,1
foreign,1
exchange,1
fixed,1
income,1
understand,1
crises,1
learn,1
fundamentals,1
central,1
