Word,Frequency
social,17
justice,9
legal,9
law,8
writing,7
community,7
examines,6
statistics,6
critical,6
organizing,6
crime,5
policy,5
data,5
research,5
develop,5
criminal,5
change,5
grant,5
perspectives,4
issues,4
communities,4
application,4
skills,4
analysis,4
development,4
proposal,4
political,4
civil,4
handson,4
contemporary,3
nations,3
includes,3
education,3
probability,3
use,3
abuse,3
control,3
focus,3
theories,3
ethical,3
explores,3
topics,3
policing,3
historical,3
us,3
supreme,3
court,3
tribes,3
cases,3
environmental,3
emphasis,3
theory,3
practice,3
conceptual,2
framework,2
theoretical,2
within,2
families,2
local,2
knowledge,2
training,2
quantitative,2
collection,2
descriptive,2
bivariate,2
distributions,2
foundational,2
concepts,2
confidence,2
intervals,2
hypothesis,2
tests,2
placement,2
creation,2
maintenance,2
systems,2
examination,2
review,2
classical,2
structural,2
principles,2
techniques,2
career,2
capstone,2
experiences,2
plan,2
programs,2
gender,2
sexuality,2
prevention,2
status,2
relation,2
economic,2
culture,2
values,2
america,2
relationship,2
tribal,2
federal,2
regarding,2
nature,2
punishment,2
disobedience,2
rights,2
california,2
state,2
history,2
mechanisms,2
forces,2
indigenous,2
society,2
conflict,2
organizational,2
activist,2
understand,2
occurs,2
link,2
concrete,2
blends,2
theoriesmethods,2
projects,2
crosslisted,2
313,2
fundamental,2
practices,2
applicable,2
professions,2
activities,2
grantee,2
grantor,2
postgraduation,2
working,2
fiscal,2
agent,2
campus,2
semester,2
enrollment,2
literature,2
introduction,1
field,1
criminology,1
methods,1
individual,1
societal,1
intersections,1
inequalities,1
intersection,1
inequality,1
experiential,1
connects,1
responses,1
spss,1
rudimentary,1
univariate,1
random,1
variables,1
discrete,1
continuous,1
introductory,1
integrated,1
support,1
aid,1
comprehension,1
open,1
math,1
category,1
iii,1
iv,1
consciousness,1
construction,1
illegality,1
intensive,1
interactionist,1
learning,1
feminist,1
common,1
designing,1
implementing,1
qualitative,1
science,1
structures,1
planning,1
professional,1
resume,1
building,1
job,1
search,1
networking,1
interview,1
internship,1
criteria,1
researching,1
graduate,1
identify,1
goals,1
match,1
materials,1
cv,1
statement,1
purpose,1
make,1
stronger,1
candidate,1
beliefs,1
intersect,1
ways,1
happens,1
treated,1
system,1
response,1
rehabilitation,1
“outsiders”,1
virtue,1
age,1
physical,1
ethnic,1
heritage,1
socioeconomic,1
occupational,1
roles,1
elderly,1
disabled,1
poor,1
women,1
nonwhites,1
police,1
officers,1
role,1
engulfment,1
anomie,1
alienation,1
surrounding,1
natural,1
environment,1
economy,1
migration,1
criminalization,1
human,1
movement,1
livability,1
global,1
poverty,1
climate,1
nationalism,1
capital,1
accumulation,1
pressing,1
popular,1
evolution,1
direct,1
tensions,1
different,1
moments,1
race,1
constructed,1
regulated,1
activists,1
challenged,1
regulations,1
discussion,1
slavery,1
miscegenation,1
eugenics,1
birth,1
marriage,1
welfare,1
affirmative,1
action,1
interaction,1
cultures,1
world,1
region,1
north,1
latin,1
oceania,1
middle,1
east,1
asia,1
unique,1
federaltribal,1
scope,1
authority,1
governments,1
modified,1
contact,1
government,1
legislation,1
decisions,1
indians,1
analyze,1
various,1
philosophical,1
reasoning,1
morality,1
relevant,1
reveal,1
interpretation,1
laws,1
powers,1
nation,1
states,1
liberties,1
meets,1
requirement,1
“us,1
constitution,1
government”,1
established,1
legislature,1
substance,1
treaties,1
international,1
documents,1
drugs,1
others,1
illegal,1
explore,1
processes,1
shaping,1
drug,1
causes,1
consequences,1
consciousnessaltering,1
substances,1
technology,1
criminalizing,1
coopting,1
movements,1
appealing,1
recognition,1
protests,1
prisoners,1
comparative,1
crosscultural,1
impacted,1
overview,1
mexico,1
roots,1
formation,1
spanish,1
colonial,1
independent,1
nationstate,1
cultural,1
issuesconcerns,1
led,1
executive,1
order,1
12898,1
policies,1
conflicts,1
industries,1
seeking,1
protection,1
including,1
alaska,1
native,1
villages,1
“lower,1
48”,1
grassroot,1
organizations,1
relationships,1
citizens,1
focusing,1
courts,1
informal,1
formal,1
resolution,1
driving,1
placed,1
implementation,1
impact,1
problems,1
describing,1
representing,1
“other”,1
look,1
process,1
politics,1
descriptions,1
anthropologists,1
craft,1
educ,1
crgs,1
fundamentals,1
nonfiction,1
video,1
production,1
procedures,1
californiafederal,1
case,1
statutory,1
codes,1
computerized,1
citation,1
learn,1
prepare,1
appellate,1
arguments,1
twoperson,1
teams,1
hypothetical,1
argued,1
front,1
emphasizes,1
practical,1
effectively,1
transform,1
sexualized,1
violence,1
unthinkable,1
act,1
readings,1
group,1
project,1
rotates,1
peer,1
assessment,1
must,1
secure,1
90hour,1
instructor,1
approval,1
prior,1
paper,1
related,1
design,1
carry,1
original,1
empirical,1
extensive,1
due,1
receive,1
permission,1
number,1
