Word,Frequency
dance,45
techniques,16
skills,13
technique,10
level,9
choreography,8
contemporary,7
required,7
learn,7
social,7
american,7
offered,7
conjunction,7
danc,7
maintain,7
continue,6
majors,6
development,6
performance,5
styles,5
intermediate,5
dances,5
study,5
beginning,5
studies,4
traditional,4
ballet,4
movement,4
use,4
african,4
context,4
includes,4
need,4
topics,4
minors,3
basic,3
cultural,3
peoples,3
eastern,3
knowledge,3
various,3
creative,3
emphasis,3
production,3
form,3
focus,3
influences,3
exploration,3
mexican,3
style,3
biological,3
individual,3
theories,3
political,3
theatre,3
film,3
order,3
using,2
technical,2
tenets,2
along,2
rhythmic,2
related,2
musical,2
improvisational,2
artistic,2
intermediateadvanced,2
enhance,2
general,2
physical,2
mindbody,2
diverse,2
tool,2
develop,2
collaboration,2
rehearse,2
perform,2
concert,2
aspects,2
477w,2
rhythms,2
experience,2
power,2
hiphop,2
experiences,2
movements,2
historical,2
terminology,2
middle,2
art,2
practice,2
aztec,2
environmental,2
normative,2
interpret,2
research,2
family,2
hop,2
explore,2
people,2
cultures,2
explores,2
latin,2
sciences,2
relationships,2
games,2
design,2
stage,2
theory,2
frequency,2
depends,2
staff,2
resourcesstudent,2
methods,2
modern,2
special,2
determined,2
interest,2
vary,2
swing,2
forms,1
increase,1
proficiency,1
endurance,1
music,1
analysis,1
composition,1
phrasing,1
genres,1
explored,1
multiethnic,1
approach,1
key,1
understanding,1
discover,1
appreciate,1
expression,1
world,1
minor,1
artistry,1
structure,1
function,1
musculoskeletal,1
systems,1
training,1
anatomy,1
biomechanics,1
care,1
prevention,1
injuries,1
examined,1
somatic,1
selfawareness,1
expressive,1
class,1
western,1
practices,1
wellness,1
connections,1
gaining,1
tools,1
lifelong,1
discovery,1
teaching,1
variety,1
settings,1
integrate,1
pedagogical,1
organize,1
adapt,1
lesson,1
plans,1
interests,1
abilities,1
learners,1
opportunity,1
interdisciplinary,1
creation,1
selected,1
coproduce,1
collaborative,1
leadership,1
provides,1
“behind,1
scenes”,1
allows,1
organization,1
implementation,1
identifying,1
life,1
career,1
goals,1
arts,1
finding,1
jobs,1
writing,1
resumés,1
cover,1
letters,1
networking,1
finances,1
selfpromotion,1
contracts,1
mock,1
interviews,1
auditions,1
meets,1
gwar,1
requirement,1
draft,1
revise,1
multiple,1
model,1
careerrelated,1
documents,1
crosslisted,1
mus,1
ta,1
songs,1
regions,1
prayer,1
celebration,1
healing,1
demonstration,1
community,1
joyful,1
release,1
energy,1
ecstatic,1
connection,1
universe,1
designed,1
appreciation,1
video,1
viewing,1
discussion,1
roots,1
tap,1
patterned,1
perspective,1
included,1
ancient,1
everevolving,1
strong,1
egyptian,1
may,1
include,1
cabaret,1
tribal,1
examples,1
performed,1
become,1
aware,1
steps,1
language,1
rituals,1
drumming,1
percussive,1
instruments,1
understand,1
means,1
spiritual,1
revitalization,1
decolonization,1
nahua,1
indigenous,1
mexico,1
familysocial,1
children,1
712,1
years,1
old,1
determining,1
toddlerhood,1
age,1
school,1
impact,1
determine,1
observations,1
utilizes,1
hip,1
complexities,1
america’s,1
system,1
oppression,1
privileging,1
voices,1
black,1
oppressed,1
groups,1
struggle,1
economic,1
within,1
history,1
analyze,1
heritage,1
origins,1
present,1
establishment,1
16th,1
century,1
spanish,1
frontier,1
settlements,1
formation,1
regional,1
status,1
racialcultural,1
minority,1
traditions,1
indian,1
asian,1
indonesian,1
caribbean,1
compared,1
religious,1
contexts,1
critique,1
perspectives,1
modes,1
inquiry,1
products,1
humanities,1
behavioral,1
attitudes,1
necessary,1
make,1
recreation,1
accessible,1
illnesses,1
disabling,1
conditions,1
examination,1
inequity,1
barriers,1
leisure,1
strategies,1
inclusion,1
improvisation,1
voice,1
applicable,1
first,1
second,1
principles,1
practical,1
lablecture,1
situation,1
toolstechniques,1
realize,1
visual,1
safely,1
construction,1
survey,1
apply,1
collection,1
exercises,1
activism,1
lighting,1
sculptural,1
symbolic,1
emotional,1
compositions,1
designing,1
producing,1
costumes,1
television,1
color,1
fabric,1
options,1
scale,1
base,1
exploring,1
fullbody,1
integration,1
structures,1
pioneers,1
103,1
continued,1
104,1
110,1
beginners,1
jazz,1
120,1
310,1
320,1
high,1
330,1
independent,1
studio,1
instruction,1
andor,1
supervised,1
activities,1
salsa,1
argentine,1
tango,1
merecube,1
rumba,1
cumbia,1
identify,1
east,1
coast,1
lindy,1
savoy,1
hollywood,1
shag,1
