Word,Frequency
data,19
analysis,8
functions,7
applications,6
learning,6
model,6
colisted,6
emphasis,5
topics,4
include,4
trigonometric,4
skills,4
statistical,4
statistics,4
probability,4
equations,3
exponential,3
logarithmic,3
iii,3
programming,3
explore,3
introduction,3
cleaning,3
correlation,3
estimation,3
studies,3
linear,3
selection,3
stat,3
one,3
courses,3
may,3
taken,3
credit,3
see,3
terminology,3
information,3
sample,3
algebraic,2
polynomial,2
inverses,2
properties,2
solving,2
polar,2
coordinates,2
treatment,2
limits,2
continuity,2
derivatives,2
covering,2
math,2
algebra,2
iv,2
structures,2
design,2
three,2
thinking,2
basic,2
inference,2
provides,2
using,2
contemporary,2
language,2
computing,2
matrices,2
matrix,2
systems,2
use,2
series,2
descriptive,2
random,2
variables,2
discrete,2
continuous,2
distributions,2
tests,2
regression,2
variance,2
methods,2
used,2
natural,2
resource,2
applied,2
written,2
machine,2
ii,2
numerous,2
case,2
practical,2
rather,2
theoretical,2
science,2
multivariate,2
mathematical,2
modeling,2
inequalities,1
rational,1
compositions,1
geometric,1
transformations,1
difference,1
quotients,1
graphs,1
radian,1
measure,1
triangles,1
identities,1
laws,1
sines,1
cosines,1
vectors,1
indepth,1
rates,1
change,1
first,1
half,1
twosemester,1
sequence,1
material,1
covered,1
109,1
calculus,1
justintime,1
instruction,1
necessary,1
trigonometry,1
recommended,1
stem,1
placement,1
category,1
introductory,1
problem,1
decomposition,1
control,1
simple,1
testing,1
documentation,1
implement,1
number,1
programs,1
intertwines,1
perspectives,1
inferential,1
computational,1
realworld,1
relevance,1
real,1
understand,1
relationships,1
patterns,1
critical,1
computer,1
intensive,1
handson,1
wrangling,1
visualization,1
learn,1
fundamental,1
required,1
acquire,1
transform,1
manipulate,1
visualize,1
environment,1
fosters,1
reproducibility,1
overall,1
goal,1
create,1
actionable,1
raw,1
sources,1
perform,1
exploratory,1
steps,1
importing,1
viewing,1
diagnostically,1
identifying,1
outliers,1
imputing,1
calculating,1
creating,1
informative,1
plots,1
euclidean,1
spaces,1
arithmetic,1
eigenvalues,1
eigenvectors,1
computation,1
integrals,1
inverse,1
techniques,1
integration,1
infinite,1
sequences,1
conic,1
sections,1
confidence,1
intervals,1
contingency,1
hypothesis,1
biological,1
sciences,1
database,1
implementation,1
relational,1
entityrelationship,1
diagrams,1
converting,1
schema,1
elementary,1
structured,1
query,1
sql,1
normalization,1
team,1
projectbased,1
opportunity,1
work,1
entire,1
pipeline,1
context,1
modules,1
cover,1
exploring,1
visualizing,1
prediction,1
validation,1
uncertainty,1
advance,1
verbal,1
communication,1
reporting,1
findings,1
broad,1
mining,1
pattern,1
recognition,1
supervised,1
unsupervised,1
best,1
practices,1
draws,1
advanced,1
privacy,1
ethics,1
big,1
cloud,1
deep,1
draw,1
semesterlong,1
studentled,1
group,1
project,1
culminating,1
oral,1
presentation,1
projects,1
area,1
application,1
preparation,1
professional,1
life,1
graduation,1
including,1
graduate,1
school,1
attendance,1
working,1
scientist,1
quantitative,1
careers,1
axioms,1
concepts,1
marginal,1
conditional,1
expectation,1
moments,1
moment,1
generating,1
likelihood,1
software,1
theory,1
models,1
experimental,1
observational,1
emphasizes,1
formulation,1
assumptions,1
interpretation,1
hypothesistesting,1
contexts,1
principal,1
components,1
common,1
factors,1
canonical,1
interpret,1
computerassisted,1
504,1
randomized,1
surveys,1
monitoring,1
election,1
polling,1
plant,1
abundance,1
purposes,1
presents,1
approaches,1
inferenceestimation,1
506,1
provide,1
tools,1
analyzing,1
complex,1
datasets,1
generalized,1
strategies,1
bayesian,1
mixed,1
effects,1
arima,1
time,1
510,1
