Word,Frequency
french,21
306,12
cultural,9
issues,7
literary,6
francophone,6
topics,6
english,6
world,5
stories,5
language,5
short,5
women,5
grammar,4
reading,4
african,4
gender,4
ethnic,4
german,4
spanish,4
readings,4
lectures,4
discussions,4
entirely,4
crosslisted,4
conversational,3
modern,3
vary,3
france,3
hours,3
literature,3
taught,3
weekend,3
immersion,3
activities,3
west,3
cinema,3
germ,3
span,3
ws,3
fren,3
seminars,3
review,2
essentials,2
writing,2
texts,2
discussion,2
criticism,2
eg,2
le,2
canada,2
la,2
les,2
et,2
intensive,2
reexamination,2
revolution,2
history,2
special,2
variable,2
“french,2
speak,2
semester,2
retreat,2
complete,2
cuisine,2
include,2
courses,2
culture,2
graduation,2
improve,1
skills,1
sociocultural,1
institutions,1
continued,1
read,1
region,1
vietnam,1
caraibes,1
theme,1
femmes,1
famille,1
democratisation,1
tradition,1
modernite,1
jeunes,1
units,1
according,1
topic,1
class,1
usage,1
techniques,1
terminology,1
auraloral,1
composition,1
practice,1
analyzing,1
diverse,1
analysis,1
works,1
aftermath,1
text,1
selections,1
introduces,1
corpus,1
early,1
context,1
underscoring,1
intersections,1
ideology,1
views,1
presents,1
indepth,1
view,1
important,1
issue,1
“musique,1
fete,1
critique,1
revolte”,1
“la,1
femme,1
africaine”,1
caribbean,1
identity,1
citizenship”,1
fullsemester,1
plan,1
prepare,1
participate,1
critical,1
retelling,1
oral,1
myth,1
epic,1
tales,1
examination,1
role,1
storyteller,1
griot,1
spoken,1
art’s,1
influence,1
story,1
novel,1
esthetic,1
parallels,1
narratives,1
european,1
counterparts,1
present,1
relevant,1
current,1
events,1
examples,1
“paris,1
suburbs,1
burning”,1
“women,1
war,1
africa”,1
frenchlanguage,1
north,1
africa,1
previous,1
“cinema,1
ousmane,1
sembene”,1
“african,1
filmmakers”,1
colonialism,1
unfinished,1
business”,1
“north,1
within,1
without”,1
“murder,1
paris”,1
one,1
credit,1
per,1
films,1
assessment,1
essay,1
wider,1
university,1
public,1
professor’s,1
supervision,1
work,1
minimum,1
30,1
assisting,1
individual,1
group,1
lowerlevel,1
linguistic,1
communicative,1
conducted,1
semesterlong,1
shorter,1
including,1
creative,1
film,1
retreats,1
international,1
speaker,1
series,1
independent,1
research,1
project,1
required,1
honors,1
details,1
determined,1
conference,1
faculty,1
member,1
submitting,1
written,1
proposal,1
preceding,1
directed,1
arranged,1
