Word,Frequency
media,20
learn,13
skills,11
radio,8
practice,7
news,7
work,7
social,6
writing,6
create,6
editing,6
explore,5
reporting,5
storytelling,5
journalism,5
public,5
station,5
krfh,5
role,5
advanced,5
mass,4
become,4
digital,4
portfolio,4
live,4
produce,4
photographer,4
stories,4
open,4
majors,4
change,4
communication,3
press,3
improve,3
content,3
gain,3
adobe,3
publication,3
design,3
projects,3
business,3
learning,3
production,3
music,3
broadcast,3
studentrun,3
jmc,3
air,3
1051,3
fm,3
environmental,3
designer,3
another,3
newspaper,3
editor,3
information,3
leadership,3
position,3
professional,3
build,3
examining,2
technological,2
political,2
television,2
perspective,2
consumers,2
basic,2
journalistic,2
variety,2
audiences,2
online,2
personal,2
literacy,2
critical,2
photoshop,2
images,2
people,2
ethical,2
photojournalism,2
knowledge,2
layout,2
using,2
careers,2
relations,2
advertising,2
handson,2
sound,2
operation,2
class,2
155,2
sports,2
krfhnet,2
crosslisted,2
experience,2
field,2
camera,2
video,2
justice,2
reporter,2
el,2
leñador,2
englishspanish,2
website,2
latinx,2
diverse,2
communities,2
spanish,2
required,2
participate,2
lumberjack,2
necessary,2
ensure,2
free,2
laws,2
first,2
issues,2
selected,2
topics,2
offerings,2
include,2
opinion,2
current,2
topic,2
writer,2
staff,2
magazine,2
repeatable,2
credit,2
gathering,2
manager,2
take,2
develop,2
techniques,2
research,2
landscape,2
better,2
works,2
longform,2
freelance,2
popular,2
analyze,2
international,2
black,2
producers,2
transformations,1
innovations,1
cultural,1
impacts,1
individuals,1
society,1
advent,1
printing,1
wireless,1
transmissions,1
explored,1
mainly,1
relate,1
interviewing,1
wide,1
oral,1
organized,1
thinker,1
prerequisite,1
several,1
courses,1
communicate,1
journey,1
pursue,1
practices,1
thinking,1
identifying,1
fallacies,1
factchecking,1
sources,1
responsible,1
foundation,1
photography,1
documenting,1
world,1
around,1
software,1
optimize,1
photograph,1
events,1
compose,1
compelling,1
applying,1
legal,1
principles,1
profession,1
typography,1
graphic,1
illustrator,1
indesign,1
useful,1
get,1
multitrack,1
audio,1
essential,1
filmmaking,1
podcasting,1
mixing,1
documentary,1
microphone,1
technique,1
board,1
1051fm,1
may,1
taken,1
concurrently,1
workshop,1
dj,1
weekly,1
talk,1
shows,1
broadcasting,1
aspects,1
working,1
part,1
management,1
team,1
355,1
videos,1
capture,1
audience’s,1
attention,1
premiere,1
pro,1
message,1
responsibility,1
translator,1
copyeditor,1
matter,1
voice,1
heard,1
discover,1
protect,1
rights,1
amendment,1
copyright,1
privacy,1
defamation,1
indecency,1
access,1
governmental,1
meetings,1
documents,1
examination,1
entertainment,1
industry,1
semester,1
investigative,1
war,1
parody,1
food,1
travel,1
covering,1
challenging,1
check,1
schedule,1
contact,1
department,1
collaborate,1
members,1
publish,1
osprey,1
general,1
feature,1
campus,1
producing,1
deadline,1
audience,1
mentoring,1
monthly,1
creates,1
matters,1
multimedia,1
boost,1
resume,1
democracy,1
onthejob,1
related,1
career,1
interest,1
mediarelated,1
relevant,1
network,1
potential,1
employers,1
problem,1
area,1
treated,1
intensively,1
methods,1
including,1
polls,1
focus,1
groups,1
interviews,1
textual,1
analysis,1
original,1
copyediting,1
critiquing,1
written,1
crafting,1
headlines,1
making,1
meaningful,1
enhance,1
find,1
great,1
story,1
ideas,1
interesting,1
interview,1
evolution,1
strengths,1
complications,1
telling,1
true,1
nonfiction,1
narrative,1
print,1
consider,1
intermediate,1
visual,1
narratives,1
emphasis,1
presentation,1
use,1
cameras,1
effectively,1
report,1
uses,1
titling,1
entrepreneur,1
product,1
startup,1
company,1
successes,1
failures,1
arts,1
presented,1
responses,1
cultivate,1
understanding,1
process,1
art,1
powers,1
discrimination,1
diversify,1
global,1
crosscultural,1
communications,1
economic,1
history,1
brown,1
lgbtqia,1
introduction,1
early,1
movie,1
newspapers,1
created,1
1940s,1
japaneseamerican,1
prison,1
camps,1
gay,1
helped,1
postal,1
service,1
censorship,1
contexts,1
influence,1
messages,1
film,1
forms,1
understand,1
human,1
condition,1
