Word,Frequency
music,50
mus,40
instruction,31
guitar,23
perform,21
individual,20
studyperform,19
study,19
must,19
provide,19
jazz,18
literature,18
crosslisted,18
continuing,18
comparable,18
220mus,18
237,18
courses,18
instrument,18
techniques,17
ensemble,14
instrumental,13
musical,12
chamber,12
eras,12
concerts,11
choral,10
occasional,10
offcampus,10
audition,10
required,10
traditional,8
pedagogy,8
emphasis,7
chord,6
contemporary,6
percussion,6
meter,5
keyboard,5
stylistic,5
voice,5
styles,5
periods,5
performance,5
ensembles,5
teaching,5
rhythm,4
class,4
principles,4
harmony,4
forms,4
various,4
skills,4
studied,4
operas,4
interpretation,4
orchestral,4
brass,4
woodwind,4
experienced,4
experience,4
string,4
vocal,4
k12,4
conducting,4
piano,3
studies,3
majors,3
analysis,3
form,3
century,3
develop,3
reading,3
introduced,3
history,3
lecture,3
survey,3
large,3
formal,3
small,3
groups,3
education,3
patterns,3
notation,2
intervals,2
applications,2
writing,2
song,2
blues,2
theory,2
modal,2
concepts,2
ear,2
training,2
perception,2
sight,2
singing,2
dictation,2
20th,2
classical,2
movements,2
social,2
contexts,2
trends,2
explores,2
american,2
style,2
significant,2
many,2
theatre,2
repertoire,2
operetta,2
grand,2
broadway,2
musicals,2
prepare,2
roles,2
scenes,2
culminating,2
public,2
jazzidiom,2
available,2
symphonic,2
band,2
wind,2
novice,2
instrumentalists,2
composed,2
arranged,2
playing,2
interview,2
larger,2
works,2
steelband,2
explore,2
mariachi,2
mexico,2
open,2
beginning,2
performers,2
violin,2
trumpet,2
vihuela,2
guitarrón,2
less,2
players,2
combo,2
around,2
world,2
community,2
partners,2
assess,2
reflect,2
renaissance,2
previous,2
instruments,2
general,2
classroom,2
preservice,2
strategies,2
score,2
ranges,2
rehearsal,2
advanced,2
application,2
physical,2
activity,2
expands,2
basic,2
334,2
include,2
mixed,2
irregular,2
senza,2
misura,2
cuing,2
use,2
left,2
hand,2
baton,2
technique,2
appropriate,2
types,2
choir,2
key,1
signatures,1
minor,1
scales,1
triads,1
seventh,1
chords,1
practical,1
nonpiano,1
accompaniments,1
developed,1
symbols,1
notated,1
melodies,1
voicing,1
appropriateness,1
diatonic,1
chromatic,1
functions,1
spelling,1
lead,1
sheets,1
harmonic,1
examples,1
leading,1
function,1
applied,1
twovoice,1
counterpoint,1
fourvoice,1
choralestyle,1
keyboardstyle,1
motives,1
phrases,1
invention,1
binary,1
ternary,1
variation,1
rondo,1
fugue,1
sonata,1
isorhythmic,1
motet,1
romantic,1
popular,1
th,1
tone,1
rows,1
set,1
quartal,1
polytonality,1
pandiatonicism,1
chance,1
operations,1
polymeters,1
asymmetric,1
meters,1
approaches,1
including,1
functional,1
theories,1
comprehensive,1
correlated,1
218,1
continue,1
development,1
continues,1
316,1
elements,1
lectures,1
recordings,1
acquire,1
greater,1
understanding,1
enjoyment,1
artists,1
rock,1
historical,1
pioneers,1
50s,1
today’s,1
rebellion,1
experimentation,1
new,1
traditions,1
african,1
indian,1
asian,1
indonesian,1
latin,1
caribbean,1
cultures,1
compared,1
artistic,1
religious,1
political,1
uniquely,1
art,1
africanamerican,1
innovators,1
perspectives,1
society,1
gender,1
current,1
listening,1
discussion,1
european,1
tradition,1
focus,1
evolution,1
characteristics,1
period,1
important,1
composers,1
selected,1
compositions,1
examined,1
detail,1
context,1
created,1
consent,1
enroll,1
based,1
accompanying,1
solos,1
106b,1
106e,1
106f,1
106h,1
106j,1
106k,1
106n,1
106o,1
107b,1
107c,1
107f,1
107g,1
107i,1
107j,1
107p,1
107q,1
107t,1
107v,1
acoustic,1
continued,1
materials,1
methods,1
elementary,1
selfcontained,1
k8,1
designed,1
specialists,1
teachers,1
involving,1
classrooms,1
placed,1
practice,1
beat,1
expressive,1
gestures,1
planning,1
correction,1
errors,1
arranging,1
performing,1
layout,1
legibility,1
part,1
copying,1
transpositions,1
voices,1
computer,1
technology,1
controllers,1
printing,1
programs,1
concert,1
madrigals,1
etc,1
philosophies,1
methodologies,1
reform,1
leaders,1
theoretical,1
basis,1
secondary,1
schools,1
scheduling,1
issues,1
curriculum,1
connecting,1
disciplines,1
