Word,Frequency
music,42
perform,21
mus,20
study,20
studyperform,19
crosslisted,19
jazz,15
literature,14
chamber,12
ensemble,12
eras,12
musical,11
concerts,11
occasional,10
offcampus,10
audition,10
traditional,8
required,8
choral,7
emphasis,6
chord,6
contemporary,6
keyboard,5
stylistic,5
techniques,5
styles,5
periods,5
performance,5
rhythm,4
harmony,4
forms,4
various,4
operas,4
ensembles,4
interpretation,4
orchestral,4
guitar,4
experienced,4
percussion,4
piano,3
studies,3
analysis,3
principles,3
voice,3
writing,3
form,3
century,3
skills,3
scenes,3
formal,3
vocal,3
notation,2
intervals,2
applications,2
class,2
majors,2
instrumental,2
song,2
blues,2
modal,2
concepts,2
ear,2
training,2
develop,2
reading,2
perception,2
sight,2
singing,2
dictation,2
20th,2
understanding,2
classical,2
studied,2
social,2
contexts,2
trends,2
american,2
history,2
style,2
many,2
theatre,2
repertoire,2
operetta,2
grand,2
broadway,2
musicals,2
prepare,2
individual,2
roles,2
culminating,2
public,2
jazzidiom,2
available,2
symphonic,2
band,2
wind,2
novice,2
instrumentalists,2
composed,2
arranged,2
large,2
playing,2
interview,2
larger,2
works,2
brass,2
steelband,2
woodwind,2
explore,2
mariachi,2
mexico,2
open,2
beginning,2
performers,2
violin,2
trumpet,2
vihuela,2
guitarrón,2
less,2
players,2
combo,2
around,2
world,2
community,2
partners,2
assess,2
reflect,2
experience,2
string,2
small,2
renaissance,2
compose,2
477w,2
meter,1
key,1
signatures,1
minor,1
scales,1
triads,1
seventh,1
chords,1
practical,1
instruction,1
nonpiano,1
accompaniments,1
developed,1
symbols,1
notated,1
melodies,1
voicing,1
appropriateness,1
diatonic,1
chromatic,1
functions,1
spelling,1
lead,1
sheets,1
harmonic,1
examples,1
leading,1
function,1
applied,1
twovoice,1
counterpoint,1
fourvoice,1
choralestyle,1
keyboardstyle,1
motives,1
phrases,1
invention,1
binary,1
ternary,1
variation,1
rondo,1
fugue,1
sonata,1
isorhythmic,1
motet,1
romantic,1
popular,1
th,1
tone,1
rows,1
set,1
theory,1
quartal,1
polytonality,1
pandiatonicism,1
chance,1
operations,1
polymeters,1
asymmetric,1
meters,1
approaches,1
including,1
functional,1
theories,1
comprehensive,1
correlated,1
218,1
continue,1
development,1
introduced,1
continues,1
316,1
elements,1
lectures,1
recordings,1
acquire,1
greater,1
enjoyment,1
artists,1
movements,1
rock,1
historical,1
pioneers,1
50s,1
today’s,1
rebellion,1
experimentation,1
new,1
explores,1
traditions,1
african,1
indian,1
asian,1
indonesian,1
latin,1
caribbean,1
cultures,1
compared,1
artistic,1
religious,1
political,1
uniquely,1
art,1
africanamerican,1
innovators,1
perspectives,1
society,1
gender,1
current,1
lecture,1
listening,1
discussion,1
survey,1
european,1
tradition,1
focus,1
evolution,1
significant,1
characteristics,1
period,1
important,1
composers,1
selected,1
compositions,1
examined,1
detail,1
context,1
created,1
consent,1
enroll,1
based,1
accompanying,1
solos,1
groups,1
106b,1
106e,1
106f,1
106h,1
106j,1
106k,1
106n,1
106o,1
107b,1
107c,1
107f,1
107g,1
107i,1
107j,1
107p,1
107q,1
107t,1
107v,1
dramatic,1
narrative,1
films,1
use,1
computerdriven,1
devices,1
electronic,1
electroacoustic,1
computer,1
technology,1
controllers,1
printing,1
programs,1
professional,1
audio,1
digital,1
analog,1
realms,1
recording,1
process,1
start,1
finish,1
studio,1
production,1
live,1
sound,1
reinforcement,1
identifying,1
life,1
career,1
goals,1
arts,1
finding,1
jobs,1
resumés,1
cover,1
letters,1
networking,1
finances,1
selfpromotion,1
contracts,1
mock,1
interviews,1
auditions,1
meets,1
gwar,1
requirement,1
draft,1
revise,1
multiple,1
model,1
careerrelated,1
documents,1
danc,1
ta,1
