Word,Frequency
health,8
examine,5
develop,5
skills,5
systems,5
communities,4
nursing,4
practice,4
principles,4
analyze,4
professional,3
body,3
related,3
promotion,3
care,3
atrisk,3
marginalized,3
individuals,2
disease,2
prevention,2
management,2
impact,2
history,2
physical,2
comprehensive,2
understand,2
healthcare,2
research,2
evidencebased,2
theories,2
evaluate,2
public,2
focus,2
nutritional,1
recommendations,1
challenges,1
eating,1
patterns,1
throughout,1
lifespan,1
emphasis,1
role,1
nutrition,1
chronic,1
socialization,1
development,1
roles,1
explore,1
theoretical,1
models,1
frameworks,1
critical,1
thinking,1
address,1
issues,1
local,1
global,1
perspective,1
thorough,1
understanding,1
human,1
cellular,1
functions,1
integrative,1
processes,1
therapies,1
treatments,1
taking,1
examination,1
diagnostic,1
testing,1
patient,1
education,1
conduct,1
exam,1
information,1
science,1
technology,1
datadriven,1
decisions,1
strengthen,1
consumercentered,1
technologysupported,1
materials,1
literacy,1
organizational,1
socioeconomic,1
political,1
trends,1
delivery,1
leadership,1
provide,1
coordination,1
populations,1
discuss,1
past,1
present,1
policies,1
community,1
social,1
determinants,1
equity,1
apply,1
interventions,1
families,1
gain,1
find,1
critique,1
applicable,1
writing,1
presentation,1
support,1
advocate,1
change,1
