Word,Frequency
western,6
theories,6
study,5
logic,5
philosophical,5
reasoning,4
nature,4
main,3
themes,3
tradition,3
including,3
science,3
philosophy,3
relationship,3
moral,3
topics,3
natural,2
survey,2
thinkers,2
plato,2
aristotle,2
century,2
19th,2
philosophers,2
contemporary,2
critical,2
political,2
scientific,2
critique,2
metaphysical,2
issues,2
love,2
social,2
perspectives,2
law,2
sciences,2
development,2
classic,2
buddhism,2
compare,2
philosophies,2
encountering,2
multiculturalism,2
within,2
without,2
correct,1
sentential,1
informal,1
fallacies,1
certain,1
paradigms,1
inductive,1
language,1
artificial,1
presocratics,1
middle,1
ages,1
socrates,1
17th,1
rationalist,1
empiricist,1
ethical,1
hume,1
kant,1
mill,1
metaethical,1
concerns,1
definition,1
justification,1
ideal,1
state,1
deal,1
core,1
values,1
justice,1
liberty,1
equality,1
community,1
exists,1
basic,1
categories,1
mean,1
know,1
different,1
kinds,1
sources,1
knowing,1
examination,1
aims,1
assumptions,1
norms,1
satisfactory,1
explanations,1
criteria,1
acceptability,1
progress,1
limits,1
method,1
intensive,1
movement,1
problem,1
writings,1
philosopher,1
subdiscipline,1
example,1
mind,1
art,1
emphasize,1
suppress,1
one,1
dimensions,1
artistic,1
creation,1
aesthetic,1
experience,1
form,1
feeling,1
realism,1
fantasy,1
judgments,1
taste,1
style,1
excellence,1
approaches,1
human,1
beings,1
environment,1
analysis,1
relating,1
sex,1
sexual,1
activities,1
perversions,1
friendship,1
adultery,1
pornography,1
prostitution,1
homosexuality,1
samesex,1
marriage,1
conceptual,1
surrounding,1
race,1
racism,1
analyze,1
various,1
regarding,1
legal,1
morality,1
punishment,1
civil,1
disobedience,1
relevant,1
modes,1
inquiry,1
products,1
humanities,1
biological,1
physical,1
behavioral,1
relationships,1
surveys,1
historical,1
latin,1
america,1
precolonial,1
period,1
present,1
may,1
include,1
uniqueness,1
colonialism,1
identity,1
principal,1
existential,1
20th,1
centuries,1
kierkegaard,1
heidegger,1
nietzsche,1
sartre,1
marcel,1
buber,1
quantifiable,1
relations,1
properties,1
axiomatic,1
systems,1
manyvalued,1
modal,1
extensions,1
texts,1
taoism,1
confucianism,1
ching,1
focus,1
unifying,1
concepts,1
amid,1
differences,1
china,1
indian,1
selections,1
rig,1
veda,1
upanishads,1
bhagavadgita,1
shankara,1
india,1
