Word,Frequency
leisure,10
management,10
recreation,9
diving,9
health,8
skills,7
knowledge,6
planning,6
programs,6
scuba,6
tourism,6
community,5
develop,5
practices,5
focus,4
development,4
professional,4
certification,4
leadership,4
environmental,4
examines,4
outdoor,4
adventure,4
personal,3
administration,3
risk,3
public,3
career,3
methods,3
naui,3
first,3
aid,3
gear,3
diver,3
introduction,3
environment,3
education,3
principles,3
educational,3
industry,3
explore,2
experiences,2
wellbeing,2
examine,2
role,2
activities,2
organization,2
design,2
needs,2
necessary,2
includes,2
strategies,2
policies,2
issues,2
aspects,2
many,2
prepare,2
internship,2
opportunities,2
requirements,2
apply,2
understanding,2
agency,2
training,2
cal,2
poly,2
evaluation,2
upon,2
successful,2
completion,2
required,2
rental,2
techniques,2
divers,2
assist,2
approaches,2
class,2
settings,2
social,2
best,2
practice,2
considerations,2
technical,2
human,2
setting,2
impact,2
including,2
field,2
professions,1
effects,1
individual,1
diverse,1
communities,1
local,1
providers,1
habits,1
increased,1
leader’s,1
developing,1
within,1
organized,1
youth,1
groups,1
theories,1
content,1
serve,1
attitudes,1
make,1
accessible,1
people,1
illnesses,1
disabling,1
conditions,1
examination,1
inequity,1
barriers,1
inclusion,1
facility,1
kinesiology,1
topics,1
include,1
organizational,1
structures,1
fiscal,1
budgets,1
personnel,1
relations,1
legal,1
financial,1
involvements,1
conducting,1
plan,1
analyze,1
placement,1
selfexploration,1
resume,1
construction,1
interview,1
eportfolio,1
process,1
supervised,1
experience,1
academic,1
functioning,1
recreational,1
senior,1
majors,1
knowledgeskills,1
problems,1
specific,1
projects,1
oxygen,1
provider,1
recognition,1
prevention,1
treatment,1
emergencies,1
humboldt,1
medical,1
swim,1
test,1
basic,1
physiology,1
physics,1
hyperbaric,1
medicine,1
nearshore,1
oceanography,1
selection,1
maintenance,1
accident,1
dive,1
master,1
rescue,1
deep,1
night,1
search,1
recovery,1
altitude,1
navigational,1
scientific,1
emergency,1
accidents,1
rescues,1
injuries,1
qualify,1
humboldtnaui,1
levels,1
rescuecertified,1
supervising,1
exceeds,1
national,1
association,1
underwater,1
instructors,1
private,1
nonprofit,1
effect,1
healthy,1
built,1
natural,1
spaces,1
equity,1
integration,1
population,1
older,1
adults,1
grounded,1
theory,1
research,1
epidemiology,1
structure,1
function,1
care,1
system,1
addressing,1
different,1
populations,1
biological,1
cultural,1
psychological,1
factors,1
interactions,1
contribute,1
wellness,1
evidencebased,1
interventions,1
promotion,1
behavior,1
change,1
facilitation,1
participant,1
assessment,1
instructional,1
programming,1
experiential,1
based,1
implement,1
center,1
application,1
lead,1
delivering,1
backpacking,1
group,1
minimum,1
safety,1
implementations,1
needed,1
safely,1
deliver,1
overnight,1
winter,1
minimal,1
standards,1
advanced,1
applications,1
focused,1
leading,1
expeditions,1
logistics,1
debriefing,1
ethics,1
delivery,1
expected,1
participate,1
multiple,1
consecutive,1
days,1
part,1
economic,1
sociocultural,1
maintain,1
longterm,1
sustainability,1
outgoing,1
incoming,1
positive,1
negative,1
impacts,1
growth,1
implementation,1
provides,1
broad,1
overview,1
travel,1
participants,1
foundational,1
emphasis,1
conceptual,1
well,1
goals,1
challenges,1
classroom,1
