Word,Frequency
spanish,7
oral,3
language,3
writing,3
literary,3
social,3
political,3
novel,3
poetry,3
others,3
film,3
communication,2
analyze,2
within,2
articles,2
functions,2
elements,2
periods,2
genres,2
trends,2
movements,2
historical,2
context,2
appropriate,2
terminology,2
part,2
sequence,2
present,2
day,2
culture,2
literature,2
works,2
modern,2
de,2
plays,2
lorca,2
spain,2
latin,2
america,2
play,2
art,2
relationship,2
garcia,2
realism,2
speaking,1
listening,1
comprehension,1
variety,1
purposes,1
authentic,1
contexts,1
identify,1
main,1
ideas,1
supporting,1
details,1
think,1
critically,1
contemporary,1
grammatical,1
analysisterminology,1
contrasts,1
contrastsrelationships,1
english,1
current,1
idiomatic,1
formal,1
usage,1
written,1
depth,1
exploration,1
various,1
styles,1
including,1
news,1
technical,1
scientific,1
howto,1
persuasive,1
one,1
twocourse,1
movement,1
cultural,1
evolution,1
origins,1
nation,1
chronological,1
presentation,1
precolombian,1
elementary,1
principles,1
linguistics,1
application,1
difficulties,1
syntax,1
morphology,1
phonology,1
englishspeaker’s,1
point,1
view,1
research,1
paper,1
treating,1
topic,1
related,1
individual,1
guidance,1
faculty,1
member,1
required,1
degree,1
quixote,1
cervantes’,1
development,1
man,1
writer,1
framework,1
time,1
spain’s,1
greatest,1
period,1
original,1
picaresque,1
flourished,1
emerged,1
dramas,1
intrigue,1
history,1
morals,1
sentiment,1
entertained,1
educated,1
public,1
evolved,1
complicated,1
forms,1
conceptismo,1
culteranismo,1
cervantes,1
lope,1
vega,1
tirso,1
molina,1
calderon,1
quevedo,1
gongora,1
important,1
dramatists,1
20th,1
century,1
buero,1
vallejo,1
sastre,1
avantgarde,1
playwrights,1
arrabal,1
solorzano,1
usigli,1
villarrutia,1
gorostiza,1
authors,1
vary,1
produce,1
stage,1
meaningful,1
parts,1
different,1
films,1
past,1
50,1
years,1
medium,1
document,1
changing,1
society,1
new,1
generation,1
makers,1
directors,1
possible,1
study,1
work,1
adaptation,1
borges’,1
short,1
stories,1
pretexts,1
american,1
narrative,1
literatures,1
may,1
include,1
cortazar,1
rulfo,1
valenzuela,1
lynch,1
vanguard,1
relation,1
music,1
miguel,1
hernandez,1
octavio,1
paz,1
pablo,1
neruda,1
nicolas,1
guillen,1
conflict,1
commitment,1
varied,1
complex,1
voices,1
magic,1
fantastic,1
selfconscious,1
fiction,1
marquez,1
vargas,1
llosa,1
fuentes,1
sabato,1
innovative,1
structure,1
mass,1
media,1
techniques,1
linguistic,1
tremendismo,1
behaviorism,1
alienation,1
ironic,1
cela,1
delibes,1
martin,1
santos,1
ferlosio,1
conditions,1
problem,1
censorship,1
