Word,Frequency
theatre,8
stage,7
film,5
techniques,5
performance,5
design,5
theory,5
frequency,5
depends,5
staff,5
resourcesstudent,5
need,5
emphasis,4
production,4
management,4
topics,4
principles,3
theories,3
required,3
perspectives,3
dramatic,3
model,3
practices,3
voice,2
practical,2
visual,2
explores,2
departmental,2
directing,2
intellectual,2
cultural,2
artistic,2
introductory,2
critical,2
international,2
history,2
literature,2
century,2
aesthetics,2
including,2
physical,2
477w,2
skills,2
symbolic,2
advanced,2
strengthen,2
effective,2
professional,2
expectations,2
industry,2
special,2
curriculum,2
universal,1
archetypal,1
story,1
using,1
images,1
words,1
creating,1
stories,1
games,1
improvisation,1
movement,1
applicable,1
first,1
individual,1
second,1
experience,1
lablecture,1
situation,1
toolstechniques,1
realize,1
aspects,1
safely,1
relationships,1
use,1
construction,1
laboratory,1
students’,1
participation,1
mainstage,1
productions,1
opportunities,1
include,1
acting,1
house,1
publicity,1
directingassistant,1
run,1
crews,1
5th,1
bce,1
elizabethan,1
era,1
multicultural,1
18th,1
postmodernism,1
learn,1
script,1
analysis,1
character,1
development,1
creative,1
collaboration,1
staging,1
identifying,1
life,1
career,1
goals,1
arts,1
finding,1
jobs,1
writing,1
resumés,1
cover,1
letters,1
networking,1
finances,1
selfpromotion,1
contracts,1
mock,1
interviews,1
auditions,1
meets,1
gwar,1
requirement,1
draft,1
revise,1
multiple,1
careerrelated,1
documents,1
crosslisted,1
danc,1
mus,1
scenic,1
environment,1
consideration,1
expression,1
necessity,1
foundation,1
props,1
building,1
scene,1
painting,1
computer,1
applications,1
occasional,1
offcampus,1
field,1
trip,1
school,1
hours,1
weekend,1
lighting,1
sculptural,1
emotional,1
compositions,1
practice,1
designing,1
producing,1
costumes,1
television,1
includes,1
color,1
fabric,1
options,1
scale,1
introduction,1
fundamental,1
vocal,1
performer,1
body,1
awareness,1
phonetics,1
dialect,1
work,1
continued,1
developed,1
canon,1
works,1
relationship,1
vocabulary,1
acquisition,1
historical,1
communication,1
tools,1
handson,1
projects,1
cal,1
poly,1
humboldt’s,1
world,1
models,1
examined,1
onstage,1
modern,1
scripts,1
actor,1
training,1
subject,1
areas,1
focus,1
vary,1
workshop,1
selected,1
participate,1
kcactf,1
application,1
process,1
technology,1
structure,1
varies,1
appropriate,1
skill,1
level,1
knowledge,1
depending,1
oncamera,1
screenplays,1
tvfilm,1
variable,1
check,1
department,1
upcoming,1
