Word,Frequency
business,12
financial,10
linear,6
markets,5
analysis,5
including,5
basic,5
accounting,4
used,4
computer,4
applications,4
planning,4
economic,4
topics,4
models,4
data,4
marketing,4
systems,3
introduction,3
include,3
explore,3
decisions,3
market,3
theory,3
production,3
policy,3
international,3
programming,3
probability,3
concepts,3
techniques,3
tools,3
strategy,3
management,3
skills,3
system,2
performance,2
consumer,2
commercial,2
ethics,2
design,2
information,2
organizations,2
businesses,2
make,2
supplydemand,2
different,2
inflation,2
institutions,2
interest,2
rates,2
monetary,2
fiscal,2
growth,2
equations,2
mathematics,2
sets,2
descriptive,2
statistics,2
analytics,2
functional,2
areas,2
domestic,2
simulations,2
cases,2
analyzing,2
money,2
operations,2
core,2
sustainability,2
work,2
foundation,2
project,2
new,2
determination,2
macroeconomic,2
income,2
bank,2
produce,2
judicial,1
constitution,1
administrative,1
agencies,1
torts,1
crimes,1
creation,1
contracts,1
sales,1
protection,1
paper,1
law,1
case,1
studies,1
first,1
measurement,1
reporting,1
principles,1
us,1
prepare,1
reports,1
investorscreditors,1
demonstrate,1
internal,1
decision,1
making,1
within,1
operational,1
control,1
evaluation,1
individuals,1
scarcity,1
equilibrium,1
elasticity,1
costs,1
profits,1
structures,1
factor,1
failure,1
economy,1
whole,1
aggregate,1
cycles,1
gdp,1
unemployment,1
tradefinance,1
two,1
variables,1
integrated,1
support,1
development,1
quantitative,1
reasoning,1
businessrelevant,1
open,1
math,1
placement,1
category,1
iii,1
iv,1
process,1
datadriven,1
decisionmaking,1
drawing,1
real,1
examples,1
processes,1
research,1
exercises,1
time,1
value,1
ratios,1
commonly,1
behavior,1
interpersonal,1
communication,1
large,1
small,1
profit,1
nonprofit,1
capstone,1
integrating,1
courses,1
strategic,1
plans,1
domesticinternational,1
projects,1
micromainframe,1
provides,1
understanding,1
issues,1
discovering,1
passionate,1
modifying,1
behaviors,1
regarding,1
consumption,1
living,1
etc,1
become,1
wellinformed,1
strong,1
advocates,1
change,1
additional,1
depth,1
initiativesreporting,1
orientation,1
develops,1
set,1
exposure,1
finance,1
critically,1
examines,1
psychological,1
looking,1
agents,1
think,1
feel,1
act,1
various,1
situations,1
managers,1
start,1
sources,1
capital,1
location,1
form,1
budgeting,1
record,1
keeping,1
study,1
entrepreneurial,1
implementation,1
using,1
contemporary,1
forms,1
complete,1
consulting,1
plan,1
venture,1
class,1
meetings,1
field,1
week,1
covers,1
econometrics,1
economics,1
mathematical,1
optimization,1
price,1
goods,1
services,1
resources,1
utility,1
indifference,1
demand,1
isoquant,1
supply,1
competitive,1
noncompetitive,1
conditions,1
critique,1
macrodynamics,1
microeconomic,1
impacts,1
employment,1
traditional,1
cryptocurrencies,1
stock,1
mortgagebacked,1
securities,1
foreign,1
exchange,1
fixed,1
understand,1
crises,1
learn,1
fundamentals,1
central,1
develop,1
career,1
portfolio,1
articulates,1
proficiency,1
learning,1
outcomes,1
writing,1
legacy,1
