Word,Frequency
business,15
financial,6
linear,6
businesses,5
international,5
accounting,4
used,4
computer,4
applications,4
economic,4
market,4
basic,4
domestic,4
marketing,4
econ,4
performance,3
systems,3
organizations,3
include,3
planning,3
explore,3
decisions,3
topics,3
economy,3
techniques,3
strategy,3
management,3
skills,3
sustainability,3
venture,3
sustainable,3
system,2
consumer,2
ethics,2
measurement,2
design,2
information,2
introduction,2
decision,2
making,2
markets,2
make,2
supplydemand,2
theory,2
production,2
different,2
analysis,2
including,2
institutions,2
models,2
equations,2
programming,2
mathematics,2
sets,2
probability,2
descriptive,2
statistics,2
data,2
analytics,2
concepts,2
tools,2
datadriven,2
functional,2
areas,2
simulations,2
cases,2
analyzing,2
large,2
small,2
core,2
work,2
additional,2
depth,2
managers,2
entrepreneurial,2
using,2
plan,2
analyze,2
develop,2
service,2
309d,2
309,2
judicial,1
constitution,1
administrative,1
agencies,1
torts,1
crimes,1
creation,1
contracts,1
sales,1
protection,1
commercial,1
paper,1
law,1
case,1
studies,1
first,1
reporting,1
principles,1
us,1
prepare,1
reports,1
investorscreditors,1
demonstrate,1
internal,1
within,1
operational,1
control,1
evaluation,1
individuals,1
scarcity,1
equilibrium,1
elasticity,1
costs,1
profits,1
structures,1
factor,1
failure,1
whole,1
aggregate,1
cycles,1
gdp,1
inflation,1
unemployment,1
interest,1
rates,1
monetary,1
fiscal,1
policy,1
tradefinance,1
growth,1
two,1
variables,1
integrated,1
support,1
development,1
quantitative,1
reasoning,1
businessrelevant,1
open,1
math,1
placement,1
category,1
iii,1
iv,1
process,1
decisionmaking,1
drawing,1
real,1
examples,1
processes,1
research,1
exercises,1
time,1
value,1
money,1
ratios,1
commonly,1
behavior,1
operations,1
interpersonal,1
communication,1
profit,1
nonprofit,1
capstone,1
integrating,1
courses,1
strategic,1
plans,1
domesticinternational,1
projects,1
micromainframe,1
provides,1
understanding,1
issues,1
discovering,1
passionate,1
modifying,1
behaviors,1
regarding,1
consumption,1
living,1
etc,1
become,1
wellinformed,1
strong,1
advocates,1
change,1
initiativesreporting,1
orientation,1
develops,1
set,1
exposure,1
finance,1
critically,1
examines,1
psychological,1
foundation,1
looking,1
agents,1
think,1
feel,1
act,1
various,1
situations,1
start,1
sources,1
capital,1
location,1
form,1
budgeting,1
record,1
keeping,1
study,1
implementation,1
contemporary,1
forms,1
complete,1
consulting,1
project,1
new,1
class,1
meetings,1
field,1
week,1
learn,1
identify,1
opportunities,1
ecommerce,1
locations,1
online,1
operated,1
anywhere,1
world,1
bridges,1
practical,1
theoretical,1
pursuit,1
leading,1
economically,1
socially,1
environmentally,1
explored,1
relevant,1
entrepreneurs,1
existing,1
industry,1
comprise,1
increasingly,1
proportion,1
global,1
activity,1
gain,1
unique,1
toolset,1
required,1
effectively,1
lead,1
key,1
metrics,1
focus,1
technology,1
interpret,1
meaning,1
measuring,1
standard,1
policies,1
consistent,1
economics,1
administration,1
majors,1
must,1
coenroll,1
content,1
receive,1
single,1
grade,1
combined,1
four,1
units,1
