Word,Frequency
business,12
marketing,9
financial,6
include,6
linear,6
topics,5
consumer,4
accounting,4
used,4
design,4
organizations,4
basic,4
ethics,3
computer,3
applications,3
systems,3
planning,3
explore,3
decisions,3
market,3
analysis,3
international,3
data,3
concepts,3
strategy,3
management,3
sustainability,3
work,3
study,3
system,2
performance,2
sales,2
case,2
information,2
introduction,2
markets,2
businesses,2
make,2
economic,2
supplydemand,2
theory,2
production,2
different,2
including,2
institutions,2
models,2
equations,2
programming,2
mathematics,2
sets,2
probability,2
descriptive,2
statistics,2
techniques,2
functional,2
areas,2
domestic,2
research,2
simulations,2
cases,2
skills,2
analyzing,2
core,2
understanding,2
behaviors,2
examines,2
budgeting,2
environment,2
selling,2
group,2
activities,2
multicultural,2
judicial,1
constitution,1
administrative,1
agencies,1
torts,1
crimes,1
creation,1
contracts,1
protection,1
commercial,1
paper,1
law,1
studies,1
first,1
measurement,1
reporting,1
principles,1
us,1
prepare,1
reports,1
investorscreditors,1
demonstrate,1
internal,1
decision,1
making,1
within,1
operational,1
control,1
evaluation,1
individuals,1
scarcity,1
equilibrium,1
elasticity,1
costs,1
profits,1
structures,1
factor,1
failure,1
economy,1
whole,1
aggregate,1
cycles,1
gdp,1
inflation,1
unemployment,1
interest,1
rates,1
monetary,1
fiscal,1
policy,1
tradefinance,1
growth,1
two,1
variables,1
integrated,1
support,1
development,1
quantitative,1
reasoning,1
businessrelevant,1
open,1
math,1
placement,1
category,1
iii,1
iv,1
analytics,1
tools,1
process,1
datadriven,1
decisionmaking,1
drawing,1
real,1
examples,1
processes,1
exercises,1
time,1
value,1
money,1
ratios,1
commonly,1
behavior,1
operations,1
interpersonal,1
communication,1
large,1
small,1
profit,1
nonprofit,1
capstone,1
integrating,1
courses,1
strategic,1
plans,1
domesticinternational,1
projects,1
micromainframe,1
provides,1
issues,1
discovering,1
passionate,1
modifying,1
regarding,1
consumption,1
living,1
etc,1
become,1
wellinformed,1
strong,1
advocates,1
change,1
additional,1
depth,1
initiativesreporting,1
orientation,1
develops,1
set,1
exposure,1
finance,1
critically,1
psychological,1
foundation,1
looking,1
agents,1
think,1
feel,1
act,1
various,1
situations,1
managers,1
start,1
sources,1
capital,1
location,1
form,1
record,1
keeping,1
entrepreneurial,1
implementation,1
using,1
contemporary,1
forms,1
complete,1
consulting,1
project,1
plan,1
new,1
venture,1
class,1
meetings,1
field,1
week,1
following,1
discussion,1
handson,1
format,1
introduces,1
retailing,1
technologyrich,1
servicedominant,1
perspective,1
comprehensive,1
examination,1
communications,1
activity,1
discussed,1
targeting,1
positioning,1
objectives,1
setting,1
promotion,1
personal,1
advertising,1
public,1
relations,1
application,1
primary,1
secondary,1
local,1
survey,1
execution,1
entry,1
report,1
preparation,1
presentation,1
interactive,1
discussions,1
individual,1
assignments,1
ecommerce,1
emarketing,1
understand,1
internet,1
altered,1
buying,1
goods,1
services,1
today,1
modify,1
strategies,1
changing,1
lifestyles,1
attitudes,1
world,1
resulting,1
global,1
marketplace,1
relationship,1
society,1
technology,1
materialism,1
globalization,1
multidisciplinary,1
