Word,Frequency
social,15
environmental,12
policy,10
cannabis,9
justice,8
community,8
research,8
issues,7
development,7
use,7
data,7
economic,6
movements,6
emphasis,6
local,6
statistics,6
legal,6
analysis,6
writing,6
historical,5
impacts,5
proposal,5
focus,4
history,4
international,4
geographic,4
change,4
develop,4
skills,4
quantitative,4
critical,4
political,4
criminal,4
235,4
organizing,4
global,3
systems,3
information,3
society,3
regarding,3
topics,3
sustainability,3
water,3
politics,3
process,3
application,3
collection,3
probability,3
concepts,3
abuse,3
causes,3
problems,3
theoretical,3
perspectives,3
take,3
techniques,3
examination,3
resources,3
nature,3
ethical,3
state,3
federal,3
contemporary,3
us,3
law,3
national,3
andor,3
may,3
examines,3
crosslisted,3
study,3
theory,3
grant,3
plant,2
botany,2
relationships,2
shapes,2
ecology,2
native,2
markets,2
legalization,2
focuses,2
overview,2
context,2
spatial,2
power,2
authority,2
plants,2
requirements,2
explore,2
criminalization,2
natural,2
production,2
wildlife,2
practices,2
efforts,2
policies,2
conflicts,2
tribes,2
career,2
job,2
training,2
experiences,2
plan,2
programs,2
goals,2
descriptive,2
bivariate,2
distributions,2
foundational,2
confidence,2
intervals,2
hypothesis,2
tests,2
introductory,2
processes,2
knowledge,2
inequality,2
majors,2
soc,2
culture,2
craft,2
introduction,2
academic,2
includes,2
qualitative,2
regional,2
one,2
courses,2
principles,2
science,2
regulations,2
implementation,2
control,2
action,2
tribal,2
jurisdiction,2
level,2
conflict,2
combines,2
examine,2
responses,2
role,2
states,2
environment,2
communities,2
analyze,2
communication,2
strategies,2
rights,2
practice,2
handson,2
colisted,2
fundamentals,2
activities,2
basic,1
chemistry,1
endocannabinoid,1
system,1
humancannabis,1
ecological,1
humboldt,1
geography,1
following,1
arrival,1
epistemology,1
settler,1
colonialism,1
countercultures,1
prohibitioncriminalization,1
medicalization,1
survey,1
places,1
globally,1
landscapes,1
providing,1
food,1
fiber,1
fuel,1
medicine,1
scale,1
coordinates,1
geodesy,1
direction,1
projections,1
surveying,1
positioning,1
gps,1
remote,1
sensing,1
gis,1
cartography,1
illustrating,1
maps,1
depict,1
chart,1
convey,1
played,1
important,1
roles,1
cultural,1
ethnobotanical,1
aspects,1
edible,1
medicinal,1
psychoactive,1
intended,1
nonmajors,1
cannot,1
used,1
satisfy,1
minor,1
department,1
biological,1
sciences,1
specific,1
disproportionate,1
socioeconomically,1
disadvantaged,1
populations,1
wellness,1
optimization,1
harm,1
reduction,1
covers,1
resource,1
include,1
soil,1
energy,1
general,1
bioticabiotic,1
best,1
mitigate,1
outcomes,1
legalize,1
public,1
health,1
design,1
carry,1
internshipbased,1
culminating,1
project,1
partnership,1
agency,1
organization,1
institute,1
faculty,1
due,1
semester,1
enrollment,1
receive,1
permission,1
number,1
issuesconcerns,1
led,1
executive,1
order,1
12898,1
industries,1
seeking,1
protection,1
including,1
alaska,1
villages,1
“lower,1
48”,1
grassroot,1
organizations,1
structures,1
planning,1
professional,1
resume,1
building,1
search,1
networking,1
interview,1
capstone,1
internship,1
criteria,1
researching,1
graduate,1
identify,1
match,1
materials,1
cv,1
statement,1
purpose,1
make,1
stronger,1
candidate,1
rudimentary,1
