Word,Frequency
interdisciplinary,6
career,3
approaches,2
critically,2
explore,2
learning,2
discussions,1
debates,1
presentations,1
learn,1
evaluate,1
integrate,1
communicate,1
ideas,1
knowledge,1
across,1
academic,1
disciplines,1
includes,1
intensive,1
practice,1
oral,1
communication,1
critical,1
listening,1
use,1
digital,1
media,1
technology,1
apply,1
modes,1
inquiry,1
problem,1
solving,1
personal,1
assessment,1
development,1
employ,1
examine,1
complex,1
realworld,1
problems,1
trajectories,1
draft,1
individualized,1
degree,1
proposal,1
complete,1
research,1
creative,1
project,1
produce,1
eportfolio,1
reflects,1
outcomes,1
applications,1
gain,1
practical,1
experience,1
related,1
educational,1
andor,1
goals,1
reflect,1
experiential,1
report,1
reflections,1
faculty,1
guidance,1
