Word,Frequency
306,12
world,9
cultural,9
studies,7
issues,7
political,7
social,7
culture,6
387,6
african,6
short,6
crosslisted,5
majors,5
women,5
ethnic,5
latin,5
french,5
stories,5
spanish,5
development,4
cultures,4
critical,4
region,4
america,4
american,4
film,4
art,4
gender,4
german,4
readings,4
lectures,4
discussions,4
entirely,4
english,4
international,3
diverse,3
politics,3
econ,3
economics,3
research,3
economic,3
trade,3
must,3
theory,3
analyze,3
caribbean,3
poetry,3
study,3
dance,3
fren,3
germ,3
span,3
ws,3
preparation,2
modern,2
lenses,2
topics,2
include,2
imperialism,2
colonialism,2
career,2
education,2
hist,2
analysis,2
emphasis,2
writing,2
apply,2
theories,2
evaluate,2
role,2
imf,2
case,2
policies,2
business,2
administration,2
coenroll,2
policy,2
examination,2
concepts,2
required,2
techniques,2
craft,2
explores,2
movements,2
use,2
history,2
historical,2
values,2
andor,2
contemporary,2
contexts,2
fiction,2
artistic,2
religious,2
regions,2
west,2
novel,2
important,2
plays,2
lorca,2
spain,2
play,2
relationship,2
others,2
realism,2
garcia,2
introduction,1
multidisciplinary,1
field,1
coursework,1
examines,1
analytical,1
studied,1
orientalism,1
representation,1
post,1
appropriation,1
hybridity,1
syncretism,1
diasporic,1
transnational,1
cosmopolitan,1
border,1
“global”,1
pop,1
planning,1
networking,1
resume,1
cover,1
letter,1
internship,1
job,1
search,1
working,1
room,1
earn,1
credit,1
attending,1
week,1
events,1
participating,1
online,1
discussion,1
forum,1
mandatory,1
preevent,1
meeting,1
anth,1
comm,1
geog,1
psci,1
interdisciplinary,1
global,1
bridging,1
perspectives,1
skills,1
service,1
synthesize,1
learning,1
outcomes,1
graduate,1
finance,1
effects,1
trading,1
system,1
globalization,1
debate,1
institutions,1
wto,1
free,1
areas,1
financial,1
crises,1
protectionist,1
laborenvironmental,1
305d,1
explore,1
underlying,1
bank,1
covering,1
poverty,1
inequality,1
growth,1
debt,1
health,1
population,1
sustainable,1
agriculture,1
306d,1
institutional,1
security,1
environmental,1
relations,1
among,1
nations,1
basic,1
methods,1
subfield,1
science,1
survey,1
spatial,1
variation,1
interrelationships,1
phenomena,1
within,1
problems,1
describing,1
representing,1
“other”,1
look,1
process,1
descriptions,1
anthropologists,1
introduces,1
informing,1
women’s,1
multicultural,1
queer,1
workings,1
power,1
construction,1
subject,1
dynamics,1
resistance,1
conceptual,1
bases,1
liberation,1
rotates,1
overview,1
discipline,1
profession,1
library,1
resources,1
tools,1
emphases,1
geographic,1
methodologies,1
academic,1
presenting,1
paper,1
presentation,1
regional,1
topic,1
nature,1
consciousness,1
historians’,1
primarysecondary,1
sources,1
recommended,1
first,1
one,1
four,1
units,1
individualized,1
instruction,1
assigned,1
essay,1
take,1
210,1
taking,1
upper,1
division,1
courses,1
human,1
systems,1
embedded,1
investigations,1
archaeology,1
anthropology,1
interaction,1
north,1
oceania,1
asia,1
africa,1
integration,1
contact,1
change,1
discuss,1
literature,1
asianpacific,1
middle,1
eastern,1
indigenous,1
writers,1
including,1
drama,1
essays,1
settler,1
postcolonial,1
decolonizing,1
musical,1
traditions,1
indian,1
asian,1
indonesian,1
compared,1
native,1
oceanic,1
various,1
approaches,1
surveys,1
visual,1
arts,1
india,1
china,1
japan,1
context,1
country’s,1
histories,1
multiethnic,1
approach,1
key,1
understanding,1
discover,1
appreciate,1
traditional,1
expression,1
peoples,1
minor,1
reading,1
retelling,1
oral,1
myth,1
epic,1
tales,1
storyteller,1
griot,1
spoken,1
art’s,1
influence,1
cinema,1
story,1
esthetic,1
parallels,1
narratives,1
european,1
counterparts,1
civilization,1
frenchspeaking,1
country,1
variable,1
presents,1
indepth,1
view,1
issue,1
francophone,1
“musique,1
fete,1
critique,1
revolte”,1
“la,1
femme,1
africaine”,1
“french,1
identity,1
citizenship”,1
fullsemester,1
taught,1
specialized,1
consideration,1
selected,1
dramatists,1
20th,1
century,1
buero,1
vallejo,1
sastre,1
avantgarde,1
playwrights,1
arrabal,1
solorzano,1
usigli,1
villarrutia,1
gorostiza,1
authors,1
vary,1
produce,1
stage,1
meaningful,1
parts,1
different,1
films,1
past,1
50,1
years,1
medium,1
document,1
changing,1
society,1
new,1
generation,1
makers,1
directors,1
possible,1
literary,1
work,1
adaptation,1
borges’,1
pretexts,1
narrative,1
literatures,1
may,1
works,1
cortazar,1
rulfo,1
valenzuela,1
lynch,1
magic,1
fantastic,1
selfconscious,1
marquez,1
vargas,1
llosa,1
fuentes,1
sabato,1
innovative,1
structure,1
mass,1
media,1
linguistic,1
vanguard,1
relation,1
music,1
miguel,1
hernandez,1
octavio,1
paz,1
pablo,1
neruda,1
nicolas,1
guillen,1
conflict,1
commitment,1
varied,1
complex,1
voices,1
tremendismo,1
behaviorism,1
alienation,1
ironic,1
cela,1
delibes,1
martin,1
santos,1
ferlosio,1
conditions,1
problem,1
censorship,1
