Word,Frequency
design,25
engineering,22
applications,17
systems,14
analysis,13
colisted,10
process,9
engr,9
flow,9
labs,8
taken,8
concepts,7
energy,7
methods,7
handson,7
introduction,6
materials,6
courses,6
control,6
theory,5
management,5
principles,5
selection,5
one,5
may,5
credit,5
see,5
terminology,5
information,5
resources,4
mechanical,4
measurement,4
power,4
numerical,4
functions,4
processes,4
capstone,4
science,3
majors,3
including,3
devices,3
rigid,3
integrals,3
equations,3
partial,3
dynamics,3
models,3
properties,3
manufacturing,3
material,3
final,3
topics,3
fundamental,2
chemical,2
foundations,2
case,2
studies,2
water,2
quality,2
safety,2
machine,2
tools,2
projects,2
building,2
research,2
emphasis,2
vector,2
computer,2
using,2
python,2
programming,2
languages,2
resource,2
continuity,2
derivatives,2
calculusbased,2
circuits,2
digital,2
linear,2
nonlinear,2
bodies,2
laws,2
parameter,2
estimation,2
model,2
environmental,2
analytical,2
differential,2
analyze,2
stresses,2
strongly,2
2nd,2
thermodynamic,2
system,2
volume,2
application,2
fluid,2
open,2
channel,2
mass,2
transport,2
reinforced,2
transducers,2
pressure,2
elements,2
semester,2
last,2
year,2
transition,2
discussion,2
selected,2
demand,2
warrants,2
biology,2
life,2
environment,2
finite,2
applied,2
strategy,2
thermodynamics,2
pipe,2
air,2
buildings,2
generation,2
stoichiometry,1
reactions,1
gases,1
thermochemistry,1
atomic,1
bonding,1
liquids,1
solutions,1
related,1
procedures,1
use,1
shop,1
bench,1
layout,1
precision,1
saws,1
drill,1
presses,1
rotary,1
tables,1
indexing,1
lathe,1
mill,1
cutting,1
hand,1
real,1
clientbased,1
iterating,1
opportunity,1
identification,1
empathy,1
creative,1
problem,1
solving,1
testing,1
special,1
teamwork,1
time,1
communication,1
includes,1
public,1
speaking,1
range,1
audiences,1
spreadsheets,1
word,1
documents,1
computeraided,1
particle,1
body,1
equilibrium,1
equivalent,1
forces,1
centroids,1
moments,1
inertia,1
friction,1
computational,1
limits,1
logarithmic,1
exponential,1
inverse,1
trigonometric,1
techniques,1
integration,1
infinite,1
sequences,1
series,1
conic,1
sections,1
polar,1
coordinates,1
vectors,1
parametric,1
3dimensional,1
analytic,1
geometry,1
valued,1
multiple,1
line,1
scienceengineering,1
analog,1
instrumentation,1
construct,1
amplifiers,1
microeconomics,1
math,1
modeling,1
optimization,1
newtonian,1
kinematics,1
particles,1
conservation,1
vibrations,1
single,1
degree,1
freedom,1
probability,1
probabilistic,1
stochastic,1
evaluation,1
technological,1
ordinary,1
used,1
physical,1
deformations,1
involving,1
elastic,1
behavior,1
tension,1
compression,1
torsion,1
flexure,1
combined,1
static,1
indeterminacy,1
beams,1
two,1
encouraged,1
complete,1
taking,1
400level,1
thermodynamics’,1
1st,1
statics,1
momentum,1
boundary,1
layer,1
drag,1
measurements,1
pipesducts,1
dimensional,1
similitude,1
heat,1
conduction,1
convection,1
radiation,1
diffusion,1
reaction,1
kinetics,1
ideal,1
reactor,1
basic,1
capabilities,1
tradeoffs,1
removal,1
joining,1
assembly,1
3d,1
printing,1
casting,1
numerically,1
controlled,1
gaging,1
statistical,1
practice,1
industrial,1
laboratory,1
calibration,1
instruments,1
performance,1
sensor,1
motion,1
force,1
planar,1
machines,1
vessels,1
joints,1
rotating,1
transmission,1
failure,1
theories,1
graphical,1
synthesis,1
linkages,1
gear,1
trains,1
flywheels,1
first,1
background,1
development,1
project,1
implementation,1
solution,1
developed,1
492b,1
preferably,1
introduce,1
university,1
support,1
successful,1
college,1
curriculum,1
integrate,1
guest,1
lectures,1
reflection,1
help,1
sessions,1
recommended,1
although,1
required,1
concurrently,1
115,1
offered,1
lower,1
division,1
level,1
modern,1
aspects,1
rapidly,1
reshaping,1
culture,1
intended,1
sciences,1
natural,1
structure,1
function,1
cells,1
genetics,1
evolution,1
ecology,1
provides,1
understanding,1
complex,1
relationships,1
among,1
crop,1
plants,1
domesticated,1
animals,1
abiotic,1
biotic,1
requirements,1
sustainable,1
agriculture,1
difference,1
element,1
simulation,1
large,1
scale,1
additive,1
equipment,1
post,1
processing,1
considerations,1
cost,1
mechatronic,1
methodology,1
microprocessor,1
product,1
electronics,1
drive,1
technology,1
electromechanical,1
quantitative,1
treatment,1
economics,1
lifecycle,1
thinking,1
ecodesign,1
continues,1
331,1
law,1
irreversibility,1
availability,1
refrigeration,1
cycles,1
combustion,1
phase,1
equilibria,1
networks,1
transient,1
irrigation,1
drainage,1
flood,1
hydraulic,1
518,1
nature,1
causes,1
effects,1
pollution,1
standards,1
gaussian,1
plume,1
particulate,1
gaseous,1
pollutant,1
534,1
heating,1
ventilating,1
lighting,1
envelopes,1
loads,1
campus,1
573,1
hydro,1
wind,1
photovoltaic,1
production,1
575,1
operation,1
electric,1
“the,1
grid”,1
integrating,1
renewable,1
electricity,1
grid,1
distributed,1
storage,1
demandside,1
578,1
directed,1
independent,1
develop,1
plan,1
